Id	Name	Icon	Desc	TrenchType	Type	FightEventIds	NeedEnergy	PrePluginId	ItemId
1011	聚焦逻辑		聚焦逻辑中提供强化伤害以及提升续航的被动技能，适合专注于单一武器的战斗风格	1	1	[2270160]			96141
1012	并行逻辑		并行逻辑允许同时携带两个武装模块阵列，适合复杂多变的战斗风格	1	1	[2270161]			96142
1021	落地星陨		每使用1次技能积蓄1层能量，积蓄满6层能量后可直接释放落地星陨，牵引大范围敌方单位造成共3500%物理伤害。闪避和普攻3/6段均可积蓄能量层数。	2	1	[2270150]			96143
1022	巨拳弹幕		点击必杀消耗100必杀能量，短暂蓄力后对身前目标进行多段高速连击，共造成3500%物理伤害。	2	1	[2270149]			96144
1023	广域打击		装备该模块后，能量武装模式的基础伤害提高50%，普攻速度降低25%，主动释放时，消耗30点必杀能量开启蓄能模式，再次点击必杀释放广域打击造成2000%的大范围物理伤害，蓄能模式持续5秒，蓄能期间每消耗一个信号球，伤害提升5%。	2	1	[2270151]			96145
1024	斩星光刃		装备该模块后，普攻获得的必杀能量额外增加4点，每增加5米光刃长度，造成伤害提升20%，主动释放时消耗100点能量，对正前方光刃长度范围内的敌人造成2700%的物理伤害。	2	1	[2270152]			96146
1031	拳刃武装		近战格斗为主的武装模块，拳刃武装模式下光辉行进者会使用3个具有冷却时间的技能	3	1	[2270111]			96147
1032	能量武装		使用炮击与光刃的武装模块，能量武装模式下光辉行进者会使用3个信号球模式的技能	3	1	[2270112]			96148
2011	能源搜寻		每30秒空中支援会扫描机体坐标，空投装甲整备箱，拾取后替换损毁部件回复25点模块稳定度，并临时治疗回复25%最大生命值。	1	2	[2270116]	1	1011	96150
2012	释能武装		聚焦能量充满时，下一技能倍率提升100%，并清空聚焦能量。	1	2	[2270113]	1	1011	96149
2021	武装重组		可以装备两个武装模块并随时进行武装切换，切换时将清空聚焦能量。当拳刃武装模式切换至能量武装模式时，每10点聚焦能量随机提供一个信号球，当能量武装模式切换至拳刃武装模式时，每20点聚焦能量减少所有技能1秒冷却。	1	2	[2270119]	1	1012	96151
2022	能源搜寻		每30秒空中支援会扫描机体坐标，空投装甲整备箱，拾取后替换损毁部件回复25点模块稳定度，并临时治疗回复25%最大生命值。	1	2	[2270122]	1	1012	96152
2031	格挡		技能冷却结束后点击红球，引导光束对目标造成700%物理伤害，并形成短暂格挡，技能冷却6秒。格挡成功时，打断敌方攻击，并击退目标。	3	2	[2270125]	1	1031	96153
2032	子弹拳		技能冷却结束后点击蓝球，短暂蓄力后向目标突进，造成900%物理伤害，技能冷却8秒。	3	2	[2270129]	1	1031	96154
2033	扬升拳		技能冷却结束时点击黄球，利用反重力能量起跳，同时使用拳刃将身前目标击飞至空中，造成1200%物理伤害，技能冷却10秒。	3	2	[2270133]	1	1031	96155
2041	光刃旋突		使用光刃对敌人进行旋转突进攻击，根据消球数，造成共计390%/780%/1170%物理伤害。	3	2	[2270137]	1	1032	96156
2042	光刃疾走		使用光刃对敌人进行斩击，根据消球数，造成共计680%/1360%/2040%的物理伤害。	3	2	[2270141]	1	1032	96157
2043	集束导弹		胸甲打开发射12枚追踪导弹对敌人进行攻击，根据消球数，造成共计510%/1020%/1530%物理伤害。	3	2	[2270145]	1	1032	96158
3011	高热掠夺		击杀敌人后随机掉落能量模块，可掠夺回复少量模块稳定度，但因拼凑部件的不相容性导致入场时每个模块有30%的几率损坏。	1	3	[2270117]		2011	96161
3012	更替引燃		任一模块损坏时，可点击按钮更换备用机体，并将原机体直接引爆造成3000%范围物理伤害，冷却时间200秒。空投不再用于回复模块稳定度和生命值，改为提供备用机体部件，每拾取1个空投减少20秒冷却时间。	1	3	[2270118]		2011	96162
3021	聚焦能级		聚焦能量的充能上限提高100%，提供的伤害加成上限提高100%。每次连击都会积蓄气势获得1%的额外伤害加成，最高可累计至100%额外伤害加成。每次使用技能或普攻获得额外1点必杀能量。	1	3	[2270114]		2012	96159
3022	高效集聚		聚焦能量充能速度提高50%。技能或普攻每次命中有30%概率减少1秒冷却或获得1个信号球。	1	3	[2270115]		2012	96160
3031	武装引擎		三消时附带持续1秒的无敌效果，释放技能时同时释放蓝球一消，并享有其连接电路的效果.	1	3	[2270120]		2021	96163
3032	悬空处决		必杀能量和聚焦能量满值时，进入能量武装模式，将消耗全部必杀能量和聚焦能量，进入浮空状态，浮空期间可凌空发射子弹，每颗子弹造成250%的伤害，浮空状态结束后释放斩星光刃	1	3	[2270121]		2021	96164
3041	过热		进入超载模式，该模式下，模块稳定度下降的更快，技能CD减少30%，回球效率增加50%，每损坏一个模块，机体伤害提高20%，当只有一个模块可用时，技能无CD且每秒产生8个信号球。	1	3	[2270123]		2022	96165
3042	星标唤起		任一模块损坏时，可点击按钮更换备用机体，并将原机体直接引爆造成3000%范围物理伤害，冷却时间200秒。空投不再用于回复模块稳定度和生命值，改为提供备用机体部件，每拾取1个空投减少20秒冷却时间。	1	3	[2270124]		2022	96166
3051	爆裂反震		格挡成功时，附加反弹伤害后并立即跃空下砸，以落点为中心造成500%小范围物理伤害。下一技能有30%概率处决敌方单位。（对BOSS无效）	3	3	[2270126]		2031	96167
3052	游刃有余		格挡成功时，闪避值回满并在8秒内闪避不再消耗闪避值。下一技能伤害提升100%。	3	3	[2270127]		2031	96168
3053	湮灭之手		格挡转换为响指波，湮灭以自身为中心的大范围内所有飞弹类攻击，并击退所有敌方单位。回复40点必杀能量，每个被湮灭的飞弹额外提供2点必杀能量，冷却时间增加6秒。	3	3	[2270128]		2031	96169
3061	贯通拳		短暂蓄力后向目标突进，并用臂展光束炮对直线路径上敌人造成1200%物理伤害。使用技能后有30%概率刷新冷却。	3	3	[2270130]		2032	96170
3062	闪身架势		闪避后点击蓝球，取消蓄力时间，并减少2秒技能冷却时间。	3	3	[2270131]		2032	96171
3063	吸力拳		可长按蓝球蓄力3秒，将以自身为中心6米内敌方单位牵引至身前。冷却时间增加8秒，回复20点必杀能量。	3	3	[2270132]		2032	96172
3071	超力扬升		被命中目标血量低于30%可将其击飞，直接将目标处决。（对BOSS无效）	3	3	[2270134]		2033	96173
3072	扬升降坠		扬升拳命中后有30%概率触发下砸攻击，造成750%物理伤害。释放技能后每秒回复2点必杀能量，持续5秒。	3	3	[2270135]		2033	96174
3073	拳上加拳		扬升拳命中后有30%概率触发空中连击，共造成750%物理伤害。冷却时间增加6秒，回复40点必杀能量。	3	3	[2270136]		2033	96175
3082	快速充能		5秒内连续释放红球三消，三消红球伤害增加50%且释放的更快，最多叠加三次。	3	3	[2270139]		2041	96177
3083	瞬时氦闪		红球三消时在闪光时精准长按普攻，可触发氦闪爆炸，消耗全部红球增加额外伤害，每额外消耗一个红球伤害增加60%。	3	3	[2270140]		2041	96178
3092	能源回收		消除黄球时，消耗所有黄球，每个黄球造成680%物理伤害，并提供持续3秒的20%额外伤害加成，每个黄球消耗时刷新持续时间。	3	3	[2270143]		2042	96180
3093	光刃延展		每次三消黄球时，增加5米光刃长度，总上限15米。	3	3	[2270144]		2042	96181
3102	追踪弹		消除蓝球时，消耗所有蓝球，每个蓝球造成510%物理伤害，并提供持续3秒可累加的导弹援助，每1.5秒对敌人释放追踪导弹。	3	3	[2270147]		2043	96183
3103	热能释放		蓝球三消时，消耗全部聚焦能量，每100点聚焦能量增加10米光刃长度，总上限15米，并对敌方单位发射导弹。	3	3	[2270148]		2043	96184
