Id	GroupId	Type	NpcName	NpcHalfIconPath	Contents	CueId	ContentsSkip	OptionTitle	Optionskip
1	101	1	丽芙	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，请允许我提醒一下，我们在每次行动中都会伴随着各种任务的执行。		2		
2	101	1	丽芙	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	完成任务之后可以获得大量的重要物资补给，请务必及时领取。		3		
3	101	1	丽芙	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	这样我们就能更早地换上那些更加先进的装备，对今后的行动会更加有利。		4		
4	101	1	丽芙	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	接下来就请试试吧。				
5	102	1	丽芙	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，多亏了大家的努力，我终于可以重新加入战斗了！		6		
6	102	1	丽芙	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	在这之前，请为我进行一些升级调试，并指派战斗位置。		7		
7	102	1	丽芙	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官……我已经，迫不及待和大家一起并肩作战了。				
15	105	1	露西亚	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	指挥官，构造体们都会有属于自己的军阶。		16		
16	105	1	露西亚	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	不仅是荣誉的象征，也会对机体性能有很大提升。		17		
17	105	1	露西亚	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	想要获得军阶的晋升就需要完成指定的任务。		18		
18	105	1	露西亚	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	接下来，请指挥官指引我获得更多的荣誉吧。				
19	1	1	丽芙	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，每一场战役都是长期而艰苦的，为了回馈指挥官每天的辛劳——		20		
20	1	1	丽芙	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	通过进行签到，每天获得新的物资补给。		21		
21	1	1	丽芙	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	补给中心为指挥官的第一次的签到准备了一把特制武器。		22		
22	1	1	丽芙	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，灰鸦小队的全体成员今后也会继续跟随您活跃在战场上。				
