SkipId	Origin	UiName	ParamId	Explain	IsRecord	ConditionId	FunctionalId	TimeId	StartTime	CloseTime	CustomParams	IsHideFunc	IsShowExplain	NotShowUI
8000	3	UiNewFuben	30090101	活动支线副本			10101					True		
8002	2	UiActivityBase	1	活动页签							[1]	True		
8001	2	UiActivityBase	2	公告页签							[1]	True		
8003	2	UiActivityBase	3	活动公告页签							[1]	True		
8101	2	UiAnnouncement	2	游戏公告跳转1							[1, 1001]	True		
8102	2	UiAnnouncement	2	游戏公告跳转2							[1, 1002]	True		
8103	2	UiAnnouncement	2	游戏公告跳转3							[1, 1003]	True		
8104	2	UiAnnouncement	2	游戏公告跳转4							[1, 1004]	True		
8105	2	UiAnnouncement	2	游戏公告跳转5							[1, 1005]	True		
8106	2	UiAnnouncement	2	游戏公告跳转6							[1, 1006]	True		
8107	2	UiAnnouncement	2	游戏公告跳转7							[1, 1007]	True		
8108	2	UiAnnouncement	2	游戏公告跳转8							[1, 1008]	True		
8109	2	UiAnnouncement	2	游戏公告跳转9							[1, 1009]	True		
8110	2	UiAnnouncement	2	游戏公告跳转10							[1, 1010]	True		
8111	2	UiAnnouncement	2	游戏公告跳转11							[1, 1011]	True		
8112	2	UiAnnouncement	2	游戏公告跳转12							[1, 1012]	True		
8113	2	UiAnnouncement	2	游戏公告跳转13							[1, 1013]	True		
8114	2	UiAnnouncement	2	游戏公告跳转14							[1, 1014]	True		
8115	2	UiAnnouncement	2	游戏公告跳转15							[1, 1015]	True		
8116	2	UiAnnouncement	2	游戏公告跳转16							[1, 1016]	True		
8117	2	UiAnnouncement	2	游戏公告跳转17							[1, 1017]	True		
8118	2	UiAnnouncement	2	游戏公告跳转18							[1, 1018]	True		
8119	2	UiAnnouncement	2	游戏公告跳转19							[1, 1019]	True		
8120	2	UiAnnouncement	2	游戏公告跳转20							[1, 1020]	True		
8121	2	UiAnnouncement	2	游戏公告跳转21							[1, 1021]	True		
8122	2	UiAnnouncement	2	游戏公告跳转22							[1, 1022]	True		
8123	2	UiAnnouncement	2	游戏公告跳转23							[1, 1023]	True		
8124	2	UiAnnouncement	2	游戏公告跳转24							[1, 1024]	True		
8125	2	UiAnnouncement	2	游戏公告跳转25							[1, 1025]	True		
8201	2	UiAnnouncement	3	活动公告跳转1							[2, 2001]	True		
8202	2	UiAnnouncement	3	活动公告跳转2							[2, 2002]	True		
8203	2	UiAnnouncement	3	活动公告跳转3							[2, 2003]	True		
8204	2	UiAnnouncement	3	活动公告跳转4							[2, 2004]	True		
8205	2	UiAnnouncement	3	活动公告跳转5							[2, 2005]	True		
8206	2	UiAnnouncement	3	活动公告跳转6							[2, 2006]	True		
8207	2	UiAnnouncement	3	活动公告跳转7							[2, 2007]	True		
8208	2	UiAnnouncement	3	活动公告跳转8							[2, 2008]	True		
8209	2	UiAnnouncement	3	活动公告跳转9							[2, 2009]	True		
8210	2	UiAnnouncement	3	活动公告跳转10							[2, 2010]	True		
8211	2	UiAnnouncement	3	活动公告跳转11							[2, 2011]	True		
8212	2	UiAnnouncement	3	活动公告跳转12							[2, 2012]	True		
8213	2	UiAnnouncement	3	活动公告跳转13							[2, 2013]	True		
8214	2	UiAnnouncement	3	活动公告跳转14							[2, 2014]	True		
8215	2	UiAnnouncement	3	活动公告跳转15							[2, 2015]	True		
8216	2	UiAnnouncement	3	活动公告跳转16							[2, 2016]	True		
8217	2	UiAnnouncement	3	活动公告跳转17							[2, 2017]	True		
8218	2	UiAnnouncement	3	活动公告跳转18							[2, 2018]	True		
8219	2	UiAnnouncement	3	活动公告跳转19							[2, 2019]	True		
8220	2	UiAnnouncement	3	活动公告跳转20							[2, 2020]	True		
8221	2	UiAnnouncement	3	活动公告跳转21							[2, 2021]	True		
8222	2	UiAnnouncement	3	活动公告跳转22							[2, 2022]	True		
8223	2	UiAnnouncement	3	活动公告跳转23							[2, 2023]	True		
8224	2	UiAnnouncement	3	活动公告跳转24							[2, 2024]	True		
8225	2	UiAnnouncement	3	活动公告跳转25							[2, 2025]	True		
40000	2	UiAutoWindow	1									True		
40001	2	UiAutoWindow	2									True		
40002	2	UiAutoWindow	3									True		
40003	2	UiAutoWindow	4									True		
40004	2	UiAutoWindow	5									True		
40005	2	UiAutoWindow	6									True		
40006	2	UiAutoWindow	7									True		
40007	2	UiAutoWindow	8									True		
40008	2	UiAutoWindow	9									True		
40009	2	UiAutoWindow	10									True		
40010	2	UiAutoWindow	11									True		
40011	2	UiAutoWindow	12									True		
40012	2	UiAutoWindow	13									True		
40013	2	UiAutoWindow	14									True		
40014	2	UiAutoWindow	15									True		
40015	2	UiAutoWindow	16									True		
40016	2	UiAutoWindow	17									True		
40017	2	UiAutoWindow	18									True		
40018	2	UiAutoWindow	19									True		
40019	2	UiAutoWindow	20									True		
40020	2	UiAutoWindow	21									True		
40021	2	UiAutoWindow	22									True		
40022	2	UiAutoWindow	23									True		
40023	2	UiAutoWindow	24									True		
40024	2	UiAutoWindow	25									True		
40025	2	UiAutoWindow	26									True		
40026	2	UiAutoWindow	27									True		
40027	2	UiAutoWindow	28	2022夏日签到								True		
40028	2	UiAutoWindow	29	超丽芙动效皮								True		
40029	2	UiAutoWindow	30	直播预告								True		
40030	2	UiAutoWindow	31	直播通知								True		
40031	2	UiAutoWindow	32	超比安卡伴生皮								True		
40032	2	UiAutoWindow	33	1.30版本图								True		
40033	2	UiAutoWindow	34	薇拉泳装								True		
40034	2	UiAutoWindow	35	1.31版本图								True		
40035	2	UiAutoWindow	36	罗塞塔Niki								True		
40036	2	UiAutoWindow	37	库洛姆Ivy								True		
40037	2	UiAutoWindow	38	1.32版本图								True		
40038	2	UiAutoWindow	39	冰露人鱼动效皮								True		
40039	2	UiAutoWindow	40	回归活动3期								True		
40040	2	UiAutoWindow	41	V2.0版本打脸图								True		
40041	2	UiAutoWindow	42	V2.0露娜特效皮打脸图								True		
40042	2	UiAutoWindow	43	V2.0暗赛琳娜特效皮打脸图								True		
