Id	Type	Model	Name	NameFrist	NameLast	HeadIcon	HeadRoundIcon	ExpFondleWidgetHeight	ExpDetailWidgetHeight	PutOnWidgetHight	DailogWidgetHight	DailogTouchHight	EffectWidgetHight	TouchWidgetHight	LoveType	LikeType	LikeCharIds	HateCharIds	LikePetIds	QuestAttrib
1011002	1	Assets/Product/Role/Room/Prefab/QR2LiangMd010011.prefab	里 异火	里	异火	Assets/Product/Texture/Image/Role/RoleHeadLiQ.png	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	0.85	0.6999	1.2	1.3999	0.5099	1.0	0.6	2	3	[1021001, 1031001]	[1061002]	[1001, 1002]	[1, 5]
1021001	2	Assets/Product/Role/Room/Prefab/QR1LuxiyaMd010011.prefab	露西亚 红莲	露西亚	红莲	Assets/Product/Texture/Image/Role/RoleHeadluxiyaQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	0.85	0.6999	1.2	1.3999	0.5099	1.0	0.6	2	3	[1031001, 1011003, 1061003]	[1071002]	[1001, 1002]	[1]
1031001	2	Assets/Product/Role/Room/Prefab/QR1LifuMd010011.prefab	丽芙 蚀暗	丽芙	蚀暗	Assets/Product/Texture/Image/Role/RoleHeadLifuQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3Q.png	0.85	0.6999	1.2	1.3999	0.5099	1.0	0.6	1	2	[1011002, 1021001, 1081002]		[1001, 1002]	[3]
1041002	2	Assets/Product/Role/Room/Prefab/QR2BiankaMd010011.prefab	比安卡 零度	比安卡	零度	Assets/Product/Texture/Image/Role/RoleHeadAolisuoQ.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3Q.png	0.85	0.6999	1.2	1.3999	0.5099	1.0	0.6	3	2	[1021001, 1031002]			[5, 7]
1051001	2	Assets/Product/Role/Room/Prefab/QR2YongyechaoMd010011.prefab	七实 风暴	七实	风暴	Assets/Product/Texture/Image/Role/RoleHeadYongyechaoQ.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3Q.png	0.85	0.6999	1.2	1.3999	0.5099	1.0	0.6	2	1	[1021001, 1031001, 1041002]	[1081002]	[1001, 1002]	[2, 6]
1061002	1	Assets/Product/Role/Room/Prefab/QR2ShenweiMd010011.prefab	神威 重能	神威	重能	Assets/Product/Texture/Image/Role/RoleHeadShenweiQ.png	Assets/Product/Texture/Image/Role/RoleHeadShenwei3Q.png	0.85	0.6999	1.2	1.3999	0.5099	1.0	0.6	1	2	[1031001, 1021001, 1081002]		[1001, 1002]	[2, 5]
1071002	2	Assets/Product/Role/Room/Prefab/QR2KalieninaMd010011.prefab	卡列尼娜 爆裂	卡列尼娜	爆裂	Assets/Product/Texture/Image/Role/RoleHeadKalieQ.png	Assets/Product/Texture/Image/Role/RoleHeadKalie3Q.png	0.85	0.6999	1.2	1.3999	0.5099	1.0	0.6	2	3	[1071003, 1041002, 1291002]	[1081002]	[1001, 1002]	[4, 5]
1081002	1	Assets/Product/Role/Room/Prefab/QR2DubianMd010011.prefab	渡边 夜刃	渡边	夜刃	Assets/Product/Texture/Image/Role/RoleHeadDubianQ.png	Assets/Product/Texture/Image/Role/RoleHeadDubian3Q.png	0.85	0.6999	1.2	1.3999	0.5099	1.0	0.6	3	2	[1061002, 1031001, 1011003]		[1001, 1002]	[4, 7]
1021002	2	Assets/Product/Role/Room/Prefab/QR2LuxiyaMd010011.prefab	露西亚 黎明	露西亚	黎明	Assets/Product/Texture/Image/Role/RoleHeadluxiyaSQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	0.85	0.6999	1.2	1.3999	0.5099	1.0	0.6	1	3	[1031002, 1011003, 1061003]		[1001, 1002]	[1, 2]
1031002	2	Assets/Product/Role/Room/Prefab/QR2LifuMd010011.prefab	丽芙 流光	丽芙	流光	Assets/Product/Texture/Image/Role/RoleHeadLifuSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	0.85	0.6999	1.2	1.3999	0.5099	1.0	0.6	3	2	[1021002, 1061002]		[1001, 1002]	[3, 7]
