Id	CharacterId	VitalityRecoveryType	VitalityRecovery	MoodRecoveryType	MoodRecovery	Pre	CompareType	AttrTotal	AttrCondition	Description
1	1011002	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
2	1011002		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
3	1011002		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
4	1011002		500		200	4	1	5500	{0: 0, 1: 3500, 2: 2000}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
5	1011002		600		500	5	1	10000	{0: 0, 1: 6500, 2: 3500}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
6	1021001	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
7	1021001		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
8	1021001		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
9	1021001		500		200	4	1	5500	{0: 0, 1: 3500, 2: 2000}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
10	1021001		600		500	5	1	10000	{0: 0, 1: 6500, 2: 3500}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
11	1031001	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
12	1031001		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
13	1031001		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
14	1031001		500		200	4	1	5500	{0: 3500, 1: 2000, 2: 0}	"""当所在宿舍达到美观度<color=#FF4E4EFF>3500</color>点,舒适度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
15	1031001		600		500	5	1	10000	{0: 6500, 1: 3500, 2: 0}	"""当所在宿舍达到美观度<color=#FF4E4EFF>6500</color>点,舒适度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
16	1041002	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
17	1041002		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
18	1041002		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
19	1041002		500		200	4	1	5500	{0: 0, 1: 2000, 2: 3500}	"""当所在宿舍达到实用度<color=#FF4E4EFF>3500</color>点,舒适度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
20	1041002		600		500	5	1	10000	{0: 0, 1: 3500, 2: 6500}	"""当所在宿舍达到实用度<color=#FF4E4EFF>6500</color>点,舒适度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
21	1051001	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
22	1051001		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
