Id	Name	ChapterId	OrderId	Difficulty	TierType	CoverPath
1	第1层	1	1	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal01.png
2	第2层	1	2	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal02.png
3	第3层	1	3	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal03.png
4	第4层	1	4	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal04.png
5	第5层	1	5	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal01.png
6	第6层	1	6	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal02.png
7	第7层	1	7	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal03.png
8	第8层	1	8	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal04.png
9	第9层	1	9	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal01.png
10	第10层	1	1	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard05.png
11	第11层	1	2	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard06.png
12	第12层	1	3	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard07.png
13	第13层	1	4	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard08.png
14	第14层	1	5	2	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard09.png
15	第1层	2	1	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal05.png
16	第2层	2	2	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal06.png
17	第3层	2	3	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal07.png
18	第4层	2	4	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal08.png
19	第5层	2	5	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal05.png
20	第6层	2	6	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal06.png
21	第7层	2	7	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal07.png
22	第8层	2	8	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal08.png
23	第9层	2	9	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal05.png
24	第10层	2	1	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard01.png
25	第11层	2	2	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard02.png
26	第12层	2	3	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard03.png
27	第13层	2	4	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard04.png
28	第14层	2	5	2	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard09.png
29	第1层	3	1	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal01.png
30	第2层	3	2	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal02.png
31	第3层	3	3	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal03.png
32	第4层	3	4	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal04.png
33	第5层	3	5	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal01.png
34	第6层	3	6	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal02.png
35	第7层	3	7	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal03.png
36	第8层	3	8	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal04.png
37	第9层	3	9	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal01.png
38	第10层	3	1	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard05.png
39	第11层	3	2	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard06.png
40	第12层	3	3	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard07.png
41	第13层	3	4	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard08.png
42	第14层	3	5	2	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard09.png
43	第1层	4	1	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal05.png
44	第2层	4	2	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal06.png
45	第3层	4	3	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal07.png
46	第4层	4	4	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal08.png
47	第5层	4	5	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal05.png
48	第6层	4	6	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal06.png
49	第7层	4	7	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal07.png
50	第8层	4	8	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal08.png
51	第9层	4	9	1	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageNormal05.png
52	第10层	4	1	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard01.png
53	第11层	4	2	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard02.png
54	第12层	4	3	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard03.png
55	第13层	4	4	2	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard04.png
56	第14层	4	5	2	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageHard09.png
