Key	Value	Comment
MineralId	96002	矿石物品id
MinerId	96003	矿工物品id
InitMinerCount		初始矿工数量
MinerEfficiency	10	矿工效率
MinerGrowRate	50	矿工增长速率（百分比）
InitElectricEnergy	50	初始电能
SetAssistCharacterCondition	94051	设置支援条件
SetAssistCharacterInterval	120	设置支援角色间隔(秒)
RefreshAssistCharacterInterval	30	刷新支援角色间隔（秒）
SetAssistCharacterRewardItem	1	支援角色奖励物品
SetAssistCharacterRewardInterval	60	支援角色奖励增长间隔(分钟)
SetAssistCharacterRewardValue	1000	单次支援角色奖励数量
LendCharacterRewardItem	1	借出角色奖励物品
SingleLendCharacterRewardValue	1000	单次借出奖励数量
MaxLendCharacterRewardValue	50000	最大借出奖励数量
MaxElectricTeamMemberCount	3	电力队伍最大人数
MaxPreTeamCount	5	预设队伍最大数量
DailyMaxBorrowCharacterCount	6	每日借用角色最大次数
UnGetRewardMail	62001	未领奖励补发邮件
ResultMail	62002	结算邮件
FriendAssistCount	5	好友支援数量
GuildAssistCount	5	公会支援数量
ShopSkipId	15004	商店跳转Id
BatteryItemId	96005	电池物品id
UiStrongholdAnimationCloseTime	5	进入战斗前弹窗的关闭倒计时（秒）
TipStartActivityMailId	62003	作战开启提醒
TipLastDayMailId	62004	作战截止提醒
MaintainChapterCondition	95220	维护作战开启条件
TeamPrefabStageId1	30202685	预设队伍参考关卡1
TeamPrefabStageId2	30202687	预设队伍参考关卡2
TeamPrefabStageId3	30202689	预设队伍参考关卡3
TeamPrefabStageId4	30202691	预设队伍参考关卡4
TeamPrefabStageId5	30202693	预设队伍参考关卡5
