Id	Condition	FightEventId	Icon	Name	Desc
1		[200001]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	弱点洞悉α	进攻型泛用机体攻击时将标记目标\n提升辅助型对其造成伤害
2		[200002]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	弱点洞悉β	进攻型泛用机体攻击时将标记目标\n提升装甲型对其造成伤害
3		[200003]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	信号余波	非进攻型泛用机体消除一定信号球后\n下名登场泛用机体伤害提高
4		[200004]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	士气高昂	非进攻型泛用机体造成一定伤害后\n下名登场泛用机体伤害提高
5		[200005]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称5	敌方每次受到攻击后，额外伤害减免降低2%，触发间隔1S\n可叠加至100%
6		[200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称6	普攻回球冷却时间延长一倍
7		[200007, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称7	特遣区，普攻回球效率降低，造成\n伤害后下名泛用机体登场时获得信号球
8		[200008, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称8	普攻回球效率降低，受到治疗时\n队伍成员可获得信号球
9		[200009]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称9	特遣区，QTE冷却时间缩短\nQTE额外回复当前角色信号球
10		[200010, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称10	特遣区，普攻回球效率降低\n普攻命中时会造成1次额外伤害
11		[200011, 200012]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称11	特遣区，QTE冷却时间增加\n但换人冷却时间减少
12		[200012]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称12	QTE冷却时间增加6S
13		[200013, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称13	特遣区，普攻回球效率降低\n获得护盾时队伍成员可获得信号球
14		[200014, 200042]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称14	特遣区，当前成员使用辅助机技能后\n接下来5秒内造成伤害提高
15		[200015]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称15	必杀消耗所有能量\n根据额外消耗提升伤害
16		[200016]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称16	每次切换角色时，额外获得9个信号球
17		[200017, 200018]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称17	角色获得的护盾强度和治疗效果提高100%
18		[200018, 200017]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称18	角色获得的护盾强度和治疗效果提高100%
19		[200019]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称19	角色释放必杀所需能量消耗减少50%
20		[200020]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	词缀名称20	每次切换角色后，登场角色获得10%额外伤害加成\n永久持续，可叠加至150%
21		[32031]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32031.png	暴走1	敌人增加33%进攻欲望，造成伤害时，有20%概率造成33%额外伤害
22		[32032]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32032.png	暴走2	敌人增加66%进攻欲望，造成伤害时，有40%概率造成33%额外伤害
23		[32033]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32033.png	暴走3	敌人增加100%进攻欲望，造成伤害时，有60%概率造成33%额外伤害
24		[11011]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11011.png	强攻1	敌人增加10%攻击力
25	[94014]	[11012]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11012.png	强攻2	敌人增加20%攻击力
26		[11013]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11013.png	强攻3	敌人增加30%攻击力
27	[94020]	[32151]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33152.png	埋雷	敌人攻击时会在目标身上埋下炸弹，炸弹在一段时间后爆炸，爆炸伤害为自身攻击 15%的物理伤害
28		[32071]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32071.png	辐射1	敌人对自身周围目标，每秒造成自身攻击1%的物理伤害
29	[94017]	[32072]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32072.png	辐射2	敌人对自身周围目标，每秒造成自身攻击2%的物理伤害
30		[32073]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32073.png	辐射3	敌人对自身周围目标，每秒造成自身攻击3%的物理伤害
31	[94022]	[32131]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	电盾	敌人每次受击时10%概率在伤害来源处落雷（CD5秒），落雷伤害为自身攻击 20%的雷属性伤害。
32		[32021]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32021.png	护盾1	敌人每8秒生成一个持续3秒的最大生命值量 15%护盾
33	[94018]	[32022]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32022.png	护盾2	敌人每8秒生成一个持续3秒的最大生命值量 25%护盾
34	[94021]	[32023]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32023.png	护盾3	敌人每8秒生成一个持续3秒的最大生命值量 35%护盾
