Id	FightEventId	Icon	Name	Desc
1	200071	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconJifa.png	激发	对眩晕状态下目标造成的伤害提高<color=#2f93e3>20%</color>
2	200072	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconShoushu.png	收束	每隔20秒后，将场中某个怪物的<color=#2f93e3>左/右/后</color>任意一个方向置为弱点方向，从该方向受到的伤害将会提高<color=#2f93e3>50%</color>，持续<color=#2f93e3>10</color>秒
3	200073	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconDaoliu.png	导流	束缚触发的眩晕时长延至<color=#2f93e3>5</color>秒，目标眩晕期间所受伤害的<color=#2f93e3>25%</color>将累计，换人攻击后（QTE除外）会结算给目标并重置累计值
4	200075	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconJifa.png	激发	全队成员共享“不屈”标记，受到致命伤害时将<color=#2f93e3>免除死亡</color>，回复全部生命并移除标记，标记存在时根据生命值百分比获得额外伤害加成，<color=#2f93e3>100%</color>时提高<color=#2f93e3>18%</color>
5	200076	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconShoushu.png	收束	登场成员将根据生命值百分比获得额外伤害加成，<color=#2f93e3>100%</color>时提高<color=#2f93e3>26%</color>
6	200077	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconDaoliu.png	导流	登场成员获得<color=#2f93e3>30%</color>额外伤害加成，但会每秒扣除生命值，并随驻场时间逐步<color=#b84e50>加快</color>，换人后重置速率
7	200080	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconJifa.png	激发	登场成员移动超过<color=#2f93e3>10/15/20</color>米时，获得<color=#2f93e3>8%/18%/25%</color>额外伤害加成，持续<color=#2f93e3>8</color>秒，不可叠加，换人后重置
8	200079	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconShoushu.png	收束	登场成员保持无位移状态每超过<color=#2f93e3>0.2S</color>，获得<color=#2f93e3>2%</color>额外伤害加成和减伤加成，可叠加<color=#2f93e3>15</color>层，移动后重置
9	200081	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconDaoliu.png	导流	成员在场时，使用电磁连线与周围一名随机敌方单位链接，<color=#2f93e3>距离适中</color>时我方受伤降低敌方受伤增加，<color=#b84e50>过远或过近</color>时我方受伤增加敌方受伤降低，易伤效果量在<color=#2f93e3>+25%</color>至<color=#b84e50>-20%</color>之间变化
10	200084	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconJifa.png	激发	超算空间内造成伤害的<color=#2f93e3>35%</color>将会累计，并在超算结束后额外结算给目标（可被减伤削减）
11	200083	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconShoushu.png	收束	超算空间内每消除1个信号球，全队将获得<color=#2f93e3>（消球数*2）%</color>的额外伤害加成，上限<color=#2f93e3>24%</color>，持续<color=#2f93e3>5</color>秒
12	200085	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconDaoliu.png	导流	切换成员时将清空并引爆场上所有目标身上的“冷冻”效果，根据层数造成当前登场成员攻击力<color=#2f93e3>700%/850%/1100%/1400%/1800%</color>的属性伤害
13	200087	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconJifa.png	激发	闪避后<color=#2f93e3>5</color>秒内，增加<color=#2f93e3>18%</color>额外伤害加成，不可叠加，刷新重置持续时间
14	200088	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconShoushu.png	收束	每次成功闪避敌人的攻击时，获得<color=#2f93e3>8%</color>额外伤害加成，持续时间无限，可叠加<color=#2f93e3>3</color>层，受伤后清空
15	200089	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconDaoliu.png	导流	换人时将回复所有闪避值，并使当前成员在<color=#2f93e3>10</color>秒内，根据闪避值百分比获得最高<color=#2f93e3>25%</color>额外伤害加成
16	200091	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconJifa.png	激发	造成伤害时，伤害将在<color=#b84e50>80%</color>~<color=#2f93e3>130%</color>间波动。
17	200092	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconShoushu.png	收束	进入战斗后，前三次紊流效果一定为<color=#2f93e3>增益</color>，且效果提升至原本的<color=#2f93e3>150%</color>
18	200093	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconDaoliu.png	导流	战斗中使用另一特殊计数器，每次换人时该数字随机增加1-6，登场成员根据当前点数获得最高<color=#2f93e3>40%</color>额外伤害加成，点数<color=#b84e50>超过21时重置</color>，每10秒自动加1（换人后重置该倒计时）
19	200095	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconJifa.png	激发	连击数首次达标时获得效果：\n50  造成500%的范围伤害\n75   获得30点必杀能量\n100   全队获得3个同色球\n150 当前成员获得“不动”\n200 8秒内伤害提高40%\n换人重置连击
20	200096	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconShoushu.png	收束	连击数超过<color=#2f93e3>100</color>后，下一次换人时将清空连击数，每清空<color=#2f93e3>20</color>连击数将获得<color=#2f93e3>4%</color>额外伤害加成，上限<color=#2f93e3>36%</color>，持续<color=#2f93e3>8</color>秒
21	200097	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconDaoliu.png	导流	连击数低于<color=#2f93e3>30</color>时额外伤害加成提高<color=#2f93e3>40%</color>，低于<color=#2f93e3>60</color>时提高<color=#2f93e3>25%</color>，低于<color=#2f93e3>90</color>时提高<color=#2f93e3>15%</color>
22	200099	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconJifa.png	激发	成员在场时消耗的总球数，将按照<color=#2f93e3>1/3</color>的比例（向上取整）增加给下一登场成员
23	200100	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconShoushu.png	收束	成员切换下场时，额外伤害加成提高<color=#2f93e3>25%</color>，持续<color=#2f93e3>6</color>秒
24	200101	Assets/Product/Texture/Atlas/UiStronghold/UiStrongholdIconDaoliu.png	导流	当前成员造成伤害达到<color=#2f93e3>5W/8W/10W</color>时，下一次登场成员获得持续<color=#2f93e3>5/8/10</color>秒，提高<color=#2f93e3>10%/20%/30%</color>的额外伤害加成
