TextId	ActorName	ActorTalk	Cv	Desc
1	卡列尼娜	灰鸦的指挥官，嘿，正好，你先坐下来。		
2	卡列尼娜	这个是最近工程部队里面一个兴趣小组捣鼓出来的玩具测谎仪，准度还挺高的。		
3	卡列尼娜	比如我现在说……		
4	卡列尼娜	对了，我今天把上面的臭领导们骂了一顿。		
5	[PlayerName]	卡列尼娜？		
6	[PlayerName]	这声音是？		
7	卡列尼娜	就代表我说了真话。		
8	卡列尼娜	然后……我今天没见过灰鸦的指挥官。		
9	[PlayerName]	是错误的声音？		
10		（坐下）		
11		（不坐下）		
12		回溯测试		
13	卡列尼娜	嗯，随便说点什么就好。		
14	卡列尼娜	既然坐下了就别想走，又不会吃了你，随便说点就行！		
15	卡列尼娜	哼哼，聪明，他们之后打算把这个当成商品出售，我正好缺只小白鼠，所以你懂的吧。		
16		要我随便说点什么吗？		
17		但是我拒绝！		
18	[PlayerName]	（无法反抗！）		
19	卡列尼娜	你怎么了，不说吗？		
20		一时半会不知道说啥		
21		玩海龟汤吧，猜我现在心里在想谁。		
22	卡列尼娜	欸？这就走了啊……咳咳！我、我的意思是，去忙你的正事吧！		
