TextId	ActorName	ActorTalk	Cv	Desc
1	七实	指挥官！看看七实发现了什么！是游戏厅诶！		
2		呃……这是拟真训练设施。		
3		是的，七实没有试一试吗？		
4		七实？你怎么在空中花园？		
5		我突然想起来我还有任务。		
6	七实	可是这明明看起来和游戏一样啊？你看还有平台跳跃，模拟射击……怎么看都很像游戏吧！		
7	七实	难道是——空中花园神秘的特种作战课程？这么好玩！七实也要挑战！		
8	七实	对了！指挥官是法奥斯的首席毕业生，肯定非常善于特种作战！		
9	七实	指~挥~官~教教七实吧！		
10	七实	七实想和指挥官一起玩……哇哦！好高的分数，这个纪录是指挥官你打出来的吗？		
11		是的，七实想不想听一下游戏的诀窍。		
12	七实	不要！这样即便打出来高分也是依靠指挥官的攻略。七实要自己找到胜利的方程式！		
13		少女第一次游戏就打出了惊人的高分，但还是差一点点，灰鸦指挥官的记录依旧高居榜首。		
14	七实	可恶，就差一点点……再来一把，七实要挑战指挥官的高分记录！		
15	七实	想不到吧！七实可是专程来找指挥官玩的哦~！		
16		可是，七实是怎么进来的呢？		
17	七实	秘~密~！才不要告诉指挥官。而且……		
18	七实	指挥官不是也没有告诉七实，空中花园的商业区里，居然藏着——这么多好玩的地方。		
19	七实	除了这个游戏厅，七实还看到那边好像有很多人来来往往的，好像很好玩的样子。指挥官，那边是哪里啊？		
20		七实要一起去玩吗？		
21	七实	好耶！有指挥官陪着，七实去哪里玩都可以！		
22	七实	哎？指挥官要走了吗？七实还想和指挥官一起玩呢。		
