TextId	ActorName	ActorTalk	Cv	Desc
220001501	影片推介员	灰鸦指挥官，您对这几部影片感兴趣吗？我可以为您简单介绍一下。		
220001502		我想了解《渡鸦的末日飞行》		
220001503		我想了解《渡鸦的后启示录》		
220001504		我想了解《橙色公路》		
220001505	影片推介员	《渡鸦的末日飞行》是一部伪纪录片式的影片，以一只渡鸦反常的迁徙活动，揭开末日的序章。		
220001506	影片推介员	从鸟类的视角展现末日世界，观察变异的环境与残存的人类文明。		
220001507	影片推介员	《渡鸦的后启示录》是《渡鸦的末日飞行》的续作，沿用了前作的伪纪录片形式，以渡鸦的自然习性串联起了两代鸟的漫长旅程。		
220001508	影片推介员	从鸟类的视角展现了灾难后世界的重建与复苏。		
220001509	影片推介员	本作已经拍摄完成，正在紧张的后期制作中。		
220001510		听起来还不错，我会考虑去看看的。		
220001511		……谢谢你的介绍。		
220001512	影片推介员	《橙色公路》是一部重制的黄金时代科幻片，讲述了地球资源枯竭后，人类抽取地核中一种名为“橙流”的液态能源维持社会运转。		
220001513	影片推介员	故事主人公是一位普通的运输司机，意外得知了一个足以毁灭“橙流”的秘密。		
220001514	影片推介员	此时，身为变种人的他却机缘巧合要护送一名人类博士横穿大陆，去往北极的研究基地入职。		
220001515		这位博士是能源相关的研究者吗？		
220001516		后来呢？		
220001517	影片推介员	这位博士是一位优秀的艺术史研究员，他对自然的观察和感触深深感动了运输司机。		
220001518	影片推介员	两人几经波折，化解了人类与变种人之间的偏见，成为了毕生挚友。		
220001519	影片推介员	嗯……这一段“致敬”了另一部著名电影。		
220001520		导演还记得“橙流”的秘密吗？		
220001521		我比较想看被致敬的电影。		
220001522		我还有点事先走了，下次一定。		
220001523		退出		
