TextId	ActorName	ActorTalk	Cv	Desc
1	薇拉	哦？原来你这么期待这次的“约会”啊~	510002323	
2	薇拉	嘴巴真硬，真该再多晾你一会儿。	510002324	
3	薇拉	你看起来很着急啊，是在找什么人吗，指~挥~官~？	510002321	
4	薇拉	告诉我，刚才有没有哪一个瞬间，你觉得我会失约，只留下你一个人在这，孤零零地吹着冷风？	510002322	
5	薇拉	不得不说，这片广场看着还挺像那么回事的，到处都是乐呵呵的蠢货，你在逗他们开心这方面，确实很有天赋。	510002325	
6	薇拉	不过，我的要求，可要比他们高那么“一点点”。	510002326	
7	薇拉	我最近可是很忙的，推了不少揍人和抓人的任务，才挤出来这点时间陪你一起。	510002327	
8	薇拉	我很期待你的这场庆典，如果没有让我满意的话，我恐怕是要给你一点小小的“惩罚”。	510002328	
9	薇拉	嗯……你还真是贪心啊。	510002329	
10	薇拉	好啊，如果今天的庆典能让我满意，我答应你，会给你一份相应的奖励。	510002330	
11	薇拉	那就来吧，让我瞧一瞧，大名鼎鼎的灰鸦指挥官，会想出怎样的方式取悦我呢？	510002331	
12		薇拉……		
13		我在找你。		
14		有。		
15		没有。		
16		你的意思是？		
17		亿点点？		
18		惩罚有了，那会有奖励吗？		
19		我们现在出发吧。		
20		我很有自信。		
