TextId	ActorName	ActorTalk	Cv	Desc
1	赛琳娜	……指挥？		
2	赛琳娜	时序广场熙熙攘攘，有这么多人擦肩而过……能在这样的场合下恰好遇见你，感觉今天真是奇妙又幸运。		
3	赛琳娜	我只是……在目送那些离港的运输机远去的身影。		
4	赛琳娜	指挥，你能听到吗？伴随着它们远行离去的，那些来自远方的声音。		
5	赛琳娜	这些运输机在出发前满载着出行将士们的信念，还有他们的家人们的祈祷与叮咛……这些声音总会我心间回荡。		
6	赛琳娜	在当前这个时代，我们无法预知某一个瞬间的价值，直至它成为不可企及的回忆。真希望他们都有认真的告别。		
7	赛琳娜	……所以，每次听到运输机的引擎声，我都忍不住在想，或许此刻身旁涌过的风中，是否也挟藏着某句未说出口的珍重呢？		
8	赛琳娜	但愿，他们都能平安归来。		
9	赛琳娜	指挥也知道了啊……嗯，在拉开幕布之前，确实需要沉淀一下自己的心绪。		
10	赛琳娜	就像这里，虽然这里人来人往，但是在听着这些属于日常的、平凡的声音……反而能让那些对于舞台期待和忐忑，慢慢平静下来。		
11	赛琳娜	聚光灯和观众们的注视，协会同伎们的期待……我需要将这些重量转化我前行的动力。		
12	赛琳娜	多谢，指挥。听你这么说，我安心了不少。我会尽我所能，完成这次演出的。		
13	赛琳娜	我在收集一些声音。这里很僻静，相较于星幕树下，这里人会少一些，也更清净一点，很适合寻找创造灵感。		
14	赛琳娜	是的，最近协会在筹备一个很有意思的主题展呢。		
15	赛琳娜	我们想尝试捕捉城市里不同时刻的声音纹理，将它们融入艺术创作中。		
16	赛琳娜	比如……此刻广场上的喧嚣，星幕树下恋人们的轻语，还有……我们之间彼此的心声。		
17	赛琳娜	这些看似平凡的声响，其实都是空中花园跳动的脉搏，我们想用色彩将它们“翻译”出来，指挥觉得这个想法如何？		
18	赛琳娜	当然，我会给指挥预留好门票的。我很期待能和你一起，去听听那些“被看到”的声音。		
19	赛琳娜	再见，指挥，我们还会相见的。		
20		你方才的神情，似乎很专注？		
21		听说近期有赛琳娜的演出？在整理心情吗？		
22		赛琳娜在做什么呢？		
23		赛琳娜，明天见。		
24		来自远方的声音？		
25		嗯，一定会的。		
26		我相信你的演出，一定可以完美的传达你真正的心声。		
27		寻找灵感？艺术协会有新的活动了吗？		
28		听起来很新奇，我可以来看看展览吗？		
