TextId	ActorName	ActorTalk	Cv	Desc
1	露西亚	对之前已经见过的事物，也还会有惊艳的说法吗？	510000353	
2	[PlayerName]	所以现在，我应该是等到了那个“惊喜”，对吗？		
3	露西亚	是对我们来说，共同的“惊喜”。	510000351	
4	露西亚	指挥官刚才是看得入神了么？最近很少见到你这样的表情。	510000352	
5	[PlayerName]	在录入选填词的时候，你就已经明确了想要这件礼服吗？		
6	露西亚	不，我只是标注了希望为我们选出一件，在回忆中意义独特的服饰。	510000354	
7	露西亚	在进入“筑梦之境”后，当我发现出现在身上的是它时，我就明白了。	510000355	
8	露西亚	是我们的记忆选择了它。	510000356	
9	露西亚	既然要做到独一无二的纪念，那每一个细节都不能落下。	510000357	
10	露西亚	[PlayerName] ，你想知道......我将它作为最后的关键词，是为了什么吗？	510000358	
11	露西亚	因为......我想丰富与它有关的那份“誓言”。	510000359	
12	露西亚	“我希望能够延续这场奇迹，直到时间，或是生命的尽头。”	510000360	
13	露西亚	就像指挥官说过的那样，既然是我的愿望，那再贪心一点，也是被允许的吧？	510000361	
14	露西亚	人群的瞩目并不够，教堂的钟声、还有那片烂漫飘曳的花海也不够。	510000362	
15	露西亚	对这份誓言的见证，不知不觉间，我想要索求更多，哪怕是已经有过的一切，都还远远不够。	510000363	
16	露西亚	我想让这件礼服作为媒介，在这个只属于我们的世界里，再次填充属于我们二人的回忆与心愿。	510000364	
17	[PlayerName]	那就让它也成为“誓言”的一部分吧。就像是你我美好回忆的不变见证。		
18	露西亚	都还有“它”陪伴着我们，与回忆永存。	510000365	
19	[PlayerName]	说到惊喜，可不只是露西亚一个人在努力，我也准备了一份。		
20	[PlayerName]	这是我跟工作人员额外申请到的福利，“筑梦之境”的悬浮留影机。		
21	露西亚	所以……“誓言”的见证越来越丰富了，对吗？	510000366	
22	[PlayerName]	来吧，这场属于我们的美梦，准备开始了。		
23		这件礼服……		
24		有些惊艳。		
25		因为它足够重要。		
26		因为那场婚礼。		
27		不论怎样的未来，我都无所畏惧		
28		及世之世，以至永远		
29		无论身处何方，此时置于过去还是未来——		
30		美好的回忆总是不嫌多的。		
