TextId	ActorName	ActorTalk	Cv	Desc
1	曲	你来了。		
2	曲	空中花园的商业区确实规模庞大，我找了许久出口没有找到，倒是找到了九龙风格的餐厅。		
3		除了餐厅，这里还有九龙风格的商店。		
4		你尝过餐厅的菜品了吗？		
5		不止九龙，其他地域风格的店铺也很多。		
6		我还有事，先告辞了。		
7	曲	我刚才在露天广场上看到了，没想到，在九龙无人问津的小物件居然在空中花园如此火爆。		
8		九龙有句话说的是……“物以稀为贵”？		
9	曲	嗯，有道理，有些东西是空中花园里不常见的……看来你对九龙的典故也颇为了解。		
10	曲	而且有意思的是，很多原本属于九龙的小物件在空中花园也得到了“新式”的补充创造。		
11	曲	或许我也应该带几个“特别的”纪念品回去，你来帮我挑几个。		
12	曲	我已经尝过了， 味道不错，但还差一点。		
13		差了一点什么？		
14	曲	……也许是“烟火气”。“烟火气”不仅仅是几道菜品，更是一种文化和传承，一种人情味。		
15	曲	不过我不是在对空中花园的九龙饮食做严苛评价，我的意思是——还差你。		
16	曲	就由你来陪我，懂了吗？		
17	曲	看来你对这个区域很熟悉，来给我当个向导吧。		
18		乐意之至。		
19	曲	这次全新翻新的商业区很有趣，总是让我遥想起黄金时代的景象。		
20	曲	店铺风格迥异，商品琳琅满目……那时地球上比较繁荣的商业区也不过如此，跟我一起走走吧，我打算多从这里汲取一些兴趣。		
21	曲	可以，日后有机会，我们还可以同行。		
