TextId	ActorName	ActorTalk	Cv	Desc
1	野外活动部 宣传	啊，【kuroname】前辈你好，要来试试我们野外活动社的新成果“随时油条”吗？		
2	【kuroname】	你们是什么社团来着？		
3	【kuroname】	来一份？		
4	野外活动部 宣传	我们野外活动社是由食品研发与越野社两个部门整合而成的社团。		
5	野外活动部 宣传	主要的内容继承了两者的优点，专门研究的是在恶劣的野外怎么能吃到提升士气的食物。		
6	野外活动部 宣传	对外是这么说，不过老实说，我们就是希望轮到自己实际作战的时候能够有多点餐点选择而已。		
7	【kuroname】	虽然名字有些奇特，但吃上去和普通的油条无异。		
8	野外活动部 宣传	很好吃，就像是刚做出来的对吧，为了让便携食物获得这个口感我们可是下了很多工夫的。		
9	野外活动部 宣传	对了，【kuroname】前辈，不介意的话之后也多来这里试吃如何？		
10	野外活动部 宣传	作为实际作战人员的你的意见肯定会对我们后续餐点开发提供很多帮助的！		
11	【kuroname】	有空的话。		
12	【kuroname】	可以。		
13	野外活动部 宣传	谢谢！		
