TextId	ActorName	ActorTalk	Cv	Desc
1	伊莫金	唉……		
2		你在这里做什么？		
3		发生什么事了吗？		
4	伊莫金	嗯……？诶！灰鸦指挥官？居然在这遇到您。		
5	[PlayerName]	幸会，你是……遇到什么事情了吗？看起来有些苦恼。		
6	伊莫金	这么明显吗，看来我“失败者”的气息藏都藏不住了。		
7	伊莫金	您知道”涡流画派“吗？我是这个画派的一员，我们是一个以宇宙星系为创作母题的艺术流派。		
8		听说过一点。		
9		不太了解。		
10	伊莫金	我们确实没什么名气啦，最近好几次展出申请都被驳回了。好不容易通过，还被撤展了。		
11	伊莫金	是我们做错了什么吗？还是、还是我画得太差劲了……		
12		也许主办方有其他的考虑。		
13		我相信你们一定会被看到。		
14	伊莫金	其他考虑？		
15	[PlayerName]	人类的未来不在遥远的宇宙深处，而在孕育了我们的故土……也许在当前的陈设主题下，主办方更希望传达这样的感情吧。		
16	伊莫金	所以并不是我们不够好，只是……可能不太符合这一期的主题吗？		
17	[PlayerName]	至少我觉得你们的理念很不错，继续加油吧。		
18	伊莫金	呜……真的可以吗？		
19	[PlayerName]	当然，艺术是表达与共鸣的循环，“涡流画派”也是从无到有，慢慢聚集起同频与同好伙伴的吧？		
20	伊莫金	没错……		
21	[PlayerName]	那么请继续加油，等待那些与你们有着共同感触的人吧。我相信他们正在与你相遇路上了。		
