ActivityId	MainTimeId	MainTemplateId	MainTemplateCount	TaskSourceGroupId	ShopId	EventCause	ExtraItem	PeriodId	Name	Kind	IsMajorActivity	SkipId	ActivityIcon	Description
43008	46501	[50005]	[500]			[250001]		[4300801]	空域调讯	[29]		90058	Assets/Product/Texture/Image/UiTodolist/UiTodolist167.png	
45001	46201							[4500101]	戴冠者长存	[1]		20235	Assets/Product/Texture/Image/UiTodolist/UiTodolist185.png	
45002	46204							[4500201]	雾夜赤冕	[22]		10035	Assets/Product/Texture/Image/UiTodolist/UiTodolist186.png	
45003	46930							[4500301]	冥契妖翎	[8]		1300635	Assets/Product/Texture/Image/UiTodolist/UiTodolist187.png	
45004	46202							[4500401]	悠羽倾舞	[6]		11724	Assets/Product/Texture/Image/UiTodolist/UiTodolist188.png	
45005	46910							[4500501]	雾夜镇魂曲	[8]		89062	Assets/Product/Texture/Image/UiTodolist/UiTodolist189.png	
45006	46101							[4500601]	雾宇瞭望	[6]		89093	Assets/Product/Texture/Image/UiTodolist/UiTodolist190.png	
45007	46651							[4500701]	旧世游艺	[4]		20333	Assets/Product/Texture/Image/UiTodolist/UiTodolist191.png	
45008	46501							[4500801]	疾速追缉	[29]		90058	Assets/Product/Texture/Image/UiTodolist/UiTodolist167.png	
45009	46707							[4500901]	众志行征Ⅹ	[8]		20266	Assets/Product/Texture/Image/UiTodolist/UiTodolist193.png	
45010	46707							[4501001]	相约纪事	[8]		20266	Assets/Product/Texture/Image/UiTodolist/UiTodolist193.png	
45011	46707							[4501101]	Placeholder_预热	[8]		20266	Assets/Product/Texture/Image/UiTodolist/UiTodolist193.png	
