Id	Name	Desc	EventId	IsSuccess	ConditionId
1	通用失败条件：全员死亡	最后一个人也死去了	1010		1010
2	通用失败条件：全员死亡	最后一个人也陷入了绝望	1020		1020
101	营地人数超过24人	我们成功了	2010	True	2010
201	完美结局	回到故乡的路	2020	True	2020
202	普通结局	一直延续的梦	2022	True	2022
203	坏结局	没有人的未来	2024	True	2024
301	营地35人及精神值大于60	勇敢的探险者	20305	True	20303
302	营地35人及精神值小于60	成为英雄的代价	20307	True	20304
303	营地30人及精神值大于60	小镇的守护者	20301	True	20301
304	营地30人及精神值小于60	无力的弱者	20303	True	20302
401	我们成功了	漫长的等待	20405	True	20406
402	我们成功了	世界再无齐娜	20407	True	20407
403	我们成功了	与世界重修旧好	20401	True	20408
404	我们成功了	我们回家吧	20403	True	20409
501	普通结局	无能为力——未能拯救任何人	2052101	True	20501
502	普通结局	独自一人——只有你活了下来	2052103	True	20502
503	完美结局	生的希望——最后的幸存者	2052105	True	20503
601	第六关结局-A	邙山的归客	2060	True	2060
602	第六关结局-B	迟到的告别	2062	True	2062
603	第六关结局-C	沉默的代价	2064	True	2064
