Id	Name	Desc	Temperature	Icon	BigIcon	EffectPath	AttributeId	EventId	NoRepeat	EventWeight
101	晴天	适宜|对拾荒者影响较小，资源消耗较少。	20~25	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherQingtian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoSun.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSun1301.prefab	[101, 102, 103]	[-1, 1100, 1102, 1104, 1106, 1108, 1110, 1112]	[None, True, None, None, None, None, None, None]	[1000, 1000000, 1000, 1000, 1000, 1000, 100, 100]
102	雨天	差劲|对拾荒者略有影响，每天将消耗较多物资。	5~15	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherYutian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRain.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreRain1301.prefab	[104, 105, 106]	[-1, 1200, 1202, 1204, 1206, 1208, 1210, 1212, 1214, 1217]	[None, True, None, None, None, None, None, None, None, None]	[1000, 1000000, 1000, 1000, 1000, 1000, 100, 100, 100000, 100000]
103	雪天	严酷|建筑会有停止工作的风险。	-10~3	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherXuetian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoSnow.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSnow1301.prefab	[107, 108, 109]	[-1, 1300, 1302, 1304, 1306, 1308, 1310, 1312, 1314, 1316, 1318, 1320, 1323]	[None, True, True, True, None, None, None, None, None, None, None, None, None]	[1000, 1000000, 100000, 100000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 100000, 100000]
201	晴天	适宜|对拾荒者影响较小，资源消耗较少。	20~25	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherQingtian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoSun.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSun1301.prefab	[201, 202, 203]	[-1, 1100, 1102, 1104, 1106, 1108, 1110, 1112]	[None, True, None, None, None, None, None, None]	[1000, 1000000, 1000, 1000, 1000, 1000, 100, 100]
202	雨天	差劲|对拾荒者略有影响，每天将消耗较多物资。	5~15	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherYutian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRain.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreRain1301.prefab	[204, 205, 206]	[-1, 1200, 1202, 1204, 1206, 1208, 1210, 1212, 1214, 1217]	[None, True, None, None, None, None, None, None, None, None]	[1000, 1000000, 1000, 1000, 1000, 1000, 100, 100, 100000, 100000]
203	雪天	严酷|建筑会有停止工作的风险。	-10~3	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherXuetian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoSnow.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSnow1301.prefab	[207, 208, 209]	[-1, 1300, 1302, 1304, 1306, 1308, 1310, 1312, 1314, 1316, 1318, 1320, 1323]	[None, True, True, True, None, None, None, None, None, None, None, None, None]	[1000, 1000000, 100000, 100000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 100000, 100000]
204	红潮	危险|有概率受到袭击，丢失资源。	-2~8	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherHongchao.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRed.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreRed1301.prefab	[210, 211, 212]	[-1, 1400, 1402, 1404, 1406, 1408, 1410, 1412, 1414, 1416, 1418, 1420, 1423, 1426, 1429]	[None, True, True, True, None, None, None, None, None, None, None, None, None, None, None]	[1000, 1000000, 100000, 100000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 100000, 100000, 100000, 100000]
301	彩虹	完美|“五彩斑斓”，好事发生	26-30	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherCaihong.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRainbow.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSun1302.prefab	[30101, 30102, 30103]	[20337]	[True]	[1000000]
302	晴天	适宜|阳光明媚，五谷丰登	28-32	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherQingtian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoSun.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSun1301.prefab	[30201, 30202, 30203]	[-1]	[None]	[1000]
303	雷雨	差劲|雨湿哒哒，天气转凉	18-25	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherYutian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRain.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreRain1301.prefab	[30301, 30302, 30303]	[-1, 20333, 20335]	[None, True, True]	[800, 100, 100]
304	雾霾	恶劣|路面灰暗，沙尘四起	13-18	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherWumai.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoHaze.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreFog1301.prefab	[30401, 30402, 30403]	[-1, 20321, 20323, 20329]	[None, True, True, True]	[4050, 200, 200, 50]
305	暴雪	严酷|温度骤降，大雪纷飞	0-10	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherXuetian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoSnow.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSnow1301.prefab	[30501, 30502, 30503]	[-1, 20325, 20327, 20331]	[None, True, True, True]	[2250, 100, 100, 50]
401	彩虹	完美|“五彩斑斓”，好事发生	26-30	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherCaihong.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRainbow.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSun1302.prefab	[40101, 40102, 40103]	[-1]	[None]	[1000]
402	晴天	适宜|阳光明媚，五谷丰登	28-32	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherQingtian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoSun.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSun1301.prefab	[40201, 40202, 40203]	[-1, 20431]	[None, True]	[1000, 1000]
403	雷雨	差劲|雨湿哒哒，天气转凉	18-25	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherYutian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRain.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreRain1301.prefab	[40301, 40302, 40303]	[-1]	[None]	[1000]
