Id	Desc	Type	Trigger	Args	MaxValue
10100	12 天后，无条件通关	701			12
10101	幸存者数量不少于 15 人	203		[12, 15]	15
10102	保持幸存者健康值在 80 以上	201		[12, 1, 80]	80
10103	保持幸存者饱腹值在 80 以上	201		[12, 2, 80]	80
10200	幸存者数量不少于 15 人	203		[16, 15]	15
10201	保持幸存者健康值在 80 以上	201		[16, 1, 80]	80
10202	保持幸存者饱腹值在 60 以上	201		[16, 2, 60]	60
10203	探索【染血的教堂】	401		[10208]	1
10300	幸存者数量不少于 35 人	203		[18, 30]	30
10301	保持幸存者健康值在 70 以上	201		[18, 1, 70]	70
10302	保持幸存者饱腹值在 70 以上	201		[18, 2, 70]	70
10303	建造一座通讯设备	301		[18, 8, 1]	1
10400	幸存者数量不少于 40 人	203		[18, 40]	40
10401	保持幸存者健康值在 80 以上	201		[18, 1, 80]	80
10402	保持幸存者饱腹值在 80 以上	201		[18, 2, 80]	80
10403	建造4座住宅	301		[18, 4, 4]	4
10500	幸存者数量不少于 20 人	203		[16, 20]	20
10501	幸存者数量不少于 25 人	203		[16, 25]	25
10502	探索【浓雾笼罩的超市】	401		[10512]	1
10503	探索【隐藏房间】	401		[10510]	1
20101	幸存者数量不少于 24 人	203		[-1, 24]	24
20201	探索地点 8	401		[20208]	1
20301	幸存者数量不少于 30 人	203		[-1, 30]	30
20401	探索【城市中心】	401		[20405]	1
20501	触发【最后一幕】事件	602		[2052107]	1
20601	探索地点 9	401		[20609]	1
