Id	Name	DayCount	WeatherId
101	第一关模式1	15	[101, 101, 101, 101, 102, 102, 102, 101, 102, 102, 103, 103, 103, 103, 102]
102	第一关模式2	15	[101, 101, 101, 102, 102, 101, 101, 102, 102, 103, 103, 103, 102, 102, 101]
201	第二关模式1	7	[201, 201, 201, 202, 202, 202, 201]
202	第二关模式2	7	[201, 201, 202, 202, 201, 202, 202]
203	第二关模式3	7	[202, 202, 202, 203, 203, 203, 202]
204	第二关模式4	7	[202, 202, 202, 203, 203, 202, 203]
205	第二关模式5	9	[202, 204, 203, 203, 202, 202, 204, 202, 202]
206	第二关模式6	9	[203, 204, 203, 202, 202, 204, 202, 202, 202]
30001	第三关初始天气模式	5	[303, 304, 303, 305, 304]
30002	第三关结局1天气触发模式	5	[301, 301, 302, 302, 302]
30003	第三关中途阶段天气模式	5	[305, 305, 305, 305, 305]
40001	第四关初始天气模式	5	[402, 402, 403, 404, 403]
40002	第四关二阶段模式	5	[403, 404, 403, 403, 404]
40003	第四关结局模式	5	[401, 401, 402, 401, 402]
50011	第五关阶段1天气模式1	5	[502, 502, 502, 502, 502]
50012	第五关阶段1天气模式2	5	[502, 502, 502, 503, 503]
50013	第五关阶段1天气模式3	5	[502, 502, 503, 502, 502]
50021	第五关阶段2天气模式1	5	[503, 503, 503, 503, 503]
50031	第五关阶段3天气模式1	5	[503, 503, 504, 503, 503]
50032	第五关阶段3天气模式2	5	[503, 504, 503, 504, 503]
50033	第五关阶段3天气模式3	5	[504, 503, 503, 504, 503]
50034	第五关阶段3天气模式4	5	[503, 504, 503, 503, 504]
50041	第五关阶段4天气模式1	5	[501, 501, 505, 501, 505]
50042	第五关阶段4天气模式2	5	[505, 501, 501, 505, 505]
50043	第五关阶段4天气模式3	5	[501, 505, 505, 505, 501]
50051	第五关阶段5天气模式1	5	[501, 501, 501, 501, 501]
601	第六关 1 ~ 5   天天气	10	[601, 601, 601, 602, 602, 602, 602, 602, 602, 603]
602	第六关 6 ~ 10 天天气	10	[602, 602, 602, 602, 603, 602, 603, 602, 603, 603]
603	第六关 11~15 天天气	10	[602, 603, 602, 603, 603, 603, 603, 603, 603, 603]
604	第六关 15天以上 天气	10	[603, 603, 603, 603, 603, 603, 603, 603, 603, 603]
607	第六关事件天气	5	[604, 604, 602, 602, 603]
608	第六关事件天气	5	[605, 605, 605, 605, 605]
