Id	Desc	Trigger	EffectType	Args	SourceType	SourceCount	TargetType	TargetCount
1	建筑：小废墟：正常工作时，每个回合获得300木头300钢	2	2001				[1, 2]	[300, 300]
2	建筑：小废墟：正常工作时，1回合后，建筑转变为空地	2	2004	[1]				
3	建筑：中废墟：正常工作时，每个回合获得600木头，600钢材	2	2001				[1, 2]	[600, 600]
4	建筑：中废墟：正常工作时，1回合后，建筑变为空地	2	2004	[1]				
5	建筑：大废墟：正常工作时，每个回合获得1000木头，1000钢材	2	2001				[1, 2]	[1000, 1000]
6	建筑：大废墟：正常工作时，1回合后，建筑变为空地	2	2004	[1]				
7	建筑：医疗站：每一天，产出5血清	2	2001				[3]	[5]
8	建筑：补给站：每一天，产出5食物	2	2001				[4]	[5]
9	建筑：前哨站：解锁探索小队	13	2003	[1]				
10	建筑：前哨站：解锁探索功能	13	2006					
10101	第一关初始化：300木材	1	1001				[1]	[300]
10102	第一关初始化：300钢材	1	1001				[2]	[300]
10103	第一关初始化：10血清	1	1001				[3]	[10]
10104	第一关初始化：10食物	1	1001				[4]	[10]
10105	第一关初始化：10个人，60属性值	1	1005	[10, 60, 60, 100]				
10106	第一关初始化：拥有 2 座小的废墟	1	1007	[1, 2, 1]				
10107	第一关初始化：拥有 1 座【前哨站】	1	1007	[7, 1, 1]				
10109	第一关固定事件1：获得20药物20食物		1001				[3, 4]	[20, 20]
10110	第一关固定事件1：召唤5个壮汉		1005	[5, 100, 100, 100]				
10111	第一关固定事件2：扣减8健康、8饱腹		1002	[-8, -8, 0]				
10151	第一关地点1		4001	[1, 215, 2, 135]				
10152	第一关地点2		4001	[1, 260, 2, 325]				
10153	第一关地点3		4001	[3, 10, 4, 15]				
10154	第一关地点4		4001	[3, 25, 4, 20]				
10155	第一关地点4		4002	[4, 60, 60, 100]				
10156	第一关地点5		4001	[1, 120, 2, 140]				
10157	第一关地点6		4001	[1, 210, 2, 225]				
10158	第一关地点7		4001	[3, 15, 4, 20]				
10159	第一关地点7		4002	[5, 60, 60, 100]				
10201	第二关初始化：300木材，300钢材	1	1001				[1, 2]	[300, 300]
10202	第二关初始化：30药物，30食物	1	1001				[3, 4]	[30, 30]
10203	第二关初始化：25个人，60属性值	1	1005	[25, 60, 60, 100]				
10204	第二关初始化：拥有2座小的废墟	1	1007	[1, 2, 1]				
10205	第二关初始化：拥有2座中废墟	1	1007	[2, 1, 1]				
10207	第二关固定事件1：收到 25 药物和 25 食物		1001				[3, 4]	[25, 25]
10208	第二关固定事件2：失去5血清，5食物		1001		[3, 4]	[5, 5]		
10209	第二关固定事件3：失去10血清，10食物		1001		[3, 4]	[10, 10]		
10210	第二关固定事件4：失去15血清，15食物		1001		[3, 4]	[15, 15]		
10212	第二关支线【归家之路：同意】选项结果：解锁【乱石河滩】		1008	[10213]				
10218	第二关支线【归家之路-2：肯定】选项结果：收到 50 木材、50 钢材		1001				[1, 2]	[50, 50]
10220	第二关支线【归家之路-2：否定】选项结果：收到 50 木材、50 钢材		1001				[1, 2]	[50, 50]
10222	第二关支线【归家之路-3：齐格纳死亡】：收到 50 木材、50 钢材		1001				[1, 2]	[50, 50]
10224	第二关支线【归家之路-3：齐格纳存活】：增加 1 位新成员		1005	[1, 80, 80, 100]				
10251	第二关地点1		4001	[1, 165, 2, 180]				
10252	第二关地点2		4001	[1, 135, 2, 120]				
10253	第二关地点3		4001	[1, 240, 2, 200, 3, 40, 4, 40]				
10254	第二关地点4		4001	[1, 95, 2, 110]				
10255	第二关地点5		4001	[1, 260, 2, 260]				
10256	第二关地点5		4002	[1, 50, 50, 100]				
10257	第二关地点6		4001	[1, 75, 2, 85]				
10258	第二关地点7		4001	[3, 30, 4, 35]				
10259	第二关地点7		4002	[11, 60, 60, 80]				
10260	第二关地点8		4001	[1, 55, 2, 90]				
10261	第二关地点9		4001	[1, 260, 2, 245]				
10262	第二关地点10		4001	[1, 425, 2, 455]				
10263	第二关地点11		4001	[3, 25, 4, 25]				
10264	第二关地点11		4002	[10, 60, 60, 100]				
10265	第二关支线地点1		4001	[1, 170, 2, 150]				
10266	第二关支线地点2		4001	[1, 60, 2, 100]				
10301	第三关初始化：300木材	1	1001				[1]	[300]
10302	第三关初始化：300钢材	1	1001				[2]	[300]
10303	第三关初始化：10血清	1	1001				[3]	[15]
10304	第三关初始化：10食物	1	1001				[4]	[15]
10305	第三关初始化：28个人，100属性值	1	1005	[28, 100, 100, 100]				
10306	第三关初始化：拥有1座小废墟	1	1007	[1, 1, 1]				
10307	第三关初始化：拥有1座大废墟	1	1007	[3, 1, 1]				
