Id	Name	Order	Desc	PreStage	OpenTime	PrefabPath	FirstPlace	PlaceId	DayCount	MaxBuildingCount	Effect	PlaceIReadOnlyList	TaskPool	MainTaskId	SubTaskId	EffectIds	BuildingIds	EndingId	WeatherModeId	WeatherModeWeight	PossibleWeather
101	立足点	Ep.01	与同伴商议后，我们决定把这座经过漫长跋涉后发现的城市当做立足点，希望大家能一起熬过去……			Assets/Product/Ui/ComponentPrefab/UiDoomsday/GridOnePath.prefab	10101	[10101, 10102, 10103, 10104, 10105, 10106, 10107, 10108]	12	10				10100	[10101, 10102, 10103]	[10101, 10102, 10103, 10104, 10105, 10106, 10107]	[4, 5, 6, 7]	[1, 2]	[101]	[100]	
102	雪上加霜	Ep.02	我们姑且在这站稳了脚跟，但情况仍不太乐观，但愿这个冬天不要太过漫长。			Assets/Product/Ui/ComponentPrefab/UiDoomsday/GridTwoPath.prefab	10201	[10201, 10202, 10203, 10204, 10205, 10206, 10207, 10208, 10209, 10210, 10211, 10212, 10213, 10214]	16	15				10200	[10201, 10202, 10203]	[10201, 10202, 10203, 10204, 10205]	[4, 5, 6, 7]	[1, 2]	[101]	[100]	
103	圣诞节	Ep.03	最近杰克总是手舞足蹈地喊着“圣诞节，圣诞节。”他说一定要修好城中的通讯设备，好在圣诞节的时候能让所有人欣赏到圣诞歌。我同意了杰克的提议，不知道有没有其他我能帮到他的。			Assets/Product/Ui/ComponentPrefab/UiDoomsday/GridThreePath.prefab	10301	[10301, 10302, 10303, 10304, 10305, 10306, 10307, 10308, 10309, 10310, 10311, 10312, 10313, 10314, 10315, 10316]	18	12				10300	[10301, 10302, 10303]	[10301, 10302, 10303, 10304, 10305, 10306, 10307]	[4, 5, 6, 7, 8]	[1, 2]	[101]	[100]	
104	一线生机	Ep.04	杰克修复通讯设备的进度比预想还要快，似乎一切都在向着好的方向发展。			Assets/Product/Ui/ComponentPrefab/UiDoomsday/GridFourPath.prefab	10401	[10401, 10402, 10403, 10404, 10405, 10406, 10407, 10408, 10409, 10410, 10411, 10412]	18	20				10400	[10401, 10402, 10403]	[10401, 10402, 10403, 10404, 10405, 10406, 10407]	[4, 5, 6, 7]	[1, 2]	[101]	[100]	
105	入春	Ep.05	我们和这座城市终于熬过了冬天。但黎明前的夜晚最为黑暗，我有种不好的预感，所以和几位负责人开了个会，以做好面对大量悲剧发生的准备，如果可以，我多么希望我的预感不要应验……			Assets/Product/Ui/ComponentPrefab/UiDoomsday/GridFivePath.prefab	10501	[10501, 10502, 10503, 10504, 10505, 10506, 10507, 10508, 10509, 10510, 10511, 10512]	16	9				10500	[10501, 10502, 10503]	[10501, 10502, 10503, 10504, 10505, 10506, 10507]	[4, 5, 6, 7]	[1, 2]	[101]	[100]	
201	求生演习	Ep.01 求生演习	开始于开始之前，结束于结束之后。			Assets/Product/Ui/ComponentPrefab/UiDoomsday/GridOnePath.prefab	20100	[20100, 20101, 20102, 20103, 20104, 20105, 20106, 20107, 20108, 20109, 20110, 20111]		8				20101		[20101, 20102, 20103, 20104, 20105, 20106, 20107, 20108]	[207, 208, 206, 209]	[1, 2, 101]	[101, 102]	[100, 100]	[101, 102, 103]
202	撤离信号	Ep.02 撤离信号	我们被困在这座城市的边缘。为了确认撤离路线，我们需要建造通讯设备，并根据根据通讯的提示，探索可以安全撤离城市的地点。	201		Assets/Product/Ui/ComponentPrefab/UiDoomsday/GridTwoPath.prefab	20200	[20200, 20201, 20202, 20203, 20204, 20205, 20206, 20207, 20208, 20209, 20210, 20211, 20212, 20213, 20214, 20215, 20216, 20217, 20218, 20219]		10				20201		[20201, 20202, 20203, 20204, 20205, 20206, 20207, 20208]	[207, 208, 206, 20201, 20202]	[1, 2, 201, 202, 203]	[201, 202]	[100, 100]	[201, 202, 203, 204]
203	父与子	Ep.04 父与子	突如其来的噩耗袭击了小镇，我们曾如此安详度过的那段日子是否真的一去不回了……	204		Assets/Product/Ui/ComponentPrefab/UiDoomsday/GridThreePath.prefab	20300	[20300, 20301, 20302, 20303, 20304, 20305, 20306, 20307, 20308, 20309]		10				20301		[20301, 20302, 20303, 20304, 20305, 20306]	[201, 202, 206, 20301]	[1, 2, 301, 302, 303, 304]	[30001]	[100]	[301, 302, 303, 304, 305]
204	行动日记	Ep.03 行动日记	我所组织的救援行动不可避免地对城市造成了破坏，因为破坏了人们的家园，人们对我们的恶意猛然放大，再加上媒体的夸大言论，曾经的特攻队在各种各样的网络媒体中变得不堪一击。组织决定暂停我们的任务，将我们队伍分散到各个边界防守。	202		Assets/Product/Ui/ComponentPrefab/UiDoomsday/GridFivePath.prefab	20400	[20400, 20401, 20402, 20403, 20404, 20405, 20406, 20407, 20408]		10				20401		[20401, 20402, 20403, 20404, 20405, 20406, 20407, 20408]	[207, 208, 206, 20401, 20402]	[1, 2, 401, 402, 403, 404]	[40001]	[100]	[401, 402, 403, 404]
205	六边战士	Ep.05 六边战士	你受到委托，去支援一个群岛的居民撤退。该群岛已失联已久，根据预测，未来几天后该群岛附近会聚集大量感染体，岛民的安危将由你来守护。	203		Assets/Product/Ui/ComponentPrefab/UiDoomsday/GridFourPath.prefab	20500	[20500, 20502, 20503, 20504, 20505, 20506, 20507, 20508, 20509, 20510, 20511, 20512, 20513, 20514, 20515, 20516, 20517, 20518]		12				20501		[20501, 20502, 20503, 20504, 20505]	[207, 208, 206, 209]	[1, 2, 501, 502, 503]	[50011, 50012, 50013]	[100, 100, 100]	[501, 502, 503, 504, 505]
206	回乡之路	Ep.06 回乡之路	这片大地上多的是流离失所的人。可即便如此，也总有人会抓住一切机会，试图回到故乡，回到你。	205		Assets/Product/Ui/ComponentPrefab/UiDoomsday/GridSixPath.prefab	20600	[20600, 20601, 20602, 20603, 20604, 20605, 20606, 20607, 20608, 20609, 20610, 20611, 20612, 20613, 20614, 20615, 20616, 20617, 20618, 20619, 20620, 20621, 20622, 20623, 20625, 20626, 20627, 20628, 20629, 20630]		12				20601		[20601, 20602, 20603, 20604, 20605, 20606, 20607, 20608]	[207, 208, 209, 206]	[1, 2, 601, 602, 603]	[601]	[100]	[601, 602, 603, 604]
