Id	Name	Desc	Tips	Round	ActivityConditionId	FinishCondition	FinishEffect	FailedEffect
10100	篇一：主任务	还有12天入冬，做好准备	['1. 幸存者的健康、饱腹值会随时间而降低，请注意资源的合理分配', '2. 积极探索地点，或许会发现意料之外的信息、资源或幸存者', '3. 在事件中，你的不同选择，可能会带来不同的后续结果']	12		10100		
10101	篇一：子任务1	幸存者数量不少于 15 人		12		10101		
10102	篇一：子任务2	保持幸存者健康值在 80 以上		12		10102		
10103	篇一：子任务3	保持幸存者饱腹值在 80 以上		12		10103		
10200	篇二：主任务	幸存者数量不少于 15 人	['1. 幸存者的健康、饱腹值会随时间而降低，请注意资源的合理分配', '2. 积极探索地点，或许会发现意料之外的信息、资源或幸存者', '3. 在事件中，你的不同选择，可能会带来不同的后续结果']	16		10200		
10201	篇二：子任务1	保持幸存者健康值在 80 以上		16		10201		
10202	篇二：子任务2	保持幸存者饱腹值在 60 以上		16		10202		
10203	篇二：子任务3	探索【染血的教堂】		16		10203		
10300	篇三：主任务	幸存者数量不少于 30 人	['1. 幸存者的健康、饱腹值会随时间而降低，请注意资源的合理分配', '2. 积极探索地点，或许会发现意料之外的信息、资源或幸存者', '3. 在事件中，你的不同选择，可能会带来不同的后续结果']	18		10300		
10301	篇三：子任务1	保持幸存者健康值在 70 以上		18		10301		
10302	篇三：子任务2	保持幸存者饱腹值在 70 以上		18		10302		
10303	篇三：子任务3	建造一座通讯设备		18		10303		
10400	篇四：主任务	幸存者数量不少于 40 人	['1. 幸存者的健康、饱腹值会随时间而降低，请注意资源的合理分配', '2. 积极探索地点，或许会发现意料之外的信息、资源或幸存者', '3. 在事件中，你的不同选择，可能会带来不同的后续结果']	18		10400		
10401	篇四：子任务1	保持幸存者健康值在 80 以上		18		10401		
10402	篇四：子任务2	保持幸存者饱腹值在 80 以上		18		10402		
10403	篇四：子任务3	建造4座住宅		18		10403		
10500	篇五：主任务	幸存者数量不少于 20 人	['1. 幸存者的健康、饱腹值会随时间而降低，请注意资源的合理分配', '2. 积极探索地点，或许会发现意料之外的信息、资源或幸存者', '3. 在事件中，你的不同选择，可能会带来不同的后续结果']	16		10500		
10501	篇五：子任务1	幸存者数量不少于 25 人		16		10501		
10502	篇五：子任务2	探索【浓雾笼罩的超市】		16		10502		
10503	篇五：子任务3	探索【隐藏房间】		16		10503		
20101	关卡目标	建立一个至少 24 人的营地	['1. 不同的天气下，幸存者的属性变化不同', '2. 探索地点，或许会收获意料之外的信息或资源', '3. 在事件中，你的不同选择，可能会导致不同的后续']	-1		20101		
20201	关卡目标	建造通讯设备，探索寻找撤离点	['1. 本关共有3个结局，与事件选择有关', '2. 探索地点，或许会收获意料之外的信息或资源', '3. 在事件中，你的不同选择，可能会导致不同的后续']	-1		20201		
20301	关卡目标	建立一个至少 30 人的营地	['1. 本关共有4种结局，与幸存者数量及精神值有关', '2. 灵活改变营地内建筑架构，合理分配建筑资源的使用', '3. 不同的天气下，将发生不同的随机事件，以及幸存者的属性变化不同']	-1		20301		
20401	关卡目标	出发前往【城市中心】	['1. 本关共有4种结局，与事件选择及建筑设备有关', '2. 外出探险之前，需要留意仓库剩余，做好资源充足的准备', '3. 留意探索地点事件提示，可以对达成不同结局有所帮助']	-1		20401		
20501	关卡目标	到达【六号械门】，并尽可能保护岛民离开岛屿	['1. 本关共3个结局，与事件选择有关', '2. 探索地点或有信息或资源', '3. 在事件中，你的不同选择，可能有不同的即时后续']	-1		20501		
20601	关卡目标	向外探索，寻找离开的方法	['1. 本关共3个结局，与事件选择有关', '2. 注意营地内的物资储量，及时返回营地补充资源', '3. 在事件中，你的不同选择，可能会导致不同的后续']	-1		20601		
