Id	Desc	Type	Args
102130	地点解锁条件：完成选项【归家之路】（选同意之后，解锁地点）	601	[10211, 1]
10214	事件解锁条件：完成地点探索【乱石河滩】后，解锁事件：归家-2）	401	[10213]
10221	事件解锁条件：完成选项【归家-2：告知】（选	601	[10214, 1]
10223	事件解锁条件：完成选项【归家-2：隐瞒】	601	[10214, 2]
103140	地点解锁条件：完成选项【父亲-我会尽力】	601	[10311, 1]
103150	地点解锁条件：完成事件【父亲-两颗子弹】	601	[10321]
103160	地点解锁条件：完成事件【父亲-蛛丝】	601	[10325]
10316	事件解锁条件：完成地点探索【河边营地】	401	[10314]
10321	事件解锁条件：完成事件【父亲-白色谎言】	601	[10319]
10323	事件解锁条件：完成地点探索【“果林”】	401	[10315]
10327	事件解锁条件：完成地点探索【“果林”】	401	[10316]
10418	事件解锁条件：完成选项【母亲：拒绝她的请求】	601	[10415, 1]
10420	事件解锁条件：完成选项【母亲：同意她的请求】	601	[10415, 2]
10423	事件解锁条件：完成选项【母亲-2：拒绝她的请求】	601	[10420, 1]
10425	事件解锁条件：完成选项【母亲-2：同意她的请求】	601	[10420, 2]
10428	事件解锁条件：完成选项【母亲-3：拒绝她的请求】	601	[10425, 1]
10430	事件解锁条件：完成选项【母亲-3：同意她的请求】	601	[10425, 2]
10520	事件解锁条件：完成地点探索【俯瞰点】	401	[10502]
10522	事件解锁条件：完成地点探索【实验大楼】	401	[10503]
10524	事件解锁条件：完成地点探索【地下实验室】	401	[10508]
10526	事件解锁条件：完成地点探索【隐藏房间】	401	[10509]
10528	事件解锁条件：完成地点探索【外城区】	401	[10510]
1010	通用失败条件：全员死亡	205	[1, 0]
1020	通用失败条件：全员死亡	205	[3, 0]
2010	营地人数超过24人	801	[24]
20109	地点条件：完成地点 2 的事件选项	701	[201091, 201092, 201093]
201091	完成地点 2 选项 1	601	[2010200, 1]
201092	完成地点 2 选项 2	601	[2010200, 2]
201093	完成地点 2 选项 3	601	[2010200, 3]
1214	天气事件条件：精神值小于 30	201	[3, 30]
1215	天气选项条件：药物大于等于15	102	[3, 15]
1217	天气事件条件：精神值小于 30	201	[3, 30]
1218	天气选项条件：药物大于等于20	102	[3, 20]
1320	天气事件条件：精神值小于 30	201	[3, 30]
1321	天气选项条件：食物大于等于15	102	[4, 15]
1323	天气事件条件：精神值小于 30	201	[3, 30]
1324	天气选项条件：食物大于等于20	102	[4, 20]
1420	天气事件条件：精神值小于 30	201	[3, 30]
1421	天气选项条件：药物大于等于15	102	[3, 15]
1423	天气事件条件：精神值小于 30	201	[3, 30]
1424	天气选项条件：药物大于等于20	102	[3, 20]
1426	天气事件条件：精神值小于 30	201	[3, 30]
1427	天气选项条件：食物大于等于15	102	[4, 15]
1429	天气事件条件：精神值小于 30	201	[3, 30]
1430	天气选项条件：食物大于等于20	102	[4, 20]
201112	事件条件：探索过地点6（20105）	401	[20105]
201114	事件条件：探索过地点6（20105）	401	[20105]
201116	事件条件：探索过地点6（20105）	401	[20105]
2011110	事件条件：探索过地点6（20105）	401	[20105]
2020	结局-A 事件条件：完成【山间沟谷】额外事件，并完成地点 8 探索	702	[202001, 202002]
202001	结局-A 事件条件：完成【山间沟谷】额外事件	601	[2020720, 1]
202002	结局-A 事件条件：完成地点 8 探索	601	[2020800, 1]
2022	结局-B 事件条件：完成【山间沟谷】额外事件，并完成地点 8 探索	702	[202003, 202004]
202003	结局-B 事件条件：完成【山间沟谷】额外事件	601	[2020710, 1]
202004	结局-B 事件条件：完成地点 8 探索	601	[2020800, 1]
2024	结局-C 事件条件：完成【南山撤离点】事件	601	[2020800, 1]
20202	建造%s个%s后解锁	301	[20201, 1]
20203	第二关地点  3  解锁条件：完成 【通讯设备】 事件	601	[202004, 1]
20212	第二关地点 12 解锁条件：完成 【通讯设备】 事件	601	[202004, 1]
2020710	第二关地点 7 【山间沟谷】额外事件 B 触发条件：完成事件【捕猎陷阱-B】	601	[2021520, 1]
2020720	第二关地点 7 【山间沟谷】额外事件 A 触发条件：完成事件【捕猎陷阱-A】	601	[2021510, 1]
2021210	第二关地点 12 【森林边缘-A】事件触发条件：完成事件【远方来信-1】选项 1	601	[202100, 1]
2021220	第二关地点 12 【森林边缘-B】事件触发条件：完成事件【远方来信-1】选项 2	601	[202100, 2]
