Id	Type	Name	Desc	Icon	MaxNum	FinishDayCount	WorkDayCount	SpendResourceType	SpendResourceCount	WorkingDailyConsumeResourceId	WorkingDailyConsumeResourceCount	WorkingDailyGainResourceId	WorkingDailyGainResourceCount	LockPeopleOnBuilding	LockPeopleOnWorking	ExtendPeopleNumber	WorkingEffectId	CanManualRemove	UnlockCondition
1	1	废墟	一座小小的废墟，全部清理完成后，你将获得 300 木材、 300 钢材。区域将恢复为空地。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild02.png		1	1								3		[1, 2]		
2	1	废墟	一座中等的废墟，全部清理完成后，你将获得 600 木材、 600 钢材。区域将恢复为空地。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild02.png		1	1								5		[3, 4]		
3	1	废墟	一座很大的废墟，全部清理完成后，你将获得 1000 木材、 1000 钢材。区域将恢复为空地。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild02.png		1	1								10		[5, 6]		
4	2	住宅	为一部分人提供住所。至少比直接睡地板舒服一些。有住所的人们，将不容易生病或饥饿。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild05.png		1		[1, 2]	[355, 360]					2		10		True	
5		医疗站	当数量足够的居民在医疗站中工作时，医疗站每天产出固定数量的药物。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild03.png		1		[1, 2]	[110, 160]			[3]	[5]	2	2		[7]	True	10529
6		补给站	当数量足够的居民在补给站中工作时，补给站每天产出固定数量的食物。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild07.png		1		[1, 2]	[150, 115]			[4]	[5]	2	2		[8]	True	10529
7	2	前哨站	建立前哨站后，【探索】功能将会开启。营地外还有更多物资和幸存者。组建小队，探索这个世界。（无法拆除）	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild06.png	2	1		[1, 2]	[305, 280]					5			[9, 10]		10529
8	2	通讯设备	这片焦土之上一定还有更多幸存的人。呼喊吧，总有人会听到的……吧？	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild04.png	1	3		[1, 2]	[940, 965]					10				True	10529
201		旧型医疗站	当数量足够的居民在医疗站中工作时，大型医疗站每天产出固定数量的药物。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild03.png		1		[1, 2]	[150, 200]			[3]	[10]	3	3		[201]	True	
202		旧型补给站	当数量足够的居民在补给站中工作时，大型补给站每天产出固定数量的食物。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild07.png		1		[1, 2]	[200, 150]			[4]	[10]	3	3		[202]	True	
203	1	小型废墟	一座小小的废墟，全部清理完成后，你将获得 <color=#0F70BC>100 木材</color> 、 <color=#0F70BC>100 钢材</color>  。而后区域将 <color=#0F70BC>恢复为空地</color>  。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild02.png		1	1					[1, 2]	[100, 100]		3		[203, 204]		
204	1	中型废墟	一座中等的废墟，全部清理完成后，你将获得 <color=#0F70BC>200 木材</color> 、 <color=#0F70BC>200 钢材</color>  。而后区域将 <color=#0F70BC>恢复为空地</color>  。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild02.png		1	2					[1, 2]	[100, 100]		3		[205, 206]		
