Id	Pos	PrePlaceId	Name	Desc	CanGetPeople	ResourceId	UnlockCondition	EventId	StageId
10101	1		城区A						
10102	5		燃烧的废墟	废墟上的火哪怕到了现在也没有熄灭。我们只能祈祷火焰手下留情，留下一些我们能用的东西……		[1, 2]		[101020]	
10103	3	10102	空旷的图书馆	比起在这搜索吃的东西，也许寄希望于找点书烧掉取暖更为现实。		[1, 2]		[101030]	
10104	7	10103	河边的营地	烟柱从乱石中摇摇摆摆地升起来。会是感染体吗，还是幸存者的营火呢？		[3, 4]		[101040]	
10105	20	10103	破败的贫民窟	就算不进去我也能听到从中传来的哀嚎，恐怕他们的情况比我们更糟……我们应该接收他们吗？还是帮他们解脱……	True	[3, 4]		[101050]	
10106	6	10102	拥挤的街道	火焰灼烧过的痕迹遍布在每一台挤在这条街道的车辆上，显然它们的主人已经再也无法驾驶它们逃出这片城市了。		[1, 2]		[101060]	
10107	11	10106	安静的防空洞	很难想象这防空洞是怎么撑到现在的。但这里可能会有我们所需要的物品也说不定……		[1, 2]		[101070]	
10108	14	10107	倒塌的高楼	废墟宛如一个巨人的尸体。不论里面是什么，都不会是让人感到舒服的景象。	True	[3, 4]		[101080]	
10201	1		城区B						
10202	6		信号站	近日信号塔被从废墟中清理了出来，但巨大的信号塔如今只剩下残缺的底部。摇摇欲坠地站在城市中央。		[1, 2]		[102020]	
10203	5	10202	高级住宅区	门口的圆柱哪怕折断，其精致和夸张的程度仍让人不由感叹。倘如灾难没有发生，能住进里面，也算圆满了。		[1, 2]		[102030]	
10204	3	10203	高级餐厅	听说这里曾是有名的高级餐厅 ，以其地下冰库数量庞大、种类丰富的食物仓储闻名。		[1, 2, 3, 4]		[102040]	
10205	20	10203	二层小楼	这座小楼看上去还算完整，只是偶尔有奇怪的哭声从房间中传出来。是拾荒者吗？还是又一个陷阱呢？		[1, 2]		[102050]	
10206	7	10204	安静的小屋	这间干净的小屋中还能看到隐约的灯火，在周围焦黑废墟的围困里显得格外突兀。	True	[1, 2]		[102060]	
10207	19	10206	便利店废墟	或许不像大型商场一样应有尽有，但应该可以可以满足日常需要。		[1, 2]		[102070]	
10208	24	10207	染血的教堂	这里到处都是血和不知道原型的残骸，等等，你有没有听到从上面传来的……钟声……？	True	[3, 4]		[102080]	
10209	12	10202	雾中的超市	是因为地势原因吗，这里到处都是雾，希望在物资耗尽前能找到地图上标记的那座超市吧。		[1, 2]		[102090]	
10210	9	10209	倒塌的学校	灾难并不会因为墙的对面是所谓人类文明传承的希望就手下留情，这是我们早就知道的事。		[1, 2]		[102100]	
10211	14	10209	荒地	在帕弥什病毒爆发前，任何建设规划都没能来得及在这里实施。		[1, 2]		[102110]	
10212	11	10211	城市医院	如果不是地图信息大字加粗的标注，没有人能想到这座焦黑的“土堆”，竟然曾是“医院”。	True	[3, 4]		[102120]	
10213	4		乱石河滩	河流早已干涸。烟柱从乱石中摇摇摆摆地升起来。会是感染体吗，还是拾荒者的营火呢？		[1, 2]	[102130]	[102130]	
10214	10	10213	郊外农场	这座农场看上去并没有因为远离城市就躲过一劫。即便如此，它仍然是珍贵的落脚点。		[1, 2]		[102140]	
10301	1		城区C						
10302	5		旅人小屋	沿着公路向前走，这是唯一一幢还算完整的建筑。透过窗可以隐约看到里面还有灯光，难道这里还有拾荒者吗？		[3, 4]		[103020]	
10303	4		公路加油站	除了被粗暴砸开的便利店，这个设立在公路边的加油站仍然保持着被废弃时的模样。		[3, 4]		[103030]	
10304	3	10302	工业园区	园区门口巨大的玩具雕塑被炮击炸毁了大半边脸，剩下半个夸张的笑容。		[3, 4]		[103040]	
10305	6	10302	废弃集市	这个集市的损毁程度，甚至让人怀疑它可能早在灾难发生以前就已经被废弃了。只能祈祷其中还有我们能用得上的东西吧。		[3, 4]		[103050]	
10306	10	10303	破败的港口	岸边大大小小搁浅的船只组成了天然的堡垒，让人忍不住期待船舱里是否还有剩余的物资或拾荒者。		[1, 2]		[103060]	
10307	13	10303	安静的防空洞	很难想象这防空洞是怎么撑到现在的。但这里可能会有我们所需要的物品也说不定。		[1, 2]		[103070]	
10308	7	10304	倒塌的公馆	光是外形规模就让人惊叹的公馆。如果不是这场灾难的话，大概是许多“上流人士”周末会选择前往的地方吧。		[1, 2]		[103080]	
10309	21	10304	金黄农场	在过去，这个农场因盛产水稻、丰收时稻浪如黄金而得名。哪怕到了现在，也可以远远看到农场在阳光中闪着金色的光芒。	True	[3, 4]		[103090]	
