ActivityId	MainTimeId	MainTemplateId	MainTemplateCount	TaskSourceGroupId	ShopId	EventCause	ExtraItem	PeriodId	Name	Kind	IsMajorActivity	SkipId	ActivityIcon	Description
41001	44704	[50005, 102]	[100, 200]			[16014]		[4100101]	Farewell from the Departed	[1]		20235	Assets/Product/Texture/Image/UiTodolist/UiTodolist168.png	
41002	44703	[90031, 31204, 1]	[1, 10, 12000]	41002				[4100201]	Gilded Creed	[22]		10035	Assets/Product/Texture/Image/UiTodolist/UiTodolist169.png	
41003	44501	[90031, 31204, 1]	[1, 10, 12000]	41003				[4100301]	Night Sonata	[22]		20320	Assets/Product/Texture/Image/UiTodolist/UiTodolist170.png	
41004	44705	[90031, 31204, 1]	[1, 10, 12000]	41004				[4100401]	Chromatic ☆ Night	[22]		10035	Assets/Product/Texture/Image/UiTodolist/UiTodolist171.png	
41005	44701	[50005, 102, 13019708]	[250, 200, 5]			[16013]		[4100501]	Frostheart Amalgamated	[6]		11724	Assets/Product/Texture/Image/UiTodolist/UiTodolist172.png	
41006	44910	[50005, 102, 40301]	[2500, 2000, 50]		[1466]			[4100601]	Hyperlink Array	[16]		90047	Assets/Product/Texture/Image/UiTodolist/UiTodolist173.png	
41007	44101	[50005, 102]	[500, 750]			[119012]		[4100701]	Crouching Cat, Hidden Rat	[35]		89057	Assets/Product/Texture/Image/UiTodolist/UiTodolist174.png	
41008	44102	[50003, 102, 96004]	[500, 1000, 50]		[4017]			[4100801]	Guild Expedition IX	[2]		85016	Assets/Product/Texture/Image/UiTodolist/UiTodolist175.png	
41009	44601	[50005, 102]	[250, 500]	41009				[4100901]	A Flash of Love	[8]		90018	Assets/Product/Texture/Image/UiTodolist/UiTodolist176.png	
41010	44410	[3, 102]	[100, 100]			[90001]		[4101001]	Nightmare Roulette	[8]		20107	Assets/Product/Texture/Image/UiTodolist/UiTodolist177.png	
40008	43920	[50005]	[250]			[250001]		[4000801]	Signal Calibration	[29]		90058	Assets/Product/Texture/Image/UiTodolist/UiTodolist167.png	
