Id	CueSheetName	CueAwb	HasAwb
500000	External/Criware/BigWorld/Common/BW_map_dormhall.acb	External/Criware/BigWorld/Common/BW_map_dormhall.awb	True
500001	External/Criware/BigWorld/Common/BW_map_dorm.acb	External/Criware/BigWorld/Common/BW_map_dorm.awb	True
500004	External/Criware/BigWorld/Common/BW_map_bar.acb	External/Criware/BigWorld/Common/BW_map_bar.awb	True
500005	External/Criware/BigWorld/Common/BW_map_cafe.acb	External/Criware/BigWorld/Common/BW_map_cafe.awb	True
500006	External/Criware/BigWorld/Common/BW_map_lobby.acb	External/Criware/BigWorld/Common/BW_map_lobby.awb	True
500007	External/Criware/BigWorld/Common/BW_map_xiaoluheart.acb	External/Criware/BigWorld/Common/BW_map_xiaoluheart.awb	True
500008	External/Criware/BigWorld/Common/BW_map_plaza.acb	External/Criware/BigWorld/Common/BW_map_plaza.awb	True
500009	External/Criware/BigWorld/Common/BW_map_adaiwa.acb	External/Criware/BigWorld/Common/BW_map_adaiwa.awb	True
500010	External/Criware/BigWorld/Common/BW_minigame_shopping_title.acb	External/Criware/BigWorld/Common/BW_minigame_shopping_title.awb	True
500011	External/Criware/BigWorld/Common/BW_minigame_shopping_game.acb	External/Criware/BigWorld/Common/BW_minigame_shopping_game.awb	True
500012	External/Criware/BigWorld/Common/BW_map_Intersection_square.acb	External/Criware/BigWorld/Common/BW_map_Intersection_square.awb	True
500013	External/Criware/BigWorld/Common/BW_map_cinema.acb	External/Criware/BigWorld/Common/BW_map_cinema.awb	True
500014	External/Criware/BigWorld/Common/BW_map_art.acb	External/Criware/BigWorld/Common/BW_map_art.awb	True
500015	External/Criware/BigWorld/Common/BW_map_garden.acb	External/Criware/BigWorld/Common/BW_map_garden.awb	True
500016	External/Criware/BigWorld/Common/BW_map_zone.acb	External/Criware/BigWorld/Common/BW_map_zone.awb	True
500017	External/Criware/BigWorld/Common/BW_minigame_drone.acb	External/Criware/BigWorld/Common/BW_minigame_drone.awb	True
500018	External/Criware/BigWorld/Common/m_ev56_story_love.acb	External/Criware/BigWorld/Common/m_ev56_story_love.awb	True
