Id	CueSheetId	CueName	PlayType	Duration
5000000	500000	BW_map_dormhall	1	-1
5000001	500001	BW_map_dorm	1	-1
5000004	500004	BW_map_bar	1	-1
5000005	500005	BW_map_cafe	1	-1
5000006	500006	BW_map_lobby	1	-1
5000007	500007	BW_map_xiaoluheart	1	-1
5000008	500008	BW_map_plaza	1	-1
5000009	500009	BW_map_adaiwa	1	-1
5000010	500010	BW_minigame_shopping_title	1	-1
5000011	500011	BW_minigame_shopping_game	1	-1
5000012	500012	BW_map_Intersection_square	1	-1
5000013	500013	BW_map_cinema	1	-1
5000014	500014	BW_map_art	1	-1
5000015	500015	BW_map_garden	1	-1
5000016	500016	BW_map_zone	1	-1
5000017	500017	BW_minigame_drone	1	-1
5000018	500018	m_ev56_story_love	1	103524
5000019	500019	BW_map_Dearyouinst	1	-1
5000020	500020	BW_map_AcademicBuilding	1	-1
5000021	500021	BW_map_FaosMemorialSquare	1	-1
5000022	500022	BW_map_GoldHall	1	-1
5000023	500023	BW_map_StudentNeighborhood	1	-1
5000024	500024	m_sg2_0_Invitation_Selena	1	-1
5500000	550000	BW_amb_common	2	-1
5500001	550001	BW_amb_lobby	2	-1
5500002	550002	BW_amb_plaza	2	-1
5500003	550003	BW_amb_dormroom	2	-1
5500004	550004	BW_amb_cafe	2	-1
5500005	550005	BW_amb_club	2	-1
5500006	550006	BW_g_SceneItem_beacon_unlock	2	3098
5500007	550006	BW_g_SceneItem_beacon_loop	2	-1
5500008	550007	BW_amb_datenight	2	-1
5500009	550008	BW_amb_findsiyecao	2	-1
5500027	550006	BW_g_SceneItem_barmusic	2	-1
5500028	550009	BW_amb_mall	2	30573
5500029	550006	BW_g_SceneItem_barmusic_2	-1	
5500060	550006	BW_g_SceneItem_kuroro_cooking	2	8335
5500061	550006	BW_g_SceneItem_kuroro_gardening	2	6139
5500062	550006	BW_g_SceneItem_kuroro_repairing	2	5189
5500063	550006	BW_g_SceneItem_kuroro_cleanning_Loop	2	-1
5500064	550006	BW_g_SceneItem_robot_jellyfish_Loop	2	-1
5500065	550006	BW_g_SceneItem_fridge_Loop	2	-1
5500066	550006	BW_g_SceneItem_fountain_3D_Loop	2	-1
5500067	550011	BW_amb_restaurant	2	-1
5500068	550006	BW_g_SceneItem_arcade	2	-1
5500069	550006	BW_g_SceneItem_database	2	-1
5500070	550006	BW_g_SceneItem_checkin	2	-1
5500071	550006	BW_g_SceneItem_elevator	2	1829
5500072	550006	BW_g_SceneItem_rain	2	-1
