Id	Name	TypeName	Grid1	Grid2	Grid3	EffectiveTimes	NoRotate
1	薯条王	商业	[0, 0, 0]	[0, 1001, 3007]	[0, 0, 0]	1	
2	蒲记小吃	商业	[0, 0, 0]	[0, 1002, 3008]	[0, 0, 0]	1	
3	海鲜炒饭	商业	[0, 0, 0]	[0, 1003, 3009]	[0, 0, 0]	1	
4	鲜榨林檎	商业	[0, 0, 0]	[0, 1004, 3007]	[0, 0, 0]	1	
5	手打激柠	商业	[0, 0, 0]	[0, 1005, 3008]	[0, 0, 0]	1	
6	多肉莓莓	商业	[0, 0, 0]	[0, 1006, 3009]	[0, 0, 0]	1	
7	动感画作展区	艺术	[0, 0, 0]	[2001, 2001, 2001]	[0, 0, 0]		
8	古典画作展区	艺术	[0, 0, 0]	[2002, 2002, 0]	[0, 2002, 0]	2	
9	卡通画作展区	艺术	[0, 0, 0]	[2003, 2003, 0]	[0, 0, 2003]	1	
10	激情雕像	艺术	[0, 0, 0]	[2004, 2004, 0]	[0, 0, 0]		
11	可爱雕像	艺术	[0, 0, 2005]	[2005, 2005, 0]	[0, 0, 0]	1	
12	经典雕像	艺术	[0, 0, 0]	[2006, 2006, 2006]	[0, 2006, 0]		
13	巅峰拳王	游戏	[0, 0, 0]	[3001, 3001, 3001]	[0, 0, 0]	2	
14	魂之魔城	游戏	[0, 0, 0]	[3002, 3002, 3002]	[0, 0, 0]	2	
15	炫光冲刺	游戏	[0, 0, 0]	[3003, 3003, 3003]	[0, 0, 0]	2	
16	糖果福袋	游戏	[0, 0, 0]	[3004, 3004, 0]	[0, 0, 0]		
17	玩偶福袋	游戏	[0, 0, 0]	[3005, 3005, 0]	[0, 0, 0]		
18	模型福袋	游戏	[0, 0, 0]	[3006, 3006, 0]	[0, 0, 0]		
19	石蒜花盆栽	花卉	[0, 0, 0]	[0, 4001, 0]	[0, 0, 0]	1	
20	菊花盆栽	花卉	[0, 0, 0]	[0, 4002, 0]	[0, 0, 0]	1	
21	绣球花盆栽	花卉	[0, 0, 0]	[0, 4003, 0]	[0, 0, 0]	1	
22	文化涂鸦板	宣传	[0, 0, 0]	[0, 5001, 0]	[0, 0, 0]	1	
23	夕月宣传板	宣传	[0, 0, 0]	[0, 5002, 0]	[0, 0, 0]	1	
24	御园宣传板	宣传	[0, 0, 0]	[0, 5003, 0]	[0, 0, 0]	1	
25	御园料理摊	特殊	[0, 0, 0]	[0, 7001, 8024]	[0, 0, 0]	1	
26	舞台	舞台	[6001, 6003, 6002]	[6002, 6002, 6002]	[6002, 6002, 6002]	1	1
27	娃娃机	特殊	[0, 0, 0]	[0, 7002, 0]	[0, 0, 0]	1	
28	四驱车拼装	特殊	[0, 0, 0]	[0, 7003, 0]	[0, 0, 0]	1	
29	钢琴	特殊	[0, 0, 0]	[0, 7004, 0]	[0, 0, 0]	1	
30	花卉店	特殊	[0, 0, 0]	[0, 7005, 8024]	[0, 0, 0]	1	
31	诺曼英雄	特殊	[0, 0, 0]	[0, 7006, 0]	[0, 0, 0]	1	
32	电影海报	特殊	[0, 0, 0]	[0, 7007, 0]	[0, 0, 0]	1	
33	气球射击摊	特殊	[0, 0, 0]	[0, 7008, 0]	[0, 0, 0]	1	
34	西装店	特殊	[0, 0, 0]	[0, 7009, 8024]	[0, 0, 0]	1	
35	黄特殊	奖励地块	[0, 0, 0]	[10008, 10023, 10032]	[10008, 0, 0]	1	
36	蓝特殊	奖励地块	[0, 0, 0]	[10033, 10009, 10024]	[0, 10009, 10024]	1	
37	红色特殊	奖励地块	[0, 0, 0]	[10019, 10019, 0]	[0, 0, 10031]	1	
38	黄特殊地块	奖励地块	[0, 0, 0]	[10020, 10032, 3005]	[0, 0, 0]	1	
39	蓝特殊	奖励地块	[0, 10033, 10033]	[10021, 0, 0]	[0, 3003, 0]	1	
40	冰淇淋店	商业	[0, 0, 0]	[0, 1008, 3008]	[0, 0, 0]	1	
41	桃心萌饮	商业	[0, 0, 0]	[0, 1007, 3007]	[0, 0, 0]	1	
42	特色甜品	商业	[0, 0, 0]	[0, 1009, 3009]	[0, 0, 0]	1	
