Id	Icon	RotationIcon90	RotationIcon180	RotationIcon270	Name	Desc	ShowOnStageDetail	Type	RotateIcon	Color	Score	Rule	Prefab
	Assets/Product/Texture/Atlas/UiTemple2/zhangai.png				空	空格子							
1	Assets/Product/Texture/Atlas/UiTemple2/zhangai.png				障碍物	障碍物		100					
2	Assets/Product/Texture/Atlas/UiTemple2/jiantou2.png				下入口	下入口		101					
3	Assets/Product/Texture/Atlas/UiTemple2/jiantou1.png				上出口	上出口		102					
4	Assets/Product/Texture/Atlas/UiTemple2/jiantou3.png				下出口	下出口		102					
5	Assets/Product/Texture/Atlas/UiTemple2/jiantou4.png				上入口	上入口		101					
6	Assets/Product/Texture/Atlas/UiTemple2/jiantou5.png				右出口	右出口		102					
7	Assets/Product/Texture/Atlas/UiTemple2/jiantou6.png				右入口	右入口		101					
8	Assets/Product/Texture/Atlas/UiTemple2/jiantou8.png				左出口	左出口		102					
9	Assets/Product/Texture/Atlas/UiTemple2/jiantou7.png				左入口	左入口		101					
1001	Assets/Product/Texture/Atlas/UiTemple2/tanwei2-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei20-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei2-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei20-1.png	薯条王	新兴的油炸快餐品牌，主打便宜，快捷，方便的美食。\n不要吃这里的奶昔！——某位匿名游客	1	1		1	1		Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Tanwei2.prefab
1002	Assets/Product/Texture/Atlas/UiTemple2/tanwei1-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei14-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei1-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei14-1.png	蒲记小吃	贩卖九龙传统美食的小摊，招牌上挂着店主趾高气昂的画像。\n不是故意的，是不小心做成这样的！——蒲牢	1	1		2	1		Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Tanwei1.prefab
1003	Assets/Product/Texture/Atlas/UiTemple2/tanwei3-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei15-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei3-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei15-1.png	海鲜炒饭	现场海鲜炒饭！可以自选哪个师傅来炒。黄师傅技术高超，蓝师傅很努力，粉师傅很可爱！—— 不愿透露姓名的红发少女	1	1		3	1		Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Tanwei3.prefab
1004	Assets/Product/Texture/Atlas/UiTemple2/tanwei5-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei16-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei5-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei16-1.png	鲜榨林檎	主打特色风味苹果汁的饮品店。\n呵啊……一天一个苹果，噩梦远离你。——借你肩膀当枕头的构造体	1	1		1	1		Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Tanwei5.prefab
1005	Assets/Product/Texture/Atlas/UiTemple2/tanwei4-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei17-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei4-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei17-1.png	手打激柠	主打特色风味柠檬水的饮品店。\n好酸啊！再舔一下，好酸啊！再舔一下，好酸啊！——脸缩成一团的游客	1	1		2	1		Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Tanwei4.prefab
1006	Assets/Product/Texture/Atlas/UiTemple2/tanwei6-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei18-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei6-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei18-1.png	多肉莓莓	主打特色风味蓝莓汁的饮品店。	1	1		3	1		Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Tanwei6.prefab
1007	Assets/Product/Texture/Atlas/UiTemple2/tanwei9-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei24-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei9-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei24-1.png	冰淇淋店	贩卖各类冰淇淋的店铺，天气热的时候总能排长队。	1	1		1	1		Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Tanwei9.prefab
1008	Assets/Product/Texture/Atlas/UiTemple2/tanwei7-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei19-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei7-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei19-1.png	桃心萌饮	主营新鲜果汁冷饮的店铺，深受年轻游客喜爱。	1	1		2	1		Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Tanwei7.prefab
1009	Assets/Product/Texture/Atlas/UiTemple2/tanwei8-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei13-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei8-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei13-1.png	特色甜品	一个的流动甜品摊位，有很多风味特色甜品。\n满足你对甜品的所有期待！—— 甜品店长	1	1		3	1		Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Tanwei8.prefab
2001	Assets/Product/Texture/Atlas/UiTemple2/hua3.png				动感画作展区	展出的主要是各种构造体战斗时的英姿，据说只要看到画作就仿佛能听到战斗的声音。\n宿命的囚笼！——不知从何而来的幻听	1	1		1	1		
2002	Assets/Product/Texture/Atlas/UiTemple2/hua2.png				古典画作展区	展出的主要是九龙的经典艺术画作，充满了神秘和优雅。\n这幅画绝对是真迹，是我太爷爷传给我的——激动的路人	1	1		2	1		
2003	Assets/Product/Texture/Atlas/UiTemple2/hua1.png				卡通画作展区	展出的主要是各种卡通风格的画作，前20位购买者附送一个画师亲笔签名。\n怎么样怎么样，我的画卖出去了吗？——某个不透露姓名的粉发少女	1	1		3	1		
2004	Assets/Product/Texture/Atlas/UiTemple2/diaoxiang1.png				激情雕像	似乎是某个很有人气的粉色鲨型吉祥物，大部分雕像都是描绘它正在努力的工作。	1	1		1	1		
2005	Assets/Product/Texture/Atlas/UiTemple2/diaoxiang3.png				可爱雕像	似乎是某个很有人气的黄色鲨型吉祥物，总之很可爱。	1	1		2	1		
2006	Assets/Product/Texture/Atlas/UiTemple2/diaoxiang2.png				经典雕像	经典的蓝色鲨型吉祥物，这个形象经久不衰，至今都有大量粉丝。	1	1		3	1		
3001	Assets/Product/Texture/Atlas/UiTemple2/jieji2-1.png				巅峰拳王	经典格斗游戏，共有12个可操控角色。\n你先试试，我让你五拳。——八咫	1	1		1	1		Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Jieji2.prefab
3002	Assets/Product/Texture/Atlas/UiTemple2/jieji3-1.png				魂之魔城	经典横版闯关街机，玩家能用各种五花八门的武器消灭怪物。\n上上下下左右左右BABA！！——某匿名的机械体	1	1		2	1		Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Jieji3.prefab
