Id	Type	Name	Description	BgPath	PracticeContentPrefab	PracticeGridPrefab	SubTag
1	1	基础战斗	可学习基础的战斗操作技巧	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg01B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesBasics.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeRectangle.prefab	
2	2	进阶战斗	进阶战斗说明	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg02B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesAdvanced.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeSquare.prefab	
3	3	成员战斗					
4	3	S级泛用机体	可学习各个角色的基本操作技巧；独域机体角色需要等级达到52级才能开启。	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg03B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeRectangle2.prefab	3
5	3	A/B级泛用机体	可学习各个角色的基本操作技巧；独域机体角色需要等级达到52级才能开启。	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg03B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeRectangle2.prefab	3
6	3	独域机体	可学习各个角色的基本操作技巧；独域机体角色需要等级达到52级才能开启。	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg03B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeRectangle2.prefab	3
7	3	联动机体	可学习各个角色的基本操作技巧；独域机体角色需要等级达到52级才能开启。	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg03B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeRectangle2.prefab	3
8	3	效应教学	可学习各个效应的基本操作技巧	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg03B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeRectangleEffect.prefab	3
9	4	数据演习					
10	4	首领级	1.每个关卡可无限制挑战，并且支持自定义训练难度\n2.仅可挑战怪物图鉴内已解锁的怪物，请注意查看怪物图鉴	Assets/Product/Texture/Image/UiLivRealisticTraining/UiLivRealisticTrainingBg.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/UiLivRealisticTrainingStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageRealisticTrainingBoss.prefab	9
11	4	精英级	1.每个关卡可无限制挑战，并且支持自定义训练难度\n2.仅可挑战怪物图鉴内已解锁的怪物，请注意查看怪物图鉴	Assets/Product/Texture/Image/UiLivRealisticTraining/UiLivRealisticTrainingBg.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/UiLivRealisticTrainingStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageRealisticTrainingInfernalMobs.prefab	9
12	4	首领(独域)	1.每个关卡可无限制挑战，并且支持自定义训练难度\n2.仅可挑战怪物图鉴内已解锁的怪物，请注意查看怪物图鉴	Assets/Product/Texture/Image/UiLivRealisticTraining/UiLivRealisticTrainingBg.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/UiLivRealisticTrainingStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageRealisticTrainingBoss.prefab	9
13	4	精英(独域)	1.每个关卡可无限制挑战，并且支持自定义训练难度\n2.仅可挑战怪物图鉴内已解锁的怪物，请注意查看怪物图鉴	Assets/Product/Texture/Image/UiLivRealisticTraining/UiLivRealisticTrainingBg.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/UiLivRealisticTrainingStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageRealisticTrainingInfernalMobs.prefab	9
