Id	PreStage	Type	Name	FinishCondition	FinishDesc	DrawRulesGroup	HandNum	FirstDrawNum	DrawNum	NeedCharNum	MonsterGroup	EnableReboot	InitActionPoint	InitialHp	MaxHp	MaxEnergy	EnablePlayerSkill	StageTokenIcons	StageTokenNames	StageTokenDescs	StarConditions	StarDesc	RecommendChar	PlayerSkillsEffect	PlayerSkillsEnergy	CommanderPassiveEffects	Icon
1		1	单兵作战		击败园丁	1	12	7	4	1	1	1	3	20	20	5					[-1, 5, 3]	['通关关卡', '重启次数≤5', '重启次数≤3']	[1]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk01.png
2	1	1	红莲业舞		击败园丁	2	12	7	4	1	2	1	3	20	20	5					[-1, 5, 3]	['通关关卡', '重启次数≤5', '重启次数≤3']	[1]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk01.png
3	2	1	风暴降临		击败园丁	3	12	7	4	2	3	1	3	20	20	5					[-1, 5, 3]	['通关关卡', '重启次数≤5', '重启次数≤3']	[1, 3]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk01.png
4	3	1	各擅胜场		击败园丁	4	12	7	4	2	4	1	3	20	20	5					[-1, 5, 3]	['通关关卡', '重启次数≤5', '重启次数≤3']	[1, 3]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk01.png
5	4	1	蚀暗辉光		击败修理机工	5	12	7	4	3	5	1	3	10	20	5					[-1, 5, 3]	['通关关卡', '重启次数≤5', '重启次数≤3']	[1, 2, 3]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk02.png
6	5	1	协同阵列		击败园丁	6	12	7	4	3	6	1	3	18	20	5					[-1, 5, 3]	['通关关卡', '重启次数≤5', '重启次数≤3']	[1, 2, 3]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk01.png
7	6	1	战域指挥		击败园丁	7	12	7	4	3	7	1	3	20	20	5	1				[-1, 5, 3]	['通关关卡', '重启次数≤5', '重启次数≤3']	[1, 2, 3]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk01.png
8	7	1	揭幕试炼		击败守护者	8	12	7	4	3	8	1	3	20	20	5	1				[-1, 5, 3]	['通关关卡', '重启次数≤5', '重启次数≤3']	[1, 2, 3]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk03.png
10	8	2	恹黄病壤		击败地面监视器·大型	10	12	7	4	3	10	1	3	20	20	5	1	['Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconYellow.png']	['嗜黄']	['玩家三消黄球时，怪物获得[刚体]*10。']	[-1, 3, 1]	['通关关卡', '重启次数≤3', '重启次数≤1']	[1, 2, 3]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk04.png
11	10	2	暮红残晖		击败驯兽师	11	12	7	4	3	11	1	3	20	20	5	1	['Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconRed.png']	['嗜红']	['玩家三消红球时，怪物获得[暴走]*1。']	[-1, 3, 1]	['通关关卡', '重启次数≤3', '重启次数≤1']	[1, 2, 3]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk05.png
12	11	2	黯蓝晦洋		击败守护者	12	12	7	4	3	12	1	3	20	20	5	1	['Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconBlue.png']	['嗜蓝']	['玩家三消蓝球时，召唤1个自爆原虫。']	[-1, 3, 1]	['通关关卡', '重启次数≤3', '重启次数≤1']	[1, 2, 3]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk03.png
13	12	2	崇高画作		击败喷涂机械	13	12	7	4	3	13	1	3	20	20	5	1	['Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconYellow.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconRed.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconBlue.png']	['嗜黄', '嗜红', '嗜蓝']	['玩家三消黄球时，怪物获得[刚体]*10。', '玩家三消红球时，怪物获得[暴走]*1。', '玩家三消蓝球时，召唤1个自爆原虫。']	[-1, 3, 1]	['通关关卡', '重启次数≤3', '重启次数≤1']	[1, 2, 3]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk06.png
14	13	3	无尽艺廊		无尽挑战！尽可能多地击败怪物吧！	14	12	7	4	3	14		3	20	20	5	1	['Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconYellow.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconRed.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconBlue.png']	['波次轮转机制-嗜黄', '波次轮转机制-嗜红', '波次轮转机制-嗜蓝']	['玩家三消黄球时，怪物获得[刚体]*10。', '玩家三消红球时，怪物获得[暴走]*1。', '玩家三消蓝球时，召唤1个自爆原虫。']	[0, 0, 0]	['0', '0', '0']	[1, 2, 3]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk06.png
20	14	2	禁束棘道		击败构造体	20	12	7	4	3	20	1	3	20	20	5	1	['Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconMonster1P1.png']	['苦旅Ⅰ']	['玩家每行动12次，怪物获得[刚体]*20。怪物受到单次伤害≥12时，重置行动计数。']	[-1, 3, 1]	['通关关卡', '重启次数≤3', '重启次数≤1']	[4, 5, 6]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk08.png
21	20	2	厄难重负		击败执行者	21	12	7	4	3	21	1	3	20	20	5	1	['Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconMonster1P1.png']	['苦旅Ⅰ']	['玩家每行动12次，怪物获得[刚体]*20。怪物受到单次伤害≥12时，重置行动计数。']	[-1, 3, 1]	['通关关卡', '重启次数≤3', '重启次数≤1']	[4, 5, 6]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk09.png
22	21	2	囚缚罪责		击败修女	22	12	7	4	3	22	1	3	20	20	5	1	['Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconMonster1P2.png']	['苦旅Ⅱ']	['玩家每行动12次，怪物获得[暴走]*1。怪物受到单次伤害≥12时，重置行动计数。']	[-1, 3, 1]	['通关关卡', '重启次数≤3', '重启次数≤1']	[4, 5, 6]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk07.png
23	22	2	终炼痛楚		击败苦刑之女	23	12	7	4	3	23	1	3	20	20	5	1	['Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconMonster1P3.png', 'Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22090.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconMonster1P4.png']	['苦旅Ⅲ', '更多！', '苦旅Ⅳ']	['玩家每行动12次，怪物获得[刚体]*20，并将两张【苦刑】牌加入抽牌堆。怪物受到单次伤害≥24时，重置行动计数。', '怪物行动开始时，若苦刑之女HP<180，获得20护甲，移除[苦旅Ⅲ]，获得[苦旅Ⅳ]。', '玩家每行动12次，怪物获得[暴走]*1，并将两张【苦刑】牌加入抽牌堆。怪物受到单次伤害≥24时，重置行动计数。']	[-1, 3, 1]	['通关关卡', '重启次数≤3', '重启次数≤1']	[4, 5, 6]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010, 1000280]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk10.png
24	23	3	深狱暗牢		无尽挑战！尽可能多地击败怪物吧！	24	12	7	4	3	24		3	20	20	5	1	['Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconMonster1P1.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconMonster1P2.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgAffixIconMonster1P3.png']	['波次轮转机制-苦旅Ⅰ', '波次轮转机制-苦旅Ⅱ', '波次轮转机制-苦旅Ⅲ']	['玩家每行动12次，怪物获得[刚体]*20。怪物受到单次伤害≥12时，重置行动计数。', '玩家每行动12次，怪物获得[暴走]*1。怪物受到单次伤害≥12时，重置行动计数。', '玩家每行动12次，怪物获得[刚体]*20，并将两张【苦刑】牌加入抽牌堆。怪物受到单次伤害≥24时，重置行动计数。']	[0, 0, 0]	['0', '0', '0']	[4, 5, 6]		[5]	[113001, 113002, 113003, 113004, 1000040, 1000041, 1000050, 1000051, 1000130, 1000131, 1000240, 1000250, 8010]	Assets/Product/Texture/Image/UiPcg/UiPcgStageBgGk10.png
