Id	Trigger	TriggerParams	Type	TypeParams	PerformanceOrder	Desc	ShowDesc	Cv
1	23	[1, 0, 0]	3	[4, 1]	100	红色角色通用红单消，目标单体4伤害	<color=#FFFFFF>单消</color> -> <Icon=IconRedSkill|45|45|0.5/> <color=#E76D88>红球牌</color>	
2	22	[1, 0, 0]	3	[6, 1]	100	红色角色通用红双消，目标单体6伤害	<color=#FFFFFF>双消</color> -> <Icon=IconRedSkill|45|45|0.5/> <color=#E76D88>红球牌</color>	
3	21	[1, 0, 0]	3	[8, 1]	100	红色角色通用红三消，目标单体8伤害	<color=#FFFFFF>三消</color> -> <Icon=IconRedSkill|45|45|0.5/> <color=#E76D88>红球牌</color>	
4	21	[1, 0, 0]	31	[0, 1, 1, 0, 0, 0]	100	红色角色通用红三消，抽牌堆顺序抽1任意牌	<color=#FFFFFF>三消</color>额外抽牌	
5	23	[3, 0, 0]	3	[4, 1]	100	红色角色通用黄单消，目标单体4伤害	<color=#FFFFFF>单消</color> -> <Icon=IconYellowSkill|45|45|0.5/> <color=#FAD364FF>黄球牌</color>	
6	22	[3, 0, 0]	3	[6, 1]	100	红色角色通用黄双消，目标单体6伤害	<color=#FFFFFF>双消</color> -> <Icon=IconYellowSkill|45|45|0.5/> <color=#FAD364FF>黄球牌</color>	
7	21	[3, 0, 0]	3	[8, 1]	100	红色角色通用黄三消，目标单体8伤害	<color=#FFFFFF>三消</color> -> <Icon=IconYellowSkill|45|45|0.5/> <color=#FAD364FF>黄球牌</color>	
8	21	[3, 0, 0]	31	[0, 1, 1, 0, 0, 0]	100	红色角色通用黄三消，抽牌堆顺序抽1任意牌	<color=#FFFFFF>三消</color>额外抽牌	
9	23	[2, 0, 0]	3	[4, 1]	100	红色角色通用蓝单消，目标单体4伤害	<color=#FFFFFF>单消</color> -> <Icon=IconBlueSkill|45|45|0.5/> <color=#59CCFFFF>蓝球牌</color>	
10	22	[2, 0, 0]	3	[6, 1]	100	红色角色通用蓝双消，目标单体6伤害	<color=#FFFFFF>双消</color> -> <Icon=IconBlueSkill|45|45|0.5/> <color=#59CCFFFF>蓝球牌</color>	
