Id	Life	Attack	AttackIntensity	Defense	DefensePierceP	CritP	CritResistanceP	CritDmgRateP	CritDmgRateReductionP	ShieldEfficiencyP	ShieldAmpP	ShieldReductionP	ShieldGainBonusP	ShieldGainReductionP	PhysicalAmpP	Element1AmpP	Element2AmpP	Element3AmpP	Element4AmpP	PhysicalReductionP	Element1ReductionP	Element2ReductionP	Element3ReductionP	Element4ReductionP	PhysicalPierceP	Element1PierceP	Element2PierceP	Element3PierceP	Element4PierceP	SignalSkillDmgAmpP	CoreSkillDmgAmpP	NormalAtkDmgAmpP	ExSkillDmgAmpP	HuntSkillDmgAmpP	SignalSkillDmgReductionP	SpecialSkillDmgReductionP	NormalAtkDmgReductionP	ExSkillDmgReductionP	HuntSkillDmgReductionP	ThreatRate	CharacterValue	ExSkillPoint	IdleSpinningSpeed	RunSpinningSpeed	DodgeEnergy	JumpEnergy	DodgeEnergyRegen	JumpEnergyRegen	CustomEnergyGroup1	CustomEnergyGroup2	CustomEnergyGroup3	CustomEnergyGroup4	Speed	RunSpeed	JumpSpeed	RunSpeedCOE	JumpSpeedCOE	IdleJumpSpeedCOE	WalkJumpSpeedCOE	SprintJumpSpeedCOE	RunStartJumpSpeedCOE	SprintStartJumpSpeedCOE	RotationSpeed	WalkSpeed	WalkSpeedCOE	SprintSpeed	SprintSpeedCOE	DmgReduction	BlockRate	BlockReduction	Attack1AmpP	Attack2AmpP	Attack3AmpP	Attack4AmpP	Attack5AmpP	Attack6AmpP	Attack7AmpP	DmgLimitP	Bonus1RateP	Bonus2RateP	Bonus3RateP	BonusDmgP	WeakAmpP	HealAmpP	BreakDmg	BreakDmgP	BreakGauge	BreakGaugeRecoveryRateP	BreakGaugeReductionCOE	OverDrive	OverDriveBreakTime	OverDriveStackP	OverDriveDecreaseP	OverDriveDecreaseSpeed	OverDriveRaiseLimit	OverDriveDecreaseLimit	CauseDamageThreatCoe	RebootValue	DmgAmplification	CooldownReduction	DodgeIncreaseP	BlockIncreaseP	RelinkChainSkillAmpP	BonusDmgP2	BonusDmgP3
1002	1	950		650		500		15000																																10000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	12999	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
1003	1	100		100				10000																																	200	4	10499	10499	1000	1000	5	5	100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
1006	1	100		100				10000																																	200	4	10499	10499	1000	1000	5	5	100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
1007	1	850		500		1500		15000																																	200	4	10499	10499	1000	1000	5	5	1000	1000	100	100	55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
1010	2400	100						10000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
1011	2400	100						10000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
1012	2400	100						10000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
1013	2400	100						10000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
1014	1	700		400		3000		15000																																	200	4	10499	10499	1000	1000	5	5	120	80	100	100	55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
1015	800	35						10000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
1016	800	35						10000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
1017	800	35						10000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
