Id	GroupId	SmallIconPath	IconPath	UnlockDesc	Width	Height	DefaultScale	MaxScale	MinScale
1	1	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV217Icon.png	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV217Icon.png	解锁描述1	360	320	0.8	2.0	0.5
2	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg02.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg02.png	解锁描述2	360	320	0.8	2.0	0.5
3	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg03.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg03.png	解锁描述3	360	320	0.8	2.0	0.5
4	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg04.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg04.png	解锁描述4	360	320	0.8	2.0	0.5
5	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg05.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg05.png	解锁描述5	360	320	0.8	2.0	0.5
6	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg06.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg06.png	解锁描述6	360	320	0.8	2.0	0.5
7	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg07.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg07.png	解锁描述7	360	320	0.8	2.0	0.5
8	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg08.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg08.png	解锁描述8	360	320	0.8	2.0	0.5
9	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg09.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg09.png	解锁描述9	360	320	0.8	2.0	0.5
10	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg10.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg10.png	解锁描述10	360	320	0.8	2.0	0.5
11	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg11.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg11.png	解锁描述11	360	320	0.8	2.0	0.5
12	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg12.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg12.png	解锁描述12	360	320	0.8	2.0	0.5
13	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg13.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg13.png	解锁描述13	360	320	0.8	2.0	0.5
14	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg14.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg14.png	解锁描述14	360	320	0.8	2.0	0.5
15	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg15.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg15.png	解锁描述15	360	320	0.8	2.0	0.5
16	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg16.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg16.png	解锁描述16	360	320	0.8	2.0	0.5
17	1	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg17.png	Assets/Product/Texture/Atlas/UiFuben/UifubenBtnBg17.png	解锁描述17	360	320	0.8	2.0	0.5
103201	10320119	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV217Icon1.png	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV217Icon1.png	七实！	360	320	0.8	2.0	0.5
103202	10320119	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV217Icon2.png	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV217Icon2.png	七实开的~	360	320	0.8	2.0	0.5
103203	10320119	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV217Icon3.png	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV217Icon3.png	哈卡玛！	360	320	0.8	2.0	0.5
112501	13020306	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV302Icon1.png	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV302Icon1.png	赛琳娜表情包1	360	320	0.8	2.0	0.5
112502	13020306	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV302Icon2.png	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV302Icon2.png	赛琳娜表情包2	360	320	0.8	2.0	0.5
112503	13020306	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV302Icon3.png	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV302Icon3.png	赛琳娜表情包3	360	320	0.8	2.0	0.5
112504	13020306	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV302Icon4.png	Assets/Product/Texture/Atlas/UiFightCaptureV217/UiFightCaptureV302Icon4.png	赛琳娜表情包4	360	320	0.8	2.0	0.5
15021401	150214172	Assets/Product/Texture/Atlas/UiBodyCombineGame/UiBodyCombineGamekuro.png	Assets/Product/Texture/Atlas/UiBodyCombineGame/UiBodyCombineGamekuro.png	Kuroro	360	320	0.8	2.0	0.5
