Id	Name	Index	Type	ResIds	Desc	Banner	AllowDelete	CustomSkipId	PreIds	DownloadTaskId
201	【感染】主线包	1	1	[201]	游玩【感染】主线及后续主线的必要资源包					
202	【漩涡】主线包	2	1	[202]	游玩【漩涡】主线及后续主线的必要资源包				[201]	
203	【灾诞】主线包	3	1	[203, 3031, 3033]	游玩【灾诞】主线及后续主线的必要资源包				[201, 202]	
204	【命途】主线包	4	1	[204, 3038, 3039]	游玩【命途】主线及后续主线的必要资源包				[201, 202, 203]	
401	空中花园	1	2	[301, 402, 403]	游玩空中花园的必要资源包		True			
901	粤语配音	1	2	[901]	下载后可使用粤语配音		True			
902	日语配音	2	2	[902]	下载后可使用日语配音		True			
903	英语配音	3	2	[903]	下载后可使用英语配音		True			
904	剧情视频	4	2	[1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015, 1016, 1017, 1018, 1019, 1020, 1021, 1022, 1023, 1024, 1025, 1026, 1027, 1028, 1029, 1030, 1031, 1032, 1033, 1034, 1035, 1036, 1037, 1038, 1039, 1040, 1041, 1042, 1043, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1052, 1053, 1054, 1055, 1056, 1057]	下载后可播放所有剧情视频		True			
905	玩法视频	5	2	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	下载后可播放所有玩法视频		True			
3000	主题音乐	6	2	[3000, 3001, 3002]	使用主界面音乐播放器及公会音乐盒的必要资源包		True			
4000	角色涂装	7	2	[4000, 4001, 4002, 4003, 4004, 4005, 4006, 4007, 4008, 4009, 4010, 4011, 4012, 4013, 4014, 4015, 4016, 4017, 4018, 4019, 4020, 4021, 4022, 4023, 4024, 4025, 4026, 4027, 4028, 4029, 4030, 4031, 4032, 4033, 4034, 4035, 4036, 4037, 4038, 4039, 4040, 4041, 4042, 4043, 4044, 4045, 4046, 4047, 4048, 4049, 4050, 4051, 4052, 4053, 4054, 4055, 4056, 4057, 4058, 4059, 4060, 4061, 4062, 4063, 4064, 4065, 4066, 4067, 4068, 4069, 4070, 4071, 4072, 4073, 4074, 4075, 4076, 4077, 4078, 4079, 4080, 4081, 4082, 4083, 4084, 4085, 4086, 4087, 4088, 4089, 4090, 4091, 4092, 4093, 4094, 4095, 4096, 4097, 4098, 4099, 4100, 4101, 4102, 4103, 4104, 4105, 4106, 4107, 4108, 4109, 4110, 4111, 4112, 4113, 4114, 4115, 4116, 4117, 4118, 4119, 4120, 4121, 4122, 4123, 4124, 4125, 4126, 4127, 4128, 4129, 4130, 4131, 4132, 4133, 4134, 4135, 4136, 4137, 4138, 4139, 4140, 4141, 4142, 4143, 4144, 4145, 4146, 4147, 4148, 4149, 4150, 4151, 4152, 4153, 4154, 4155, 4156, 4157, 4158, 4159, 4160, 4161, 4162, 4163, 4164, 4165, 4166, 4167, 4168, 4169, 4170, 4171, 4172, 4173, 4174, 4175, 4176, 4177, 4178, 4179, 4180, 4181, 4182, 4183, 4184, 4185, 4186, 4187, 4188, 4189, 4190, 4191, 4192, 4193, 4194, 4195]	下载后可使用所有角色涂装			89103		
9999	玩法扩充包	5	1	[9999, 3041, 3042, 3043, 3045, 3047, 3049, 3050, 3051, 3052, 3053, 3054, 3055, 3056, 3057, 3058, 3059, 3060, 3062, 3065, 3066, 3067, 3069]	游玩全新主线以及活动玩法的必要资源包				[201, 202, 203, 204]	
