Id	NpcId	Name	TradeName	LogName	EnName	Icon	HalfBodyImage	Sex	Priority	EquipId	DefaultNpcFashionId	Code	Class	AttribId	Element
1021001	1002	露西亚	红莲	露西亚·红莲	Lucia	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Texture/Image/UiDlcHunt/UiDlcHuntSettlementXxRw4.png	1	10	2022001	6210101	1		1002	[1]
1041003	1014	比安卡	真理	比安卡·真理	Bianca	Assets/Product/Texture/Image/Role/RoleHeadBiankaSS.png	Assets/Product/Texture/Image/UiDlcHunt/UiDlcHuntSettlementXxRw2.png	1	20	2046002	6410303	2		1014	[1]
1071002	1007	卡列尼娜	爆裂	卡列尼娜·爆裂	Karenina	Assets/Product/Texture/Image/Role/RoleHeadKalie.png	Assets/Product/Texture/Image/UiDlcHunt/UiDlcHuntSettlementXxRw3.png	1	30	2073001	6710101	3		1007	[1]
4001001	4001	Q版露西亚鸦羽								2022001	6210101			1014	
4003001	4003	Q版露娜银冕								2022001	6210101			1014	
4004001	4004	Q版超丽芙								2022001	6210101			1014	
4005001	4005	Q版薇拉绯耀								2022001	6210101			1014	
4006001	4006	Q版库洛姆荣光								2022001	6210101			1014	
4011001	4011	Q版S赛琳娜								2022001	6210101			1014	
4015001	4015	Q版机甲七实								2022001	6210101			1014	
4020001	4020	Q版超卡列								2022001	6210101			1014	
4026001	4026	Q版罗塞塔								2022001	6210101			1014	
4038001	4038	Q版比安卡深痕								2022001	6210101			1014	
4043001	4043	Q版超里								2022001	6210101			1014	
4047001	4047	Q版超白毛								2022001	6210101			1014	
4048001	4048	Q版S艾拉								2022001	6210101			1014	
4051001	4051	Q版21号森息								2022001	6210101			1014	
4053001	4053	Q版亚里沙								2022001	6210101			1014	
4054001	4054	Q版拉弥亚								2022001	6210101			1014	
4055001	4055	Q版S渡边								2022001	6210101			1014	
4056001	4056	Q版S曲								2022001	6210101			1014	
5001001	5001	躲猫猫-Q版露西亚鸦羽								2022001	6210101			1014	
5003001	5003	躲猫猫-Q版露娜银冕								2022001	6210101			1014	
5004001	5004	躲猫猫-Q版超丽芙								2022001	6210101			1014	
5005001	5005	躲猫猫-Q版薇拉绯耀								2022001	6210101			1014	
5006001	5006	躲猫猫-Q版库洛姆荣光								2022001	6210101			1014	
5011001	5011	躲猫猫-Q版S赛琳娜								2022001	6210101			1014	
5015001	5015	躲猫猫-Q版机甲七实								2022001	6210101			1014	
5020001	5020	躲猫猫-Q版超卡列								2022001	6210101			1014	
5026001	5026	躲猫猫-Q版罗塞塔								2022001	6210101			1014	
5038001	5038	躲猫猫-Q版比安卡深痕								2022001	6210101			1014	
5043001	5043	躲猫猫-Q版超里								2022001	6210101			1014	
5047001	5047	躲猫猫-Q版超白毛								2022001	6210101			1014	
5048001	5048	躲猫猫-Q版S艾拉								2022001	6210101			1014	
5051001	5051	躲猫猫-Q版21号森息								2022001	6210101			1014	
5053001	5053	躲猫猫-Q版亚里沙								2022001	6210101			1014	
5054001	5054	躲猫猫-Q版拉弥亚								2022001	6210101			1014	
5055001	5055	躲猫猫-Q版S渡边								2022001	6210101			1014	
5056001	5056	躲猫猫-Q版S曲								2022001	6210101			1014	
5057001	5057	躲猫猫-Q版布偶熊								2022001	6210101			1014	
5058001	5058	躲猫猫-Q版超露娜								2022001	6210101			1014	
5059001	5059	躲猫猫-Q版布丽吉特								2022001	6210101			1014	
5060001	5060	躲猫猫-Q版超含英								2022001	6210101			1014	
5061001	5061	躲猫猫-Q版八咫								2022001	6210101			1014	
5062001	5062	躲猫猫-Q版慈悲者								2022001	6210101			1014	
5063001	5063	躲猫猫-Q版莉莉丝								2022001	6210101			1014	
5064001	5064	躲猫猫-Q版S万事								2022001	6210101			1014	
5065001	5065	躲猫猫-Q版超七实								2022001	6210101			1014	
5066001	5066	躲猫猫-Q版火露								2022001	6210101			1014	
5067001	5067	躲猫猫-Q版超级赛琳娜								2022001	6210101			1014	
