Id	Desc	Type	Name	Speed	TurningDuration	AlertX	AlertY	AlertVisibility	Params	Score	Icon
1	Executable code. The number of Benign Code Blocks determines the success of the emergency repair.	1	Benign Code Blocks								Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon07.png
2	Collect the required number of Benign Code Blocks to complete the project.	2	Logic Block Endpoint								Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon15.png
3	Restores HP when picked up.	3	Syntax Highlighting						[1]		Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon04.png
4	Can be collected after entering the Pursuit Phase. When picked up, defeats enemies on contact for a short duration.	4	Troubleshooting Mode						[5, 10]		Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon12.png
5	Pick it up to move faster for a certain amount of time and turn all enemies on the map to running shoes. Touch the shoes to refresh the duration.	5	Sprinter						[5]		Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon14.png
6	The most common and easiest error to debug. Patrols along a fixed route.	6	Syntax Error	55							Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon02.png
7	A monster in the world of bytes. It moves fast in a straight line but doesn't look very flexible.	7	Eclipser	30	1	4	4	True			Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon05.png
8	A monster in the world of bytes. It can slow down things within a certain range around it. You will be automatically slowed down when you get close to it.	8	Ooze	18		4	4		[90, 3, 3]		Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon03.png
9	Running Shoes (1 = Duration (To Be Deleted), 2 = Speed Upon Consumption, 3 = Stack Speedup)	9	Shoes	18					[5, 35, 2]		Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon20.png
10	Pick it up to create a clone of yourself to attract the enemies. It will stun any enemy it touches and eat Byte Crystals just like you.	10	Clone	30					[2, 1]		Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon08.png
11	Food monster	11	Food	30							Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon06.png
12	Touch to teleport between breakpoints of the same color.	12	Loop Breakpoint								Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon11.png
13	Resembles a creature from a certain classic game. Patrols along a fixed route and grows longer after consuming Code Blocks.	13	Stack Overflow	60					[7]		Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon03.png
14	The glutton of the error world. Starts by rapidly devouring Benign Code Blocks. Slows down after eating its fill and has no fixed patrol route.	14	Memory Leak	80					[55, 12]		Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon05.png
15	When picked up, slows down all errors, making troubleshooting easier.	15	Step Debugging						[5000, 5]		Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon10.png
16	When picked up, moves faster for a duration.	16	Quick Traversal						[5000, 5]		Assets/Product/TileMap/PacMan2/PacMan2Asset/PacMan2Icon/UIPacman2Icon14.png
