Id	TipsContent	TriggerType	TriggerPram
1	<color=#27d833>>Executing: Process started successfully...</color>\n<color=#5acbff>>This codebase is a mess. Let's clean up these bugs together.</color>	1	
2	<color=#5acbff>>This won't end well if you keep going like this. Deal with them.</color>	2	[1]
3	<color=#5acbff>>This won't end well if you keep going like this. Deal with them.</color>	2	[2]
4	<color=#5acbff>>This won't end well if you keep going like this. Deal with them.</color>	2	[3]
5	<color=#27d833>>1 Star. It's more organized now, but you could still push a bit more.</color>	3	[1]
6	<color=#27d833>>2 Stars. You might have the makings of a pro hacker, but there's definitely room to grow.</color>	3	[2]
7	<color=#27d833>>3 Stars. Good enough. No need to fuss over code that already runs smoothly.</color>	3	[3]
8	<color=#5acbff>>That's all we can salvage. From here on, it'll be point-to-point fixes.</color>	4	[10]
9	<color=#d52930>>Warning: Entering pursuit phase...</color>\n<color=#5acbff>>Emergency repairs are over. Those bugs are gearing up to counterattack. Stay sharp.</color>	5	
10	<color=#5acbff>>Found the key to the issue. Time to chase down the remaining errors.</color>	6	[4]
11	<color=#5acbff>>Techniques for improving code readability.</color>	6	[3]
12	<color=#5acbff>>Bug activity slowed. Fix them while you still can.</color>	6	[15]
13	<color=#5acbff>>Boost efficiency. Wrap it up sooner.</color>	6	[16]
14	<color=#5acbff>>Much cleaner now, right?</color>	7	
15	<color=#5acbff>>You could force quit now... but are you really okay leaving behind sloppy code?</color>	8	[2, 3]
16	<color=#27d833>>Perfect job. Time to clock out.</color>	8	[1, 3]
17	<color=#5acbff>>Switch to whichever controls feel better—swipe or tap.</color>	9	[1]
18	<color=#5acbff>>Switch to whichever controls feel better—swipe or tap.</color>	9	[2]
