Id	Condition	InitMagicId	MagicId	Icon	SkillCnt	SkillCd	Name	Des
1		1900072	1900080	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon01.png	3	20	扫描	对自身周边范围进行扫描，当扫描范围内存在鼠阵营玩家，将出现预警提示。
2		1900073	1900081	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon02.png	2	5	标点	随机选择一名不在隐身状态下的鼠阵营玩家，在一段时间内生成一个箭头指向该玩家所在位置。
3		1900074	1900082	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon03.png	5	5	捕兽夹	生成一个伪装成奶酪的捕兽夹，陷阱会使经过的鼠阵营玩家取消变身并进入眩晕，同时向放置捕兽夹的玩家发送提醒，最多可同时放置6个捕兽夹。
4		1900075	1900083	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon05.png	3	20	全体增速	在一定时间内提升猫阵营全体玩家的移动速度。
5		1900076	1900084	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon08.png	2	5	随机道具	使用技能后，玩家可以随机获得一个鼠阵营的专用道具。
6		1900077	1900085	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon06.png	3	15	传送帽	首次使用技能时，在脚下生成一个短暂存在的魔术帽；在魔术帽存在期间再次使用技能，可传送至魔术帽所在位置。
7				Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon07.png	2	5	传送帽-传送	传送帽2阶段
8		1900127	1900133	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon16.png	3	10	足迹追踪	在一定时间内，显示鼠阵营玩家的行动轨迹。
9		1900129	1900134	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon19.png	3	25	野兽标记	携带技能后，若鼠阵营玩家在携带者视野内移动时可自动触发技能，持续一段时间标记其所在位置。
10		1900131	1900135	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon17.png	3	20	墨汁炸弹	向所在位置放置一个墨汁炸弹，爆炸后周围一定范围内的其他玩家的视野会受到墨汁阻挡。
11		1900137	1900138	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon21.png	3	20	震慑	震慑前方一定范围内的鼠阵营玩家，使其移动方向与操作方向相反。
12		1900140	1900141	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon12.png	3	5	隐身	
13			1900142	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon20.png	5	6	香蕉皮	设置一个对所有玩家均有效的香蕉皮，踩中后会向前滑行，期间无法使用其他技能，若鼠鼠踩中则会取消变身。
14			1900153	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon15.png	3	15	幻象	取消变身并向前方发射一个幻象，幻象持续移动，碰撞到障碍物时消失。
15			1900155	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon18.png	3	20	防护罩	在短时间内展开防护罩，可抵御一次射击。若防护罩展开期间受到攻击，则在短时间内获得速度提升效果。
16			1900169	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerBuffIcon04.png	3	20	透视	在短时间内显示所有猫阵营玩家的位置。
