Info	Key	X	Y
1	S1	16385	10527
1	BP1	15717	10573
1	A1	16377	11977
1	A2	16577	12622
1	A3	16169	13153
1	A4	16380	13741
1	A5	16368	15418
1515151515	S1	16389	15427
1515151515	PB1	16398	15096
1515151515	ZX1	16398	15436
1515151515	End	16384	15417
1515151515	B101	16389	15302
1515151515	B102	16259	15384
1515151515	B103	16499	15388
1515151515	B104	16226	15513
1515151515	B105	16393	15513
1515151515	B106	16552	15513
96992000	PB1	15635	14834
96992000	S1	16052	15138
96992000	M1	16091	15743
96992000	M2	16386	15422
96992000	M3	16737	15106
99919800	PB1	16397	14903
99919800	S1	16385	15465
99919800	B101	16403	15586
