Id	AnimationName	ModelId	HideNodes	ShowNodes
1	StandAct0101	R5YongyechaoMd010011SG	['R5YongyechaoMd010011Armor', 'R5YongyechaoMd010011Alpha', 'R5YongyechaoMd010011Armor01', 'R5YongyechaoMd010011Armor02', 'R5YongyechaoMd010011Armor03', 'R5YongyechaoMd010011Armor04', 'R5YongyechaoMd010011Armor05', 'R5YongyechaoMd010011Moon', 'R5YongyechaoMd010011Nebula', 'R5YongyechaoMd010011Sun', 'R5YongyechaoMd010011Armor_Lod0', 'R5YongyechaoMd010011Armor_Lod1', 'R5YongyechaoMd010011Alpha_Lod0', 'R5YongyechaoMd010011Alpha_Lod1', 'R5YongyechaoMd010011Moon_Lod0', 'R5YongyechaoMd010011Moon_Lod1', 'R5YongyechaoMd010011Nebula_Lod0', 'R5YongyechaoMd010011Nebula_Lod1', 'R5YongyechaoMd010011Sun_Lod0', 'R5YongyechaoMd010011Sun_Lod1']	
2	StandAct0101	R5YongyechaoMd010021SG	['R5YongyechaoMd010021Armor', 'R5YongyechaoMd010011Alpha', 'R5YongyechaoMd010021Armor01', 'R5YongyechaoMd010021Armor02', 'R5YongyechaoMd010021Armor03', 'R5YongyechaoMd010021Armor04', 'R5YongyechaoMd010021Armor05', 'R5YongyechaoMd010011Moon', 'R5YongyechaoMd010011Nebula', 'R5YongyechaoMd010011Sun', 'R5YongyechaoMd010021Armor_Lod0', 'R5YongyechaoMd010021Armor_Lod1', 'R5YongyechaoMd010011Alpha_Lod0', 'R5YongyechaoMd010011Alpha_Lod1', 'R5YongyechaoMd010011Moon_Lod0', 'R5YongyechaoMd010011Moon_Lod1', 'R5YongyechaoMd010011Nebula_Lod0', 'R5YongyechaoMd010011Nebula_Lod1', 'R5YongyechaoMd010011Sun_Lod0', 'R5YongyechaoMd010011Sun_Lod1']	
3	StandAct0101	R5YongyechaoMd010031SG	['R5YongyechaoMd010031Armor', 'R5YongyechaoMd010011Alpha', 'R5YongyechaoMd010031Armor01', 'R5YongyechaoMd010031Armor02', 'R5YongyechaoMd010031Armor03', 'R5YongyechaoMd010031Armor04', 'R5YongyechaoMd010031Armor05', 'R5YongyechaoMd010011Moon', 'R5YongyechaoMd010011Nebula', 'R5YongyechaoMd010011Sun', 'R5YongyechaoMd010031Armor_Lod0', 'R5YongyechaoMd010031Armor_Lod1', 'R5YongyechaoMd010011Alpha_Lod0', 'R5YongyechaoMd010011Alpha_Lod1', 'R5YongyechaoMd010011Moon_Lod0', 'R5YongyechaoMd010011Moon_Lod1', 'R5YongyechaoMd010011Nebula_Lod0', 'R5YongyechaoMd010011Nebula_Lod1', 'R5YongyechaoMd010011Sun_Lod0', 'R5YongyechaoMd010011Sun_Lod1']	
4	StandAct0101	R5YongyechaoMd019071SG	['R5YongyechaoMd019071Alpha03', 'R5YongyechaoMd019071Armor', 'R5YongyechaoMd019071Armor01', 'R5YongyechaoMd019071Armor02', 'R5YongyechaoMd019071Armor03', 'R5YongyechaoMd019071Armor04', 'R5YongyechaoMd019071Armor05', 'R5YongyechaoMd019071Wing', 'FxR5YongyechaoBip001HeadFumo']	
5	StandAct0101	R5YongyechaoMd019031SG	['R5YongyechaoMd019031Alpha01', 'R5YongyechaoMd019031Alpha02', 'R5YongyechaoMd019031Alpha03', 'R5YongyechaoMd019031Alpha04', 'R5YongyechaoMd019031Armor01', 'R5YongyechaoMd019031Armor02', 'R5YongyechaoMd019031Armor03', 'R5YongyechaoMd019031Armor04', 'R5YongyechaoMd019031Effect', 'R5YongyechaoMd019031Tail']	
6	StandAct0101	R4WeilaMd010011SG	['R4WeilaMd010011Face02']	
7	StandAct0101	R4WeilaMd010021SG	['R4WeilaMd010011Face02']	
8	StandAct0101	R4WeilaMd010031SG	['R4WeilaMd010011Face02']	
9	StandAct0101	R4WeilaMd019011SG	['R4WeilaMd010011Face02']	
10	StandAct0101	R4WeilaMd019101SG	['R4WeilaMd019101Face02']	
