Id	CharacterId	Icon	RoundnessNotItemHeadIcon	BiggerDesc	SmallerDesc	EqualDesc
1	1021006	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR6Luxiya1.png	Assets/Product/Texture/Image/Role/RoleHeadR6Luxiya2.png	要我相信自己的直觉吗？就选择<color=#34AFF8>大</color>吧，我希望我能一如既往，带给你胜利。	要我相信自己的直觉吗？就选择<color=#34AFF8>小</color>吧，我希望我能一如既往，带给你胜利。	
2	1011004	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png	Assets/Product/Texture/Image/Role/RoleHeadR4Li2.png	数据推演的结果是<color=#34AFF8>大</color>，相信我，这个结果绝对准确。	数据推演的结果是<color=#34AFF8>小</color>，相信我，这个结果绝对准确。	
3	1031001	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	唔……问我的话，这次就选<color=#34AFF8>大</color>吧，怎么样？我选对了吗？	唔……问我的话，这次就选<color=#34AFF8>小</color>吧，怎么样？我选对了吗？	
4	1041003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	Assets/Product/Texture/Image/Role/RoleHeadBianka3SS.png	需要我的帮助吗，指挥官阁下？我想，这一次的结果是……<color=#34AFF8>大</color>。	需要我的帮助吗，指挥官阁下？我想，这一次的结果是……<color=#34AFF8>小</color>。	
5	1051004	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR5Yongyechao1.png	Assets/Product/Texture/Image/Role/RoleHeadR5Yongyechao3.png	既然你诚心诚意发问的话，我就大发慈悲地告诉你！是<color=#34AFF8>大</color>！	既然你诚心诚意发问的话，我就大发慈悲地告诉你！是<color=#34AFF8>小</color>！	
6	1061002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	Assets/Product/Texture/Image/Role/RoleHeadShenwei3.png	我觉得这次一定是<color=#34AFF8>大</color>！相信我嘛，指挥官！这种游戏我超擅长！	我觉得这次一定是<color=#34AFF8>小</color>！相信我嘛，指挥官！这种游戏我超擅长！	
7	1071004	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Kalienina1.png	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina3.png	又来问这样的问题了啊！选……选<color=#34AFF8>大</color>就好了！这样简单的东西……喂！不要选错了！	又来问这样的问题了啊！选……选<color=#34AFF8>小</color>就好了！这样简单的东西……喂！不要选错了！	
8	1081004	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Dubian1.png	Assets/Product/Texture/Image/Role/RoleHeadR4Dubian2.png	很久没有接触这样的游戏了……虽然我并不算擅长，但这次应该是选择<color=#34AFF8>大</color>。	很久没有接触这样的游戏了……虽然我并不算擅长，但这次应该是选择<color=#34AFF8>小</color>。	
9	1021005	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR5Luxiya1.png	Assets/Product/Texture/Image/Role/RoleHeadR5Luxiya2.png	……选择<color=#34AFF8>大</color>吧，下不为例，我只会帮助你这一次。	……选择<color=#34AFF8>小</color>吧，下不为例，我只会帮助你这一次。	
10	1091003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Aila1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Aila2.png	按照这一次随机色彩占卜的结果来看的话……选择<color=#34AFF8>大</color>吧，指挥官！要相信艾拉哦！	按照这一次随机色彩占卜的结果来看的话……选择<color=#34AFF8>小</color>吧，指挥官！要相信艾拉哦！	
