SongId	TimeId	Title	Description1	Description2	SettlementImage	CoverImage	CoverBgImage	MusicId	EasyStageId	HardStageId
1		惦惦		作曲：Xin	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner10.png	Assets/Product/Texture/Image/CdPlayer/CdFace24.png		100	30031531	30031532
2		LAMIA		作曲：GhostFinal	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner6.png	Assets/Product/Texture/Image/CdPlayer/CdFace17.png		62	30031547	30031548
3		Dream with you!		作曲：Rabbit J	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner1.png	Assets/Product/Texture/Image/CdPlayer/CdFace8.png		30	30031535	30031536
4		Holy MoonLight		作曲：GhostFinal	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner12.png	Assets/Product/Texture/Image/CdPlayer/CdFace11.png		43	30031553	30031554
5		夤夜渡		Anti-General	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner4.png	Assets/Product/Texture/Image/CdPlayer/CdFace4.png		18	30031551	30031552
6		Over the Glen		作曲：LCC	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner13.png	Assets/Product/Texture/Image/CdPlayer/CdFace22.png		81	30031549	30031550
7		Hikari-入阵		作曲：GhostFinal	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner5.png	Assets/Product/Texture/Image/CdPlayer/CdFace27.png		134	30031555	30031556
8		风的视线		作曲：GhostFinal	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner11.png	Assets/Product/Texture/Image/CdPlayer/CdFace20.png		71	30031533	30031534
9		NANAMI IKIMASU		作曲：墨蓝酱油Polyblue	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner9.png	Assets/Product/Texture/Image/CdPlayer/CdFace25.png		117	30031537	30031538
10		盘旋		编曲：丁培峰@哈魔音乐	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner14.png	Assets/Product/Texture/Image/CdPlayer/CdFace21.png		80	30031543	30031544
11		Dream with you!		作曲：Rabbit J	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner1.png	Assets/Product/Texture/Image/CdPlayer/CdFace8.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace8.png	30	30031741	
12		Dancing tonight		作曲：Rabbit J	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner2.png	Assets/Product/Texture/Image/CdPlayer/CdFace15.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace15.png	57	30031742	
13		DIM LIGHT(幽光)		作曲＆编曲：MeLo	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner17.png	Assets/Product/Texture/Image/CdPlayer/CdFace50.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace50.png	217	30031743	
14		逆流		作曲：墨蓝酱油Polyblue	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner7.png	Assets/Product/Texture/Image/CdPlayer/CdFace23.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace23.png	99	30031744	
15		夏日之上		作曲：ANK	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner16.png	Assets/Product/Texture/Image/CdPlayer/CdFace40.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace40.png	295	30031745	
16		暑假药丸		作曲：为零	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner15.png	Assets/Product/Texture/Image/CdPlayer/CdFace73.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace73.png	349	30031746	
17		环流		作曲：JUSF周存	Assets/Product/Texture/Image/UiTaikoMaster/UiTaikoMasterCdBanner18.png	Assets/Product/Texture/Image/CdPlayer/CdFace43.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace43.png	350	30031747	
