Id	Name	Sort	BgIcon	NameIcon	StageId	EnduranceCost	SingleSwitch	ConditionDesc	ActiveBuffId	BottomCount	ShowDropId	ShowBottomId	Difficulty	SingleDiff	SkillTitle	SkillDesc	EventId
20010001	TFZ-01	1				1	True	击败最终boss	1	12	140100	140100	[1010101, 1010201, 1010301]	[1011101]	['首领：']	['武藏玖型']	[760413, 760283, 760273]
20010011	TFZ-02	2				1	True	击败所有敌人	1	12	140100	140100	[2010101, 2010201, 2010301]	[2011101]	['出现敌人：']	['异合分解单元、异合修复单元、异合火力单元、异合勘探单元']	[760133, 760343, 760333, 760263, 760293, 760202, 760313, 760253, 760353, 760283]
20010101	TFZ-03	3				1	True	击败最终boss	1	12	140100	140100	[3010101, 3010201, 3010301]	[3011101]	['岔口：', '集结：', '分散：', '吞噬：']	['共有两条路通向首领擂台', '若全员集中一条路，击败该条路上的所有敌人即可前往首领擂台', '若小队兵分两路，则需要击败所有敌人(或其中一条路上的队员死亡)即可前往首领擂台', '进入首领战后，首领会吞噬道路上剩余的敌人强化自身']	[760253, 760133, 760242, 760353]
20010002	TSZ-01	1				1	True	击败最终boss	1	12	140100	140100	[1010102, 1010202, 1010302]	[1011102]	['首领：']	['苦刑之女']	[760293, 760373, 760133, 760253, 760201, 760281, 760243]
20010012	TSZ-02	2				1	True	击败所有敌人	1	12	140100	140100	[2010102, 2010202, 2010302]	[2011102]	['出现敌人：']	['力士陆型、烟粉壹型']	[760353, 760343, 760373, 760293, 760263, 760253]
20010103	TSZ-03	3				1	True	击败最终boss	1	12	140100	140100	[3010102, 3010202, 3010302]	[3011102]	['岔口：', '集结：', '分散：', '吞噬：']	['共有两条路通向首领擂台', '若全员集中一条路，击败该条路上的所有敌人即可前往首领擂台', '若小队兵分两路，则需要击败所有敌人(或其中一条路上的队员死亡)即可前往首领擂台', '进入首领战后，首领会吞噬道路上剩余的敌人强化自身']	[760253, 760133, 760242, 760353]
20010003	TFZ-01	1				1	True	击败最终boss	1	12	140100	140100	[1010103, 1010203, 1010303]	[1011103]	['首领：']	['欧西里斯']	[760411, 760133]
20010013	TFZ-02	2				1	True	击败所有敌人	1	12	140100	140100	[2010103, 2010203, 2010303]	[2011103]	['出现敌人：']	['执行者、浪人肆型、遗迹挖掘者、遗迹勘探者']	[760243, 760253, 760133, 760303, 760343, 760353]
20010102	TFZ-03	3				1	True	击败最终boss	1	12	140100	140100	[3010103, 3010203, 3010303]	[3011103]	['支援：', '第一波：', '第二波：', '第三波：']	['每击破一波敌人即可掉落一种增益，拾取后即可生效', '治疗装置：范围内的队友持续恢复生命值', '辐射装置：范围内的敌人持续损失生命值', '增幅装置：个人获得攻击力增幅']	[760253, 760262, 760243, 760343, 760133, 760283, 760293, 760373]
20010004	TSZ-01	1				1	True	击败最终boss	1	12	140100	140100	[1010104, 1010204, 1010304]	[1011104]	['首领：']	['修女']	[760291, 760251]
20010014	TSZ-02	2				1	True	击败所有敌人	1	12	140100	140100	[2010104, 2010204, 2010304]	[2011104]	['出现敌人：']	['信使、园丁、浪人肆型、仿生蝾螈']	[760243, 760251, 760133, 760343, 760353, 760303, 760293]
20010104	TSZ-03	3				1	True	击败最终boss	1	12	140100	140100	[3010104, 3010204, 3010304]	[3011104]	['支援：', '第一波：', '第二波：', '第三波：']	['每击破一波敌人即可掉落一种增益，拾取后即可生效', '治疗装置：范围内的队友持续恢复生命值', '辐射装置：范围内的敌人持续损失生命值', '增幅装置：个人获得攻击力增幅']	[760253, 760262, 760243, 760343, 760133, 760283, 760293, 760373]
20010005	TFZ-01	1				1	True	击败最终boss	1	12	140101	140101	[1020101, 1020201, 1020301]	[1021101]	['首领：']	['武藏玖型']	[760413, 760283, 760273]
20010015	TFZ-02	2				1	True	击败所有敌人	1	12	140101	140101	[2020101, 2020201, 2020301]	[2021101]	['出现敌人：']	['异合分解单元、异合修复单元、异合火力单元、异合勘探单元']	[760133, 760343, 760333, 760263, 760293, 760202, 760313, 760253, 760353, 760283]
20010105	TFZ-03	3				1	True	击败最终boss	1	12	140101	140101	[3020101, 3020201, 3020301]	[3021101]	['岔口：', '集结：', '分散：', '吞噬：']	['共有两条路通向首领擂台', '若全员集中一条路，击败该条路上的所有敌人即可前往首领擂台', '若小队兵分两路，则需要击败所有敌人(或其中一条路上的队员死亡)即可前往首领擂台', '进入首领战后，首领会吞噬道路上剩余的敌人强化自身']	[760253, 760133, 760242, 760353]
20010006	TSZ-01	1				1	True	击败最终boss	1	12	140101	140101	[1020102, 1020202, 1020302]	[1021102]	['首领：']	['苦刑之女']	[760293, 760373, 760133, 760253, 760201, 760281, 760243]
20010016	TSZ-02	2				1	True	击败所有敌人	1	12	140101	140101	[2020102, 2020202, 2020302]	[2021102]	['出现敌人：']	['力士陆型、烟粉壹型']	[760353, 760343, 760373, 760293, 760263, 760253]
20010107	TSZ-03	3				1	True	击败最终boss	1	12	140101	140101	[3020102, 3020202, 3020302]	[3021102]	['岔口：', '集结：', '分散：', '吞噬：']	['共有两条路通向首领擂台', '若全员集中一条路，击败该条路上的所有敌人即可前往首领擂台', '若小队兵分两路，则需要击败所有敌人(或其中一条路上的队员死亡)即可前往首领擂台', '进入首领战后，首领会吞噬道路上剩余的敌人强化自身']	[760253, 760133, 760242, 760353]
20010007	TFZ-01	1				1	True	击败最终boss	1	12	140101	140101	[1020103, 1020203, 1020303]	[1021103]	['首领：']	['欧西里斯']	[760411, 760133]
20010017	TFZ-02	2				1	True	击败所有敌人	1	12	140101	140101	[2020103, 2020203, 2020303]	[2021103]	['出现敌人：']	['执行者、浪人肆型、遗迹挖掘者、遗迹勘探者']	[760243, 760253, 760133, 760303, 760343, 760353]
20010106	TFZ-03	3				1	True	击败最终boss	1	12	140101	140101	[3020103, 3020203, 3020303]	[3021103]	['支援：', '第一波：', '第二波：', '第三波：']	['每击破一波敌人即可掉落一种增益，拾取后即可生效', '治疗装置：范围内的队友持续恢复生命值', '辐射装置：范围内的敌人持续损失生命值', '增幅装置：个人获得攻击力增幅']	[760253, 760262, 760243, 760343, 760133, 760283, 760293, 760373]
20010008	TSZ-01	1				1	True	击败最终boss	1	12	140101	140101	[1020104, 1020204, 1020304]	[1021104]	['首领：']	['修女']	[760291, 760251]
20010018	TSZ-02	2				1	True	击败所有敌人	1	12	140101	140101	[2020104, 2020204, 2020304]	[2021104]	['出现敌人：']	['信使、园丁、浪人肆型、仿生蝾螈']	[760243, 760251, 760133, 760343, 760353, 760303, 760293]
20010108	TSZ-03	3				1	True	击败最终boss	1	12	140101	140101	[3020104, 3020204, 3020304]	[3021104]	['支援：', '第一波：', '第二波：', '第三波：']	['每击破一波敌人即可掉落一种增益，拾取后即可生效', '治疗装置：范围内的队友持续恢复生命值', '辐射装置：范围内的敌人持续损失生命值', '增幅装置：个人获得攻击力增幅']	[760253, 760262, 760243, 760343, 760133, 760283, 760293, 760373]
31001	TFZ-01	1				1		击败最终boss	1	12	140100	140100	[1010105, 1010205, 1010305]		['首领：']	['华胥']	[760343, 760303]
31002	TFZ-02	2				1		击败所有敌人	1	12	140100	140100	[2010105, 2010205, 2010305]		['炙热：', '流转：', '可能出现敌人：']	['场景中会间歇性出现火焰对玩家造成伤害', '每次进入关卡都有可能出现不同的敌人', '喷涂机械 武藏玖型 禁卫 遗迹勘探者']	[760303, 760343, 760453, 760283, 760221, 760353, 760253]
31003	TFZ-03	3				1		击败最终boss	1	12	140100	140100	[3010105, 3010205, 3010305]		['障碍：']	['跟随指示突破敌人设下的障碍击败最终首领']	[760253, 760133, 760343, 760351, 760201, 760303, 760453, 760293]
32001	TSZ-01	1				1		击败最终boss	1	12	140100	140100	[1010106, 1010206, 1010306]		['首领：']	['加百列']	[760281]
