Id	Desc	ProgressDesc	Type	Params
1011	抵达无人机回收台	抵达无人机回收台	7	[1020034]
1012	回收太空资源达到280	回收资源 [1]	8	[280]
1013	回收太空资源达到500	回收资源 [1]	8	[500]
1021	抵达无人机回收台	抵达无人机回收台	7	[1010032]
1022	回收太空资源达到440	回收资源 [1]	8	[440]
1023	回收太空资源达到900	回收资源 [1]	8	[900]
1031	抵达无人机回收台	抵达无人机回收台	7	[1030072]
1032	回收太空资源达到680	回收资源 [1]	8	[680]
1033	回收太空资源达到1200	回收资源 [1]	8	[1200]
1041	抵达无人机回收台	抵达无人机回收台	7	[1040047]
1042	回收太空资源达到940	回收资源 [1]	8	[940]
1043	回收太空资源达到1600	回收资源 [1]	8	[1600]
2011	抵达无人机回收台	抵达无人机回收台	7	[2010002]
2012	回收太空资源达到720	回收资源 [1]	8	[720]
2013	回收太空资源达到1200	回收资源 [1]	8	[1200]
2021	抵达无人机回收台	抵达无人机回收台	7	[2020020]
2022	回收太空资源达到820	回收资源 [1]	8	[820]
2023	回收太空资源达到1400	回收资源 [1]	8	[1400]
2031	抵达无人机回收台	抵达无人机回收台	7	[2030002]
2032	回收太空资源达到1200	回收资源 [1]	8	[1200]
2033	回收太空资源达到2300	回收资源 [1]	8	[2300]
2041	抵达无人机回收台	抵达无人机回收台	7	[2040002]
2042	回收太空资源达到1400	回收资源 [1]	8	[1400]
2043	回收太空资源达到2600	回收资源 [1]	8	[2600]
3011	抵达无人机回收台	抵达无人机回收台	7	[6010013]
3012	回收太空资源达到1200	回收资源 [1]	8	[1200]
3013	无人机受损次数不超过15次	受损次数 [0]/[1]	9	[15]
3021	抵达无人机回收台	抵达无人机回收台	7	[6020006]
3022	回收太空资源达到1200	回收资源 [1]	8	[1200]
3023	无人机受损次数不超过15次	受损次数 [0]/[1]	9	[15]
3031	抵达无人机回收台	抵达无人机回收台	7	[6020006]
3032	回收太空资源达到1200	回收资源 [1]	8	[1200]
3033	无人机受损次数不超过15次	受损次数 [0]/[1]	9	[15]
4011	抵达无人机回收台	抵达无人机回收台	7	[5010006]
4012	回收太空资源达到1200	回收资源 [1]	8	[1200]
4013	无人机受损次数不超过15次	受损次数 [0]/[1]	9	[15]
4021	抵达无人机回收台	抵达无人机回收台	7	[5020004]
4022	回收太空资源达到1200	回收资源 [1]	8	[1200]
4023	无人机受损次数不超过15次	受损次数 [0]/[1]	9	[15]
4031	抵达无人机回收台	抵达无人机回收台	7	[5020004]
4032	回收太空资源达到2400	回收资源 [1]	8	[2400]
4033	无人机受损次数不超过20次	受损次数 [0]/[1]	9	[20]
