Id	Text	IncreaseScore	Type	Params
10	回收资源 ×1		1	[99999]
11	回收资源 ×2		1	[99999]
12	回收资源 ×3		1	[99999]
13	回收资源 ×4		1	[99999]
14	回收资源 ×5		1	[99999]
15	回收资源 ×6		1	[99999]
16	回收资源 ×7		1	[99999]
17	回收资源 ×8		1	[99999]
18	回收资源 ×9		1	[99999]
19	回收资源 ×10		1	[99999]
20	回收资源 ×11		1	[99999]
21	回收资源 ×12		1	[99999]
22	回收资源 ×13		1	[99999]
23	回收资源 ×14		1	[99999]
24	回收资源 ×15		1	[99999]
25	回收资源 ×16		1	[99999]
26	回收资源 ×17		1	[99999]
27	回收资源 ×18		1	[99999]
28	回收资源 ×19		1	[99999]
29	回收资源 ×20		1	[99999]
30	回收资源 ×21		1	[99999]
31	回收资源 ×22		1	[99999]
32	回收资源 ×23		1	[99999]
33	回收资源 ×24		1	[99999]
34	回收资源 ×25		1	[99999]
35	回收资源 ×26		1	[99999]
36	回收资源 ×27		1	[99999]
37	回收资源 ×28		1	[99999]
38	回收资源 ×29		1	[99999]
39	回收资源 ×30		1	[99999]
40	回收资源 ×31		1	[99999]
41	回收资源 ×32		1	[99999]
42	回收资源 ×33		1	[99999]
43	回收资源 ×34		1	[99999]
44	回收资源 ×35		1	[99999]
45	回收资源 ×36		1	[99999]
46	回收资源 ×37		1	[99999]
47	回收资源 ×38		1	[99999]
48	回收资源 ×39		1	[99999]
49	回收资源 ×40		1	[99999]
50	回收资源 ×41		1	[99999]
51	回收资源 ×42		1	[99999]
52	回收资源 ×43		1	[99999]
53	回收资源 ×44		1	[99999]
54	回收资源 ×45		1	[99999]
55	回收资源 ×46		1	[99999]
56	回收资源 ×47		1	[99999]
57	回收资源 ×48		1	[99999]
58	回收资源 ×49		1	[99999]
59	回收资源 ×50		1	[99999]
60	回收资源 ×51		1	[99999]
61	回收资源 ×52		1	[99999]
62	回收资源 ×53		1	[99999]
63	回收资源 ×54		1	[99999]
64	回收资源 ×55		1	[99999]
65	回收资源 ×56		1	[99999]
66	回收资源 ×57		1	[99999]
67	回收资源 ×58		1	[99999]
68	回收资源 ×59		1	[99999]
69	回收资源 ×60		1	[99999]
70	回收资源 ×61		1	[99999]
71	回收资源 ×62		1	[99999]
72	回收资源 ×63		1	[99999]
73	回收资源 ×64		1	[99999]
74	回收资源 ×65		1	[99999]
75	回收资源 ×66		1	[99999]
76	回收资源 ×67		1	[99999]
77	回收资源 ×68		1	[99999]
78	回收资源 ×69		1	[99999]
79	回收资源 ×70		1	[99999]
80	回收资源 ×71		1	[99999]
81	回收资源 ×72		1	[99999]
82	回收资源 ×73		1	[99999]
83	回收资源 ×74		1	[99999]
84	回收资源 ×75		1	[99999]
85	回收资源 ×76		1	[99999]
86	回收资源 ×77		1	[99999]
87	回收资源 ×78		1	[99999]
88	回收资源 ×79		1	[99999]
89	回收资源 ×80		1	[99999]
90	回收资源 ×81		1	[99999]
91	回收资源 ×82		1	[99999]
92	回收资源 ×83		1	[99999]
93	回收资源 ×84		1	[99999]
94	回收资源 ×85		1	[99999]
95	回收资源 ×86		1	[99999]
96	回收资源 ×87		1	[99999]
97	回收资源 ×88		1	[99999]
98	回收资源 ×89		1	[99999]
99	回收资源 ×90		1	[99999]
100	回收资源 ×91		1	[99999]
101	回收资源 ×92		1	[99999]
102	回收资源 ×93		1	[99999]
103	回收资源 ×94		1	[99999]
104	回收资源 ×95		1	[99999]
105	回收资源 ×96		1	[99999]
106	回收资源 ×97		1	[99999]
107	回收资源 ×98		1	[99999]
108	回收资源 ×99		1	[99999]
109	回收资源 ×100		1	[99999]
110	回收资源 ×101		1	[99999]
111	回收资源 ×102		1	[99999]
112	回收资源 ×103		1	[99999]
113	回收资源 ×104		1	[99999]
114	回收资源 ×105		1	[99999]
115	回收资源 ×106		1	[99999]
116	回收资源 ×107		1	[99999]
117	回收资源 ×108		1	[99999]
118	回收资源 ×109		1	[99999]
119	回收资源 ×110		1	[99999]
120	回收资源 ×111		1	[99999]
121	回收资源 ×112		1	[99999]
122	回收资源 ×113		1	[99999]
123	回收资源 ×114		1	[99999]
124	回收资源 ×115		1	[99999]
125	回收资源 ×116		1	[99999]
126	回收资源 ×117		1	[99999]
127	回收资源 ×118		1	[99999]
128	回收资源 ×119		1	[99999]
129	回收资源 ×120		1	[99999]
