Id	GroupID	Name	RecommendLevel	Order	Type	ConditionId	ShowPass	Ico	TrialID	TrialStatus	SingStageId	MultStageId	SingleDescription	MultDescription	DetailBackGroundIco	TimeId	HeadIcon	ChapterIcon	HelpCourseId	SkillExplainId	StarDesc	StarReward	SpinePath	FashionId
1	1	木桩训练	1	100	3			Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenmuzhaung1.png	1	2	30030301	30030401	不消耗体力\n怪物死亡后无限复活\n推荐上阵泛用机体	不消耗体力\n怪物不会进行攻击\n怪物死亡后无限复活\n仅可上阵泛用机体	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenmuzhuang001.png									
2	1	对战训练	1	101	3			Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenduizhan1.png	2	2	30030302	30030402	不消耗体力\n怪物死亡后无限复活\n推荐上阵泛用机体	不消耗体力\n怪物不会进行攻击\n怪物死亡后无限复活\n仅可上阵泛用机体	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenduizhan001.png									
3	1	木桩·独域	52	102	3	[84700201]		Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenmuzhaung2.png	1	2	30030304	30030404	不消耗体力\n怪物不会进行攻击\n怪物死亡后无限复活\n推荐上阵独域机体	不消耗体力\n怪物不会进行攻击\n怪物死亡后无限复活\n仅可上阵独域机体\n联机下无法触发闪袭、终结技	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenmuzhuang002.png									
4	1	对战·独域	52	103	3	[84700201]		Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenduizhan2.png	2	2	30030305	30030405	不消耗体力\n怪物死亡后无限复活\n推荐上阵独域机体	不消耗体力\n怪物死亡后无限复活\n仅可上阵独域机体\n联机下无法触发闪袭、终结技	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenduizhan002.png									
34	12	修女	70	1028	2	[30499]	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenxiunv1.png				30030201		不消耗体力\n难度值：5000	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenxiunv001.png	-1								
35	13	欧西里斯	70	1029	2	[30499]	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubengoutou1.png				30030202		不消耗体力\n难度值：5000	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubengoutou001.png	-1								
36	12	噩梦修女	80	1030	2	[30499]	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenxiunv2.png				30030203		不消耗体力\n难度值：6500	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenxiunv002.png	-1								
37	13	噩梦欧西里斯	80	1031	2	[30499]	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubengoutou2.png				30030204		不消耗体力\n难度值：6500	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubengoutou002.png	-1								
38	12	梦魇修女	80	1032	2	[30499]	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubenxiunv3.png				30030205		不消耗体力\n难度值：8000	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenxiunv003.png	-1								
39	13	梦魇欧西里斯	80	1033	2	[30499]	1	Assets/Product/Texture/Image/UiFubenTrialBanner/UiFubengoutou3.png				30030206		不消耗体力\n难度值：8000	Assets/Product/Texture/Image/UiFubenTrialBg/UiFubengoutou003.png	-1								
