Id	Type	Params	Formula	Desc
50000201	10202001	[2, 1, 30]		商店街-客流大于等于30
50000202	10202001	[3, 1, 29]		商店街-客流小于3等于29
50000203			50000204&50000205	商店街-已建造食品店且食品店配料正确的小于等于2
50000204	10202003	[1, 111]		商店街-已建造食品店
50000205	10202015	[3, 2]		商店街-食品店配料正确的小于等于2
50000206			50000207&50000208	商店街-已建造商品店且商品店类型正确的商品小于等于1
50000207	10202003	[1, 112]		商店街-已建造商品店
50000208	10202017	[3, 1]		商店街-商品店类型正确的商品小于等于1
50000209			50000210&50000211	商店街-已建造甜品店且甜品店逆序数大于等于3
50000210	10202003	[1, 113]		商店街-已建造甜品店
50000211	10202020	[2, 3]		商店街-甜品店逆序数大于等于3
50000212	10202001	[2, 1, 30]		商店街-客流大于等于30
50000213	10202001	[3, 1, 20]		商店街-客流小于等于20
50000214	10202012	[3, 5]		商店街-回合小于等于5
50000215	10202003	[1, 111, 112]		商店街-已经建造食品店、商品店-用于甜品任务
50000216	10202003	[1, 111, 113]		商店街-已经建造食品店、甜品店-用于商品任务
50000217	10202003	[1, 112, 113]		商店街-已经建造商品店、甜品店-用于食品任务
50000218	10202012	[3, 10]		商店街-回合小于等于10
50000219	10101003	[20010112]		商店街-任务完成第一段，解锁玩法以及玩法关卡1
50000220	10101003	[20010135]		商店街-任务完成第二段，解锁玩法关卡3
50000221	10101003	[20010158]		商店街-任务完成第三段，解锁玩法关卡5
50000222	10202003	[0, 111]		商店街-还没建造食品店
50000223	10202003	[0, 112]		商店街-还没建造商品店
50000224	10202003	[0, 113]		商店街-还没建造甜品店
50000225	10202003	[0, 211, 221, 231, 241]		商店街-还没建造任何外圈店铺
50000001	10202028	[1]		QUEST用-空花商店街通关第1关
50000002	10202028	[2]		QUEST用-空花商店街通关第2关
50000003	10202028	[3]		QUEST用-空花商店街通关第3关
50000004	10202028	[4]		QUEST用-空花商店街通关第4关
50000005	10202028	[5]		QUEST用-空花商店街通关第5关
50000006	10202028	[6]		QUEST用-空花商店街通关第6关
50000101	10203001	[1001, 1]		咖啡厅-完成第1关
50000102	10203001	[1002, 1]		咖啡厅-完成第2关
50000103	10203001	[1003, 1]		咖啡厅-完成第3关
50000104	10203001	[1004, 1]		咖啡厅-完成第4关
50000105	10203001	[1005, 1]		咖啡厅-完成第5关
50000106	10203001	[1006, 1]		咖啡厅-完成第6关
50000107	10101003	[20030112]		推进咖啡因难题任务以解锁
50000108	10101003	[200301302]		推进咖啡因难题任务以解锁
50000109	10101003	[200301381]		推进咖啡因难题任务以解锁
50001001	10101003	[20030112]		推进漫纪任务以解锁
50001002	10101003	[20010112]		推进漫纪任务以解锁
50001003	10101003	[2002045]		推进引航任务以解锁
50001004	10101003	[2002040]		推进引航任务以解锁
50001005	10101003	[2002015]		推进引航任务以解锁
50001006	10101003	[2002044]		推进引航任务以解锁
50001007	10101003	[2002017]		历程强引导-地图
50001011	10101003	[2002042]		推进引航任务「逸时邀约」可解锁前置任务
50001012	10101003	[20030143]		完成漫纪任务「咖啡因难题」可解锁前置任务「商业露天广场开发计划」
50001013	10101001	[2001]		推进漫纪任务「商业露天广场开发计划」可解锁玩法
50001014	10101001	[2001]		推进漫纪任务「商业露天广场开发计划」可解锁玩法
50001015	10101001	[2004]		推进漫纪任务「庆典邀约·露西亚」可解锁
50001016	10101001	[2005]		推进漫纪任务「庆典邀约·薇拉」可解锁
50001017			50001018&50001019	推进漫纪任务「庆典邀约·薇拉」可解锁
50001018	10101005	[3004]		推进漫纪任务「庆典邀约·薇拉」可解锁
50001019	10101006	[3004]		推进漫纪任务「庆典邀约·薇拉」可解锁
50001020			50001021&50001022	推进漫纪任务「庆典邀约·露西亚」可解锁
50001021	10101005	[3005]		推进漫纪任务「庆典邀约·露西亚」可解锁
50001022	10101006	[3005]		推进漫纪任务「庆典邀约·露西亚」可解锁
50001023	10101001	[2002]		完成引航任务「逸时邀约」可解锁
50001024	10101001	[2003]		完成漫纪任务「咖啡因难题」可解锁
50001025	10101003	[2002044]		推进引航任务「逸时邀约」可解锁前置任务
50001026	10101001	[2005]		推进漫纪任务「庆典邀约·薇拉」可解锁
50001027	10101003	[30040101]		完成漫纪任务「庆典邀约·薇拉」后可接取任务
