Id	Level	LevelGroup	Name	BriefDesc	Desc	LandformId	TipId	Icon	SmallIcon	LevelUpResourceIds	LevelUpResourceCounts	UnlockAreaIdxs	UnlockTechLevel	RewardResourceIds	RewardResourceCounts	UnlockBuildCount	RewardBluePrintIds	RewardBluePrintCounts
1		1	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3001		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[0]	[1]						
2	1	1	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3001		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[150]	[2]		[3]	[1]			
3	2	1	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3004		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[550]	[3]		[3]	[1]			
4	3	1	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3004		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[600]	[4]		[3]	[1]			
5		2	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3001		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[0]	[1]						
6	1	2	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3001		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[150]	[2]		[3]	[1]	1	[9001]	[1]
7	2	2	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3002		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[150]	[4]		[3]	[1]	3	[1001, 1002, 1003]	[1, 1, 1]
8	3	2	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3003		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[450]	[3, 5]		[3]	[1]	3	[1004, 1006]	[1, 1]
9	4	2	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3004		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[500]			[3]	[2]	4	[2001, 2002, 2003]	[1, 1, 1]
10	5	2	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3005		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[600]	[6, 7]		[3]	[2]	4	[2004, 2006]	[1, 1]
11	6	2	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3006		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[750]	[8, 9]		[3]	[2]	8	[2001, 2002, 2003]	[2, 2, 2]
12	7	2	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3007		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg01.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab01.png	[1]	[900]			[3]	[3]		[3004]	[1]
13		3	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3001		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[0]	[1]						
14	1	3	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3001		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[150]	[2]		[3]	[1]		[1001, 1002, 1003]	[2, 2, 2]
15	2	3	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3002		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[150]	[3, 4]		[3]	[1]	1	[1004, 1006]	[1, 1]
16	3	3	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3003		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[450]	[5]		[3]	[1]	3	[2001, 2002, 2003]	[2, 2, 2]
17	4	3	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3004		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[500]	[6]		[3]	[2]	5	[2005, 2006]	[1, 1]
18	5	3	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3005		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[600]	[7]		[3]	[2]	7	[3001, 3002, 3003]	[1, 1, 1]
19	6	3	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3006		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[750]			[3]	[2]	9	[3006, 3004]	[1, 1]
20		4	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3001		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[0]	[1]						
21	1	4	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3001		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[150]	[2, 3]		[3]	[1]			
22	2	4	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3002		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[150]			[3]	[1]	2	[1001, 1002, 1003]	[1, 1, 1]
