Id	Content	Icon
101	椰椰岛即将举行第114届年度庆典，“红黄蓝白黑”牌<color=#B58019>椰子汁</color>供不应求，预计<color=#B58019>椰子</color>的价格即将迎来大幅上涨！	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png
201	大副21号来到了我们的岛屿，她需要大量<color=#B58019>椰子</color>作为旅途补给。近期生产<color=#B58019>椰子</color>可能是个不错的主意。	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png
202	水手诺克提来到我们的岛屿，他需要大量<color=#B58019>木材</color>修缮船只。<color=#B58019>木材</color>或许能卖出高价。	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png
203	薇拉船长需要<color=#B58019>石油</color>犒劳她的两名下属，正在打听货源。<color=#B58019>石油</color>预计将供不应求。	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png
204	知名操盘手，阿迪莱贸易行家——苏菲亚，预测未来数个季度<color=#B58019>椰子</color>与<color=#B58019>木材</color>将有不同程度的价格增长。	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png
205	来自九龙的行商，妙手神算——常羽，预测未来数个季度<color=#B58019>椰子</color>与<color=#B58019>石油</color>将有不同程度的价格增长。	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png
206	一位不愿透露名字的经商奇才——蒲牢，预测未来数个季度<color=#B58019>木材</color>与<color=#B58019>石油</color>将有不同程度的价格增长。	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png
207	据突击隼报社的库洛姆报道，经济复苏势头强劲，预期下个季度<color=#B58019>所有商品</color>的价格都将大幅增长！	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png
208	据突击隼报社的万事报道，经济复苏势头强劲，预期下个季度<color=#B58019>所有商品</color>的价格都将大幅增长！	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png
209	据突击隼报社的神威报道，经济复苏势头强劲，预期下个季度<color=#B58019>所有商品</color>的价格都将大幅增长！	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png
301	大副21号来到了我们的岛屿，她需要大量<color=#B58019>椰子</color>作为旅途补给。近期生产<color=#B58019>椰子</color>可能是个不错的主意。	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png
302	水手诺克提来到我们的岛屿，他需要大量<color=#B58019>木材</color>修缮船只。<color=#B58019>木材</color>或许能卖出高价。	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png
303	薇拉船长需要<color=#B58019>石油</color>犒劳她的两名下属，正在打听货源。<color=#B58019>石油</color>预计将供不应求。	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png
304	知名操盘手，阿迪莱贸易行家——苏菲亚，预测未来数个季度<color=#B58019>椰子</color>与<color=#B58019>木材</color>将有不同程度的价格增长。	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png
305	来自九龙的行商，妙手神算——常羽，预测未来数个季度<color=#B58019>椰子</color>与<color=#B58019>石油</color>将有不同程度的价格增长。	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png
306	一位不愿透露名字的经商奇才——蒲牢，预测未来数个季度<color=#B58019>木材</color>与<color=#B58019>石油</color>将有不同程度的价格增长。	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png
307	据突击隼报社的库洛姆报道，经济复苏势头强劲，预期下个季度<color=#B58019>所有商品</color>的价格都将大幅增长！	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png
