Id	Stacked	Tag	Duration	Rare	BuffIds	EffectIds	Icon	Name	Desc	EffectDesc	ShowLabels	ShowScores	ActualScores
4000				1	[53001, 53002, 53003]		Assets/Product/Texture/Image/IconTools/IconActivityConsume2018001.png	奇妙的木板	不知道有何作用的奇妙木板，只是带着就会让人感觉充满力量。	<b>所有商品</b>的生产效率<color=#FF0000>+10%</color>	[4]	{1: 100, 2: 100, 3: 100}	{1: 0, 2: 0, 3: 0}
4001				1	[53004, 53005, 53006]		Assets/Product/Texture/Image/IconTools/IconActivityConsume2019001.png	精选赠品竹笋	味道鲜美的竹笋，据说不少人会为了买竹笋而愿意高价购买捆绑的商品。	<b>所有商品</b>的售价<color=#FF0000>+10%</color>	[4]	{1: 100, 2: 100, 3: 100}	{1: 0, 2: 0, 3: 0}
4002				1	[58001]		Assets/Product/Texture/Image/IconTools/IconDormTeahouseflagon001.png	无酒精饮品	喝完才好谈生意。（提示：本品的内容物不含酒精，不提倡饮酒）。	所有建筑的建造价格<color=#FF0000>-15%</color>	[5]		
4003				1	[58004]		Assets/Product/Texture/Image/IconTools/IconRougeItem030.png	古老的羊皮纸	虽然看起来很有历史的沧桑感，但它其实是一周前才埋到地里去的。	免费建造次数<color=#FF0000>+1</color>	[5]		
4004				1	[58002]		Assets/Product/Texture/Image/IconTools/IconTheatre15.png	手有玫瑰	秉承“赠人玫瑰，手有余香”的理念开发出的工艺品，但制作者可能只提取了关键字。	每过一个季度，所有建筑的建造价格<color=#FF0000>-5%</color>	[5]		
4005				1	[53010]		Assets/Product/Texture/Image/IconTools/IconDormNuoanTable001.png	礼盒制作台	能供人打包粽子制作节日礼盒的工作台，在此努力工作的话能拿到不错的薪水。	<color=#a46800>椰子</color>的生产效率<color=#FF0000>+15%</color>，但售价<color=#16D100>-5%</color>	[1]	{1: 50}	{1: 0}
4006				1	[53011]		Assets/Product/Texture/Image/IconTools/IconCaidan012002.png	招聘宣传资料	一张用于招聘的宣传图，为了凸显招聘门槛低，选择了最大众的形象。	<color=#a46800>木材</color>的生产效率<color=#FF0000>+15%</color>，但售价<color=#16D100>-5%</color>	[2]	{2: 50}	{2: 0}
4007				1	[53012]		Assets/Product/Texture/Image/IconTools/IconRougeItem022.png	工作笔记本	某个商会的商品售后服务人员的笔记本，里面还记载着一些自创的曲谱。	<color=#a46800>石油</color>的生产效率<color=#FF0000>+15%</color>，但售价<color=#16D100>-5%</color>	[3]	{3: 50}	{3: 0}
4008				1	[53013]		Assets/Product/Texture/Image/IconTools/IconDuanwujie001.png	美味粽子	常见的一种食物，在非节日的时候会单独销售清理库存，价格非常便宜。	<color=#a46800>椰子</color>的生产效率<color=#FF0000>+15%</color>，但库存上限<color=#16D100>-10%</color>	[1]	{1: 50}	{1: 0}
4009				1	[53014]		Assets/Product/Texture/Image/IconTools/ItFool05.png	营养药丸	最新的营养代餐药丸，一颗就能顶饱，是工厂最想提供给员工的午餐。	<color=#a46800>木材</color>的生产效率<color=#FF0000>+15%</color>，但库存上限<color=#16D100>-10%</color>	[2]	{2: 50}	{2: 0}
4010				1	[53015]		Assets/Product/Texture/Image/IconTools/IconActivityConsumeTicEv24.png	永恒之恋	被冻结住的花，据说可以让恋人间的爱情永远不变，前提是少发火。	<color=#a46800>石油</color>的生产效率<color=#FF0000>+15%</color>，但库存上限<color=#16D100>-10%</color>	[3]	{3: 50}	{3: 0}
4013	1			1	[53025]		Assets/Product/Texture/Image/IconTools/IconActivityConsume2025001.png	好看的蝴蝶结	某个商会的标准装饰之一，据说真的能帮助商贩们卖出更多商品。	<b>所有商品</b>的最终售价额外<color=#FF0000>+2</color>，此售价加成可以暴击	[4]	{1: 200, 2: 200, 3: 200}	{1: 0, 2: 0, 3: 0}
4100	1			1	[52101]		Assets/Product/Texture/Image/IconTools/IconRougeItem09.png	新人手册	某个商会的新人入门手册，第一页煞有介事地写着书名《商人的自我修养》。	通过【探索】获得的金贝<color=#FF0000>+30%</color>	[5]		
4101	1			1	[52115, 52116]		Assets/Product/Texture/Image/IconTools/IconMoeWarSupport.png	应援棒	从一对婴儿双胞胎手里拿走的应援棒，虽然无害，但仍担心婴儿误食。	<color=#a46800>椰子</color>的售价<color=#FF0000>+5%</color>；完成城邦任务≥3个时，额外<color=#FF0000>+8%</color>	[1]	{1: 130}	{1: 0}
4102	1			1	[52117, 52118]		Assets/Product/Texture/Image/IconTools/IconConsumeShop001.png	永久陀螺	当你没有手牌时，抽一张牌。	<color=#a46800>木材</color>的售价<color=#FF0000>+5%</color>；完成城邦任务≥3个时，额外<color=#FF0000>+8%</color>	[2]	{2: 130}	{2: 0}
4103	1			1	[52119, 52120]		Assets/Product/Texture/Image/IconTools/IconRougeItem01.png	雪人饼干	雪人形状的饼干，背后印着“斯特拉斯”四个字，或许做成雪花形状会更好卖。	<color=#a46800>石油</color>的售价<color=#FF0000>+5%</color>；完成城邦任务≥3个时，额外<color=#FF0000>+5%</color>	[3]	{3: 130}	{3: 0}
4104	1			1	[52121, 52122]		Assets/Product/Texture/Image/IconTools/IconTheatre06.png	闲置的提琴	被闲置的提琴，原本的演奏者转去了某个少女乐队担任贝斯手。	<color=#a46800>椰子</color>的生产效率<color=#FF0000>+5%</color>；主城≥5级时，额外<color=#FF0000>+10%</color>	[1]	{1: 150}	{1: 0}
4105	1			1	[52123, 52124]		Assets/Product/Texture/Image/IconTools/IconPuzzleFragment001.png	问号拼图	不知道需要放在哪里的拼图碎片，但找到放置地点本就是拼图游戏的目标之一。	<color=#a46800>木材</color>的生产效率<color=#FF0000>+5%</color>；主城≥5级时，额外<color=#FF0000>+10%</color>	[2]	{2: 150}	{2: 0}
