Id	Name	Desc	DescParam	LandformId	Icon	Type	Quality	RefreshTurnCount	RefreshType	RefreshRewardGroupId	RefreshRewardDropId	BuffIds	EffectIds	TipId	DescIcon	ShowScores	ActualScores
101	海岛拍卖行	什么都卖，有钱你就来买		1301	Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon05.png	2	3	5	2	400000				1101			
102	顺顺许愿池	童叟无欺，百试百灵啊。\n<i>激活后，每隔4个季度可花费铜钱进行一次许愿</i>		1302	Assets/Product/Texture/Image/UiRogueSim/UiRogueSimChooseCity02.png	2	3	4	2	400000							
103	赢赢银行	一飞冲天啊，我的投资（或者是我）！		1303	Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon01.png	2	3	3	2	410000				1103			
111	海岛拍卖行	什么都卖，有钱你就来买		1301	Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon05.png	2	3	3	2	400001				1101			
113	赢赢银行	一飞冲天啊，我的投资（或者是我）！		1303	Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon01.png	2	3	2	2	410001				1103			
1001	椰椰坊Lv.1	每个季度产出{0}个<color=#a46800>椰子</color>	60	101	Assets/Product/Texture/Image/IconTools/IconDormIslandJiagong001.png	3	1	1	2	2001							
1002	兔木厂Lv.1	每个季度产出{0}个<color=#a46800>木材</color>	100	102	Assets/Product/Texture/Image/IconTools/IconDormCarrotWindmill001.png	3	1	1	2	2002							
1003	炼油厂Lv.1	每个季度产出{0}个<color=#a46800>石油</color>	25	103	Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon06.png	3	1	1	2	2003							
1004	猫仓Lv.1	商品库存上限+20%		104	Assets/Product/Texture/Image/IconTools/IconDormIslandMaowu001.png	1	1					[101, 111]					
1005	区域打折(小)	岛屿购入价格-10%		105	Assets/Product/Texture/Image/IconTools/IconDormSuperLivChandeliers001.png	1	1					[102, 112]					
1006	监察塔Lv.1	商品生产暴击率+5%，生产暴击效果+10%		106	Assets/Product/Texture/Image/IconTools/IconDormIslandTower001.png	1	1					[103, 104, 113, 114]				{1: 100, 2: 100, 3: 100}	{1: 0, 2: 0, 3: 0}
1008	铸宝工坊	每2个季度产出1个藏品箱		108	Assets/Product/Texture/Image/IconTools/IconDormLuosaitaSushe001.png	3	3	2	2		110						
1009	幸运屋	商品生产暴击率+20%，藏品箱获得高级藏品的概率略微提升		109	Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon03.png	1	3					[105, 106, 115, 116]				{1: 100, 2: 100, 3: 100}	{1: 0, 2: 0, 3: 0}
2001	椰坊Lv.2	每个季度产出{0}个<color=#a46800>椰子</color>	90	112	Assets/Product/Texture/Image/IconTools/IconDormIslandJiagong001.png	3	2	1	2	2011							
2002	兔木厂Lv.2	每个季度产出{0}个<color=#a46800>木材</color>	150	113	Assets/Product/Texture/Image/IconTools/IconDormCarrotWindmill001.png	3	2	1	2	2012							
2003	炼油厂Lv.2	每个季度产出{0}个<color=#a46800>石油</color>	40	114	Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon06.png	3	2	1	2	2013							
2004	监察塔Lv.2	商品生产暴击率+10%，生产暴击效果+20%		117	Assets/Product/Texture/Image/IconTools/IconDormIslandTower001.png	1	2					[202, 203, 212, 213]				{1: 200, 2: 200, 3: 200}	{1: 0, 2: 0, 3: 0}
2005	月亮池Lv.2	收菜建筑的收益+30%		110	Assets/Product/Texture/Image/IconTools/IconDormIslandShuichi001.png	1	2					[204, 214]				{1: 150, 2: 150, 3: 150}	{1: 0, 2: 0, 3: 0}
2006	猫仓Lv.2	商品库存上限+50%		115	Assets/Product/Texture/Image/IconTools/IconDormIslandMaowu001.png	1	2					[201, 211]					
2007	区域打折(中)	岛屿购入价格-30%		116	Assets/Product/Texture/Image/IconTools/IconDormSuperLivChandeliers001.png	1	2					[205, 215]					
3001	椰坊Lv.3	每个季度产出{0}个<color=#a46800>椰子</color>	120	118	Assets/Product/Texture/Image/IconTools/IconDormIslandJiagong001.png	3	3	1	2	2021							
3002	兔木厂Lv.3	每个季度产出{0}个<color=#a46800>木材</color>	200	119	Assets/Product/Texture/Image/IconTools/IconDormCarrotWindmill001.png	3	3	1	2	2022							
3003	炼油厂Lv.3	每个季度产出{0}个<color=#a46800>石油</color>	55	120	Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon06.png	3	3	1	2	2023							
3004	猫仓Lv.3	商品库存上限+100%		121	Assets/Product/Texture/Image/IconTools/IconDormIslandMaowu001.png	1	3					[301, 311]					
3005	监察塔Lv.3	商品生产暴击率+15%，生产暴击效果+30%		122	Assets/Product/Texture/Image/IconTools/IconDormIslandTower001.png	1	3					[302, 303, 312, 313]				{1: 300, 2: 300, 3: 300}	{1: 0, 2: 0, 3: 0}
3006	月亮池Lv.3	收菜建筑的收益+60%		111	Assets/Product/Texture/Image/IconTools/IconDormIslandShuichi001.png	1	3					[304, 314]				{1: 300, 2: 300, 3: 300}	{1: 0, 2: 0, 3: 0}
