Id	ConditionId	Name	Desc	Icon	Priority	Trigger	Duration	Overlay	Type	Params
10001		信物1		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					20	[1, 1000]
10002		信物1		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					20	[2, 1000]
10003		信物1		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					20	[3, 1000]
10004		信物2的<color=#969190>零件</color>固定售价		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					7	[2, 1002, 1]
10005		信物2		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					9	[2, 2, 2003, 2, 1000]
10009		信物2		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					9	[3, 2, 2003, 2, 1000]
10010		信物2		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					9	[4, 2, 2003, 2, 1000]
10011		信物2		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					9	[6, 2, 2003, 2, 1000]
10006		信物2的<color=#cd934a>工艺品</color>波动下限		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					7	[3, 1008, 1000]
10007		信物2		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					9	[2, 3, 2003, 2, 1000]
10012		信物2		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					9	[3, 3, 2003, 2, 1000]
10013		信物2		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					9	[4, 3, 2003, 2, 1000]
10014		信物2		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					9	[6, 3, 2003, 2, 1000]
10008		信物4		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					20	[6, 1]
10015		信物5		Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0211.png					3	[200000]
10021		测试buff	所有区域购买价格-50%						22	[0, 5000]
10022		测试buff	1号区域购买价格-50%						22	[1412, 10000]
10023		测试buff	所有建筑建造价格-90%						23	[0, 9000]
10024		测试buff	临时10点生产力（1回合）				1		24	[10]
10025		测试buff	同时生产3种商品，所有商品生产效率+1000%						25	[3, 2003, 100000]
10026		测试buff	城邦每星，所有商品生产效率+10%						26	[0, 1000, 2003]
10027		测试buff	波动放大1000%						27	[1, 100000]
10028		测试buff	地图上所有建造的建筑，每个为所有商品提供+10%生产效率						28	[1, 0, 1000, 2003, 0]
10029		测试buff	同时销售3种商品，所有商品销售暴击+100%						31	[3, -1, 1005, 10000]
10030		测试buff	生产上回合没有生产的商品时，生产效率+100%						32	[1, 2003, 10000]
10031		测试buff	销售上回合没有销售的商品时，售价+100%						32	[2, 1003, 10000]
10032		测试buff	<color=#a46800>椰子</color>的波动下限锁死为100%						33	[2, 10000, 1]
10033		测试buff	增加两次免费建造建筑次数						34	[2]
60001		负面事件3	2季度内，<b>所有商品</b>售价<color=#16D100>-20%</color>	Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0212.png			2		7	[1, 1003, -2000, 2, 1003, -2000, 3, 1003, -2000]
60004		负面事件3	2季度内，<b>所有商品</b>售价<color=#16D100>-30%</color>	Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0212.png			2		7	[2, 1003, -3000]
60005		负面事件3	2季度内，<b>所有商品</b>售价<color=#16D100>-30%</color>	Assets/Product/Texture/Image/UiRogueSim/IconRogueSimBuff0212.png			2		7	[3, 1003, -3000]
