Id	EventType	RewardShow	RewardGroupId	Repeatable	Duration	Condition	SuspendDesc	Name	Text	OptionIds	ExpireEffectIds
120101					2	120101	还有尚未处理的请求…	经验分享	九龙派出了代表团，表示想来参观学习我们先进的经营与管理理念。	[12010101, 12010102]	
120102					1		还有尚未处理的请求…	经验分享	代表团对我们的理念大加赞赏，并感谢我们慷慨提供的发展经验。	[12010201]	
120103					1		还有尚未处理的请求…	经验分享	对方表示理解，对我们的招待表示感谢，并且说有机会的话以后再来。	[12010301]	
120201					2	120201	还有尚未处理的请求…	经验老到	销售团队希望能利用我们的岛屿品牌为销售部门赋能，聚焦宣传抓手打出一套组合拳，并在组织内部对齐颗粒度，开发新打法以实现对竞争对手的降维打击。	[12020101, 12020102]	
120202					1		还有尚未处理的请求…	经验老到	芝士就是力量，新打法果然实现了对竞争对手的降维打击。	[12020201]	
120203					1		还有尚未处理的请求…	经验老到	虽然对他们的战略似懂非懂，没能实现降维打击，但还是取得了一些成果。	[12020301]	
120301					2	120301	还有尚未处理的请求…	合作倡议	有城邦发起了合作倡议，建议由我们牵头，共同带动贸易市场更加繁荣。	[12030101, 12030102]	
120302					1		还有尚未处理的请求…	合作倡议	大家积极响应，出现一波市场热潮。	[12030201]	
120303					1		还有尚未处理的请求…	合作倡议	提案方扛起了牵头的责任，我们也分到了一些甜头。	[12030301]	
120401					2	120401	还有尚未处理的请求…	市场维稳	有城邦发起了合作倡议，建议共同合作降低市场波动的不稳定性。	[12040101, 12040102]	
120402					1		还有尚未处理的请求…	市场维稳	大家通力合作，减少了市场的不稳定。	[12040201]	
120403					1		还有尚未处理的请求…	市场维稳	合作仍然取得了一定成效，但相比预期仍然有所差距。	[12040301]	
120501					2	120501	还有尚未处理的请求…	任务履行	各个城邦派出代表团，希望确认我们对城邦任务的履行情况。	[12050101, 12050102]	
120502					1		还有尚未处理的请求…	任务履行	代表团很满意，我们得到了更多的支持。	[12050201]	
120503					1		还有尚未处理的请求…	任务履行	对方理解我们的难处，还是提供了一些支持。	[12050301]	
120601					2	120601	还有尚未处理的请求…	任务确认	我们提出了一份新的合作倡议，各个城邦需要确认我们对已有委托的履行情况决定是否提供帮助。	[12060101, 12060102]	
