Id	TaskName	TaskDesc	Schedule	ConditionId	ConditionParams	BuffIds
101	城邦任务：金贝获取	累计获取{0}金贝	1	1	[20000]	
102	城邦任务：商品生产	累计生产{0}件任意商品	1	3	[1, 0, 200]	
103	城邦任务：商品销售	累计销售{0}件任意商品	1	3	[2, 0, 200]	
201	城邦任务：金贝获取	累计获取{0}金贝	1	1	[50000]	
202	城邦任务：商品生产	累计生产{0}件任意商品	1	3	[1, 0, 500]	
203	城邦任务：商品销售	累计销售{0}件任意商品	1	3	[2, 0, 500]	
211	区域2主城任务4废弃	累计销售{0}件A商品废弃	1	3	[2, 1, 100]	
212	区域2主城任务5废弃	累计销售{0}件B商品废弃	1	3	[2, 2, 100]	
213	区域2主城任务6废弃	累计销售{0}件C商品废弃	1	3	[2, 3, 100]	
301	城邦任务：金贝获取	累计获取{0}金贝	1	1	[150000]	
302	城邦任务：商品生产	累计生产{0}件任意商品	1	3	[1, 0, 1500]	
303	城邦任务：商品销售	累计销售{0}件任意商品	1	3	[2, 0, 1500]	
311	区域3主城任务4废弃	单次生产{0}件A商品废弃	1	2	[1, 1, 100, 1]	
312	区域3主城任务5废弃	单次生产{0}件B商品废弃	1	2	[1, 2, 100, 1]	
313	区域3主城任务6废弃	单次生产{0}件C商品废弃	1	2	[1, 3, 100, 1]	
321	区域3主城任务7废弃	单次销售{0}件A商品废弃	1	2	[2, 1, 100, 1]	
322	区域3主城任务8废弃	单次销售{0}件B商品废弃	1	2	[2, 2, 100, 1]	
323	区域3主城任务9废弃	单次销售{0}件C商品废弃	1	2	[2, 3, 100, 1]	
331	城邦任务：单次生产	单次生产{0}件任意商品	1	2	[1, 0, 500, 1]	
332	城邦任务：单次销售	单次销售{0}件任意商品	1	2	[2, 0, 1000, 1]	
1010101	<color=#a46800>伊始邦·二星</color>	清空本岛屿上的探索内容	2	9	[1102, 2]	
1010201	<color=#a46800>伊始邦·三星</color>	累计销售{0}件任意商品	40	3	[2, 0, 40]	
1020101	<color=#a46800>萌新邦·二星</color>	清空本岛屿上的探索内容	2	9	[1103, 2]	
1020201	<color=#a46800>萌新邦·三星</color>	累计销售{0}件任意商品	80	3	[2, 0, 80]	
