Id	FightEventId	Name	Description	Icon	Star	ConsumeCounts
10001	93305	生命增幅Ⅰ	队伍成员的生命上限增加2500	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	1	[20, 200]
10002	93368	冰伤强化Ⅰ	队伍成员的冰系伤害增加20%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	1	[20, 200]
10003	81050	闪避增幅Ⅰ	队伍成员闪避上限增加700	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	1	[20, 200]
10004	93346	信号强化Ⅰ	每隔15秒将恢复2个随机信号球	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	1	[20, 200]
10101	93305	生命增幅Ⅰ	队伍成员的生命上限增加2500	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	1	[20, 200]
10102	93368	冰伤强化Ⅰ	队伍成员的冰系伤害增加20%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	1	[20, 200]
10103	81050	闪避增幅Ⅰ	队伍成员闪避上限增加700	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	1	[20, 200]
10104	93346	信号强化Ⅰ	每隔15秒将恢复2个随机信号球	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	1	[20, 200]
10105	120105	QTE缩减Ⅰ	队伍成员的qte冷却时间减少1秒	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	1	[20, 200]
10106	96103	必杀强化Ⅰ	队伍成员的必杀技可眩晕敌人2秒	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21071.png	1	[20, 200]
10201	93346	信号强化Ⅰ	每隔15秒将恢复2个随机信号球	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	1	[40, 400]
10202	90902	伤害强化Ⅰ	队伍成员的所有伤害增加15%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	1	[40, 400]
10203	120214	闪避强化Ⅰ	队伍成员闪避闪避值恢复速度提升20%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33001.png	1	[40, 400]
10204	120105	QTE缩减Ⅰ	队伍成员的qte冷却时间减少1秒	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	1	[40, 400]
10205	96103	必杀强化Ⅰ	队伍成员的必杀技可眩晕敌人2秒	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21071.png	1	[40, 400]
10301	93368	冰伤强化Ⅰ	队伍成员的冰系伤害增加20%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21231.png	1	[40, 400]
10302	93363	火伤强化Ⅰ	队伍成员的火系伤害增加20%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21212.png	1	[40, 400]
10303	93373	雷伤强化Ⅰ	队伍成员的雷系伤害增加20%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21222.png	1	[40, 400]
10304	93305	生命增幅Ⅰ	队伍成员的生命上限增加2500	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	1	[40, 400]
10305	81050	闪避增幅Ⅰ	队伍成员闪避上限增加700	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	1	[40, 400]
