Id	Key	ActivityId	Page	TextFormat	DataName	Note
1	TxtCharaEnName	1	2	{0}	MaxAbilityCharacterEnName	最高练度角色英文名
2	TxtCharaFullName	1	2	{0}	MaxAbilityCharacterFullName	最高练度角色名称(全称)
3	TxtAbility	1	2	{0}	MaxAbility	最高练度角色战力
4	TxtLoveNum	1	2	共与<color=#34AFF8><size=50>{0}</size></color>个成员好感度\n达到[{1}]	MaxTrustData	最高好感度角色数
5	TxtPartnerNum	1	2	当前共拥有<color=#34AFF8><size=50>{0}</size></color>个	PartnerCount	辅助机拥有数量
6	TxtPlayerName	1	2	{0}	Name	指挥官名称
7	TxtRegisterTime	1	2	{0}	CreateTime	玩家注册时间
8	TxtPlayDays	1	2	距今 <color=#34AFF8>{0}</color> 天	ExistDayCount	注册到现在的时间
9	TxtGuildName	1	2	{0}	GuildName	所属公会名
10	TxtMainStoryProgress	1	2	<color=#34AFF8>{0}</color> {1}	MainLineStage	主线进度关卡名 {0} 进度序号 {1} 关卡名
11	TxtMainChapter	1	2	{0}	BfrtSchedule	据点章节名
12	TxtAreaChapter	1	2	成功达到第 <color=#34AFF8>{0}</color> 区域	AssignSchedule	边境公约进度
13	TxtPlayerName	1	5	{0}	Name	指挥官名称
14	TxtPlayerId	1	5	{0}	PlayerId	指挥官Id
15	TxtEnterDay	1	5	{0}	CreateTime	玩家注册时间
16	TxtPlayDay	1	5	{0}	ExistDayCount	注册到现在的时间
17	TxtMedalNum	1	5	{0}	MedalCount	获得勋章数
18	TxtCollectionNum	1	5	{0}	ScoreTitleCount	获得收藏品数
19	TxtMemberCount	1	5	{0}	CharacterCnt	拥有角色数
20	TxtLoveNum	1	5	{0}	MaxTrustLvCharacterCnt	最高好感度角色数
21	TxtMaxTrustName	1	5	{0}	MaxTrustName	最高好感度的名称
22	TxtDormNum	1	5	{0}	DormCount	拥有宿舍数
23	TxtFurnitureNum	1	5	{0}	FurnitureCount	拥有家具数
24	TxtPlayerName	2	2	{0}	Name	指挥官名称
25	TxtRegisterTime	2	2	{0}	CreateTime	玩家注册时间
26	TxtPlayDays	2	2	距今 <color=#34AFF8>{0}</color> 天	ExistDayCount	注册到现在的时间
27	TxtGuildName	2	2	{0}	GuildName	所属公会名
28	TxtLoginDayTimes	2	2	今年，您在空中花园执行任务长达 <color=#34AFF8>{0}</color> 天	LoginDayTimes	今年登录游戏天数
29	TxtConsumeSerum	2	2	使用血清 <color=#34AFF8>{0}</color> 毫升	ConsumeSerum	今年消耗的血清总数
30	TxtConsumeNut	2	2	使用螺母 <color=#34AFF8>{0}</color> 个	ConsumeNut	今年消耗的螺母总数
31	TxtCharaEnName	2	2	{0}	MaxAbilityCharacterEnName	最高练度角色英文名
32	TxtCharaFullName	2	2	{0}	MaxAbilityCharacterFullName	最高练度角色名称(全称)
33	TxtAbility	2	2	{0}	MaxAbility	最高练度角色战力
34	TxtLoveNum	2	2	共与<color=#34AFF8><size=50>{0}</size></color>个成员好感度\n达到[{1}]	MaxTrustData	最高好感度角色数
35	TxtPartnerNum	2	2	当前共拥有<color=#34AFF8><size=50>{0}</size></color>个	PartnerCount	辅助机拥有数量
36	TxtMainStoryProgress	2	2	<color=#34AFF8>{0}</color> {1}	MainLineStage	主线进度关卡名 {0} 进度序号 {1} 关卡名
37	TxtMainChapter	2	2	{0}	BfrtSchedule	据点
38	TxtAreaChapter	2	2	成功达到第 <color=#34AFF8>{0}</color> 区域	AssignSchedule	边境公约进度
39	TxtPlayerName	2	5	{0}	Name	指挥官名称
40	TxtPlayerId	2	5	{0}	PlayerId	指挥官Id
41	TxtEnterDay	2	5	{0}	CreateTime	玩家注册时间
42	TxtPlayDay	2	5	{0}	ExistDayCount	注册到现在的时间
43	TxtMedalNum	2	5	{0}	MedalCount	获得勋章数
44	TxtCollectionNum	2	5	{0}	ScoreTitleCount	获得收藏品数
45	TxtMemberCount	2	5	{0}	CharacterCnt	拥有角色数
46	TxtLoveNum	2	5	{0}	MaxTrustLvCharacterCnt	最高好感度角色数
47	TxtMaxTrustName	2	5	{0}	MaxTrustName	最高好感度的名称
48	TxtDormNum	2	5	{0}	DormCount	拥有宿舍数
49	TxtFurnitureNum	2	5	{0}	FurnitureCount	拥有家具数
