Id	Name	Icon	Desc	Type	ShowLevel	IsSkill	RelationGroup	EffectGroupId	JoinSettle	JoinAdventureSettle	ColorType	Condition	Param	Tags	TagBgColors	ParentNode
1	测试	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan2.png	测试	1				1001			1					
10	<color=#A42623>持续增伤</color>	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan2.png	每5秒，额外伤害加成+15%，上限75%	2			10	1001		1	1			['定时', '增伤']	['A42623', 'A42623']	
11	<color=#A42623>必杀强化</color>	Assets/Product/Texture/Image/IconAffix/AffixIconQianghua2.png	每5秒，下次造成的必杀伤害提高60%	2			11	1002		1	1			['必杀', '增伤']	['A42623', 'A42623']	
12	<color=#A42623>三消增伤</color>	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png	3消时，额外伤害加成+15%，上限75%，持续8秒	2			12	1003		1	1			['三消', '增伤']	['A42623', 'A42623']	
13	<color=#A42623>定时补给</color>	Assets/Product/Texture/Image/IconAffix/AffixIconTime.png	每隔5秒，随机获得6颗同色信号球	2			13	1004		1	1					
14	<color=#A42623>属性增伤</color>	Assets/Product/Texture/Image/IconSkill/R1lifuA1.png	每秒对周边敌人造成攻击力*1200%的属性伤害	2			14	1005		1	1			['附加伤害']	['A42623', 'A42623']	
15	<color=#A42623>换防补给</color>	Assets/Product/Texture/Image/IconSkill/R4SailinnaSSS1.png	每次出场时，获得12颗信号球	2			15	1006		1	1					
16	<color=#A42623>换防强化</color>	Assets/Product/Texture/Image/IconSkill/R4Sailinnahexin1.png	每次切人，额外伤害加成+15%，上限75%，持续10秒	2			16	1007		1	1			['轮切', '增伤']	['A42623', 'A42623']	
17	<color=#A42623>入场增伤</color>	Assets/Product/Texture/Image/IconSkill/R4Yongyechaohexin1.png	入场时，额外伤害加成+50%，加成效果每5秒-10%	2			17	1008		1	1			['入场', '增伤']	['A42623', 'A42623']	
18	<color=#A42623>冷却缩短</color>	Assets/Product/Texture/Image/IconSkill/R4Lianghexin1.png	3消时，后台其他成员的切换冷却时间-5秒	2			18	1009		1	1			['三消', '切人冷却']	['A42623', 'A42623']	
19	<color=#A42623>入场伤害</color>	Assets/Product/Texture/Image/IconSkill/R3yongyechaodazhao1.png	入场时，对场上所有敌人造成【轮切次数】*攻击力*5000%的真实伤害	2			19	1010		1	1			['轮切', '附加伤害']	['A42623', 'A42623']	
20	<color=#A42623>进攻·湮灭强化</color>	Assets/Product/Texture/Image/IconSkill/R32BS1.png	队伍内每存在1名进攻型/湮灭型，全队攻击力+50%	2				1011		1	1			['职业', '攻击加成']	['A42623', 'A42623']	
21	<color=#A42623>独狼强化</color>	Assets/Product/Texture/Image/IconAffix/AffixIconYinshen2.png	队伍内仅有1名角色时，攻击力+200%	2				1012		1	1			['单角色', '攻击加成']	['A42623', 'A42623']	
22	<color=#A42623>攻击强化I</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png	攻击力+20%	2				1013		1	1					
23	<color=#A42623>攻击强化Ⅱ</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png	攻击力+35%	2				1014		1	1					
24	<color=#A42623>属性强化I</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon5.png	全属性伤害+20%	2				1015		1	1					
25	<color=#A42623>属性强化Ⅱ</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon5.png	全属性伤害+35%	2				1016		1	1					
26	<color=#A42623>以牙还牙</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png	造成伤害时，附加已损失生命值*1000%的属性伤害，冷却2秒	2			26	1017		1	1			['生命值', '附加伤害']	['A42623', 'A42623']	
27	<color=#A42623>背水一战</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32131.png	造成伤害时，消耗最大生命值10%，附加消耗值*120的属性伤害，冷却2秒	2			27	1018		1	1			['消耗生命', '附加伤害']	['A42623', 'A42623']	
28	<color=#A42623>生命加成I</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon006.png	生命值+20%	2			28	1019		1	1					
29	<color=#A42623>生命加成Ⅱ</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon006.png	生命值+30%	2			29	1020		1	1					
30	<color=#A42623>受击回转</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon2.png	受到伤害时，生命值上限+800点，上限5000点，冷却0.5秒	2			30	1021		1	1			['受到伤害', '生命加成']	['A42623', 'A42623']	
31	<color=#A42623>属性反击</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	造成伤害时，附加1800%最大生命值的属性伤害，冷却1秒	2			31	1022		1	1			['生命值', '附加伤害']	['A42623', 'A42623']	
32	<color=#A42623>燃血绝杀</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13041.png	触发QTE时，消耗QTE角色最大生命值90%，对场上所有敌人造成消耗值*10000%的属性伤害	2			32	1023		1	1			['QTE', '附加伤害']	['A42623', 'A42623']	
33	<color=#A42623>能量转化</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon3.png	释放必杀时，消耗全部能量值，并增加【消耗值*20】的生命值上限，上限5000点	2			33	1024		1	1			['必杀能量', '生命加成']	['A42623', 'A42623']	
34	<color=#A42623>瞬击破盾</color>	Assets/Product/Texture/Image/IconAffix/AffixIconJinghua2.png	触发QTE时，场上所有敌人全属性抗性-30%，持续10秒	2				1025		1	1			['QTE', '抗性削减']	['A42623', 'A42623']	
35	<color=#A42623>瞬击护防</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerSupportIcon1.png	触发QTE时，场上角色受到伤害-50%，持续5秒	2				1026		1	1			['QTE', '伤害减免']	['A42623', 'A42623']	
36	<color=#A42623>属性减抗I</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon024.png	场上所有敌人全属性抗性-20%	2				1027		1	1			['抗性削减']	['A42623']	
37	<color=#A42623>属性减抗Ⅱ</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon024.png	场上所有敌人全属性抗性-35%	2				1028		1	1			['抗性削减']	['A42623']	
38	<color=#A42623>受击护盾</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	受到伤害超过当前生命值30%时，固定为30%，冷却10秒	2				1029		1	1			['伤害减免']	['A42623']	
39	<color=#A42623>伤害减免I</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon019.png	角色受到伤害-5%	2				1030		1	1					
40	<color=#A42623>伤害减免Ⅱ</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon019.png	角色受到伤害-10%	2				1031		1	1					
41	<color=#A42623>霸体护盾</color>	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool14.png	持有护盾时，获得霸体效果	2				1032		1	1			['免疫受击']	['A42623', 'A42623']	
42	<color=#A42623>装甲强化</color>	Assets/Product/Texture/Image/IconAffix/AffixIconHudun2.png	队伍内每存在1名装甲型，全队生命值+30%	2				1033		1	1			['职业', '生命加成']	['A42623', 'A42623']	
43	<color=#A42623>独狼加成</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon006.png	队伍内仅有1名角色时，生命值+200%	2				1034		1	1			['单角色', '生命加成']	['A42623', 'A42623']	
44	<color=#A42623>紧急防御</color>	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJiegoujiagu.png	生命值低于50%时，获得已损失生命值50%的护盾值	2				1035		1	1			['生命值', '护盾']	['A42623', 'A42623']	
45	<color=#A42623>高效疗愈</color>	Assets/Product/Texture/Image/IconAffix/AffixIconFusu2.png	治疗效率+50%	2			45	1036		1	1					
46	<color=#A42623>受击治疗</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	受到伤害时，在5秒内恢复自身12%最大生命值，冷却6秒	2			46	1037		1	1			['生命恢复']	['A42623', 'A42623']	
47	<color=#A42623>瞬击治愈</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon009.png	触发QTE时，恢复全队20%最大生命值。冷却8秒	2			47	1038		1	1			['QTE', '全体恢复']	['A42623', 'A42623']	
48	<color=#A42623>生命炸弹</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22090.png	受到治疗时，对场上所有敌人造成治疗量9000%的真实伤害	2			48	1039		1	1			['治疗', '附加伤害']	['A42623', 'A42623']	
49	<color=#A42623>生命续航</color>	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool4.png	每2秒，恢复自身3%最大生命值	2			49	1040		1	1			['自动恢复', '生命值']	['A42623', 'A42623']	
50	<color=#A42623>出击补给</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	战斗开始时，获得3组3消球	2				1041		1	1			['信号球']	['A42623']	
51	<color=#A42623>信号重构</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon7.png	三消后，重排信号球，冷却4秒	2				1042		1	1			['信号球', '排序']	['A42623', 'A42623']	
52	<color=#A42623>瞬击补给</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22120.png	触发QTE时，场上角色获得6颗同色信号球	2				1043		1	1			['QTE', '信号球']	['A42623', 'A42623']	
53	<color=#A42623>瞬击充能</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	触发QTE时，场上角色必杀能量恢复30%	2				1044		1	1			['QTE', '必杀能量']	['A42623', 'A42623']	
54	<color=#A42623>自动补给</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon016.png	信号球少于3个时，获得4组3球，冷却8秒	2				1045		1	1			['信号球']	['A42623']	
55	<color=#A42623>辅助·增幅强化</color>	Assets/Product/Texture/Image/IconSkill/R2BangbinataSSS1.png	队伍内每存在1名辅助/增幅型，QTE和切人冷却-2秒	2				1046		1	1			['职业', '冷却降低']	['A42623', 'A42623']	
56	<color=#A42623>独狼减伤</color>	Assets/Product/Texture/Image/IconAffix/AffixIconGangti2.png	队伍内仅有1名角色时，伤害减免+20%	2				1047		1	1			['单角色', '伤害减免']	['A42623', 'A42623']	
57	<color=#A42623>换防重置</color>	Assets/Product/Texture/Image/IconAffix/AffixIconChange.png	切人时，重置后台所有角色的切人冷却，冷却8秒	2				1048		1	1			['轮切', '冷却重置']	['A42623', 'A42623']	
58	<color=#A42623>闪避补给</color>	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	闪避时，获得1颗信号球	2				1049		1	1			['闪避', '信号球']	['A42623', 'A42623']	
59	<color=#A42623>闪避充能</color>	Assets/Product/Texture/Image/IconAffix/AffixIconZhuanyi2.png	每次闪避恢复30%必杀能量	2				1050		1	1			['闪避', '必杀能量']	['A42623', 'A42623']	
60	<color=#A42623>自动超算</color>	Assets/Product/Texture/Image/IconAffix/AffixIconTime.png	每12秒进入一次超算	2				1051		1	1					
61	<color=#A42623>战力跃升</color>	Assets/Product/Texture/Image/IconAffix/UiTheatre4IconLv2501.png	在军事支援等级2、5、8、11、14、17、20级节点各额外抽取2个专属天赋	2				49		1	1					
101	<color=#4682B4>建筑施工：供能站</color>	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon08.png	供能站：预览十字方向2格内区域内容，每天永久提供1施工许可	2		1		1101		1	3			['视野', '施工许可']	['4682B4', '4682B4']	
102	<color=#4682B4>节约能耗</color>	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	建造<color=#4682B4>供能站</color>的<color=#4682B4>施工许可消耗下降1</color>点	2				1102		1	3			['消耗降低']	['4682B4']	[101]
103	<color=#4682B4>探照荒土</color>	Assets/Product/Texture/Image/IconPetSkill/Pet2YangSkillzhudong06.png	创建<color=#4682B4>供能站</color>时，<color=#4682B4>自动探索</color>距离供能站最近的<color=#4682B4>1个区域</color>	2				1103		1	3			['自动探索']	['4682B4']	[101]
