Id	GroupId	Desc	Duration	SubHp	EventId	Weight	Condition	ConditionWeight
1	1	觉醒事件-蓝-无名实验室	2		60132	100	[1020838]	[-100]
2	1	觉醒事件-蓝-冰层下的遗物	2		60143	100	[1020838]	[-100]
3	2	觉醒事件-黄-塔顶的占星师	2		60153	100	[1020838]	[-100]
4	2	觉醒事件-黄-实现心愿的温泉	2		60164	100	[1020838]	[-100]
5	3	觉醒事件-红-幻想之兽	2		60183		[1020797]	[100]
6	3	觉醒事件-红-不止之梦	2		60194	100	[1020838]	[-100]
7	2	觉醒事件-黄-实现心愿的温泉	2		60288		[1020838]	[100]
8	1	觉醒事件-蓝-无名实验室	2		60292		[1020838]	[100]
9	2	觉醒事件-黄-塔顶的占星师	2		60296		[1020838]	[100]
10	1	觉醒事件-蓝-冰层下的遗物	2		60294		[1020838]	[100]
11	3	觉醒事件-红-不止之梦	2		60301		[1020838]	[100]
